tp,trades,win_rate,avg_pnl,total_pnl,sharpe,profit_factor,max_dd_usd,max_dd_pct,cagr_pct,final_equity,exits_tp,exits_sl,exits_exp
TP=none,241,53.53,56.19,13542.58,0.718,1.462,-4156.84,-4.16,2.59,113542.58,0,0,241
TP=10%,241,60.17,-49.34,-11890.2,-1.289,0.537,-13615.48,-13.62,-2.52,88109.8,106,0,135
TP=20%,241,55.19,-30.63,-7381.4,-0.704,0.742,-10722.5,-10.72,-1.53,92618.6,71,0,170
TP=25%,241,54.36,-20.94,-5047.24,-0.463,0.826,-8893.6,-8.89,-1.04,94952.76,64,0,177
TP=50%,241,53.53,19.73,4754.7,0.369,1.162,-4972.1,-4.97,0.94,104754.7,26,0,215
