trade_date,exp_date,underlying,dte_entry,structure,spot_entry,expected_move,short_put,long_put,short_call,long_call,put_width,call_width,retained_dist,total_credit,spot_exit,vix_entry,pnl_usd,pnl_usd_at_exp,result,exit_method,effective_close_date,effective_dit_at_close,in_range,max_risk_usd,pnl_tp10,pnl_tp25,pnl_tp50,pnl_tp75
2022-07-06,2022-07-06,SPX,0,RJL,3832.37,40,3830.0,3820.0,3860.0,3890.0,10.0,30.0,27.63,1032.0,3845.08,27.53,1032.0,1032.0,WIN,expiration,2022-07-06,0,,1968.0,103.2,258.0,516.0,774.0
2022-07-07,2022-07-07,SPX,0,RJL,3870.98,32.8,3870.0,3860.0,3890.0,3920.0,10.0,30.0,19.02,1045.0,3902.62,26.73,-198.0,-198.0,LOSS,expiration,2022-07-07,0,,1955.0,104.5,-198.0,-198.0,-198.0
2022-07-08,2022-07-08,SPX,0,RJL,3886.18,34.55,3885.0,3875.0,3905.0,3935.0,10.0,30.0,18.82,1052.0,3899.38,26.06,1052.0,1052.0,WIN,expiration,2022-07-08,0,,1948.0,105.2,263.0,526.0,789.0
2022-07-11,2022-07-11,SPX,0,RJL,3870.59,33.55,3870.0,3860.0,3890.0,3920.0,10.0,30.0,19.41,1047.0,3854.43,24.64,47.0,47.0,WIN,expiration,2022-07-11,0,,1953.0,104.7,261.75,523.5,47.0
2022-07-12,2022-07-12,SPX,0,RJL,3852.91,30.85,3850.0,3840.0,3870.0,3900.0,10.0,30.0,17.09,1050.0,3818.8,26.16,50.0,50.0,WIN,expiration,2022-07-12,0,,1950.0,105.0,262.5,525.0,50.0
2022-07-13,2022-07-13,SPX,0,RJL,3771.86,42.45,3770.0,3760.0,3800.0,3830.0,10.0,30.0,28.14,1070.0,3801.78,27.3,911.0,911.0,WIN,expiration,2022-07-13,0,,1930.0,107.0,267.5,535.0,911.0
2022-07-14,2022-07-14,SPX,0,RJL,3754.72,38.45,3750.0,3740.0,3780.0,3810.0,10.0,30.0,25.28,1025.0,3790.38,26.8,0.0,0.0,LOSS,expiration,2022-07-14,0,,1975.0,102.5,256.25,0.0,0.0
2022-07-15,2022-07-15,SPX,0,RJL,3841.56,36.7,3840.0,3830.0,3865.0,3895.0,10.0,30.0,23.44,1032.0,3863.16,26.4,1032.0,1032.0,WIN,expiration,2022-07-15,0,,1968.0,103.2,258.0,516.0,774.0
2022-07-18,2022-07-18,SPX,0,RJL,3895.06,31,3895.0,3885.0,3915.0,3945.0,10.0,30.0,19.94,1003.0,3830.85,24.24,3.0,3.0,WIN,expiration,2022-07-18,0,,1997.0,100.3,250.75,3.0,3.0
2022-07-19,2022-07-19,SPX,0,RJL,3869.16,30.1,3865.0,3855.0,3885.0,3915.0,10.0,30.0,15.84,1050.0,3936.69,25.31,-1950.0,-1950.0,LOSS,expiration,2022-07-19,0,,1950.0,-1950.0,-1950.0,-1950.0,-1950.0
2022-07-20,2022-07-20,SPX,0,RJL,3931.69,34.2,3930.0,3920.0,3950.0,3980.0,10.0,30.0,18.31,1080.0,3959.9,24.49,139.0,139.0,WIN,expiration,2022-07-20,0,,1920.0,108.0,270.0,139.0,139.0
2022-07-21,2022-07-21,SPX,0,RJL,3950.47,34.35,3950.0,3940.0,3970.0,4000.0,10.0,30.0,19.53,1057.0,3998.95,23.89,-1827.0,-1827.0,LOSS,expiration,2022-07-21,0,,1943.0,105.7,-1827.0,-1827.0,-1827.0
2022-07-22,2022-07-22,SPX,0,RJL,4003.89,28.65,4000.0,3990.0,4015.0,4045.0,10.0,30.0,11.11,1090.0,3961.63,23.09,90.0,90.0,WIN,expiration,2022-07-22,0,,1910.0,109.0,90.0,90.0,90.0
2022-07-25,2022-07-25,SPX,0,RJL,3967.93,28.9,3965.0,3955.0,3980.0,4010.0,10.0,30.0,12.07,1098.0,3966.84,23.03,1098.0,1098.0,WIN,expiration,2022-07-25,0,,1902.0,109.8,274.5,549.0,823.5
2022-07-26,2022-07-26,SPX,0,RJL,3948.77,29.7,3945.0,3935.0,3965.0,3995.0,10.0,30.0,16.23,1020.0,3921.05,23.38,20.0,20.0,WIN,expiration,2022-07-26,0,,1980.0,102.0,255.0,20.0,20.0
2022-07-27,2022-07-27,SPX,0,RJL,3957.54,49.15,3955.0,3945.0,4000.0,4030.0,10.0,30.0,42.46,1012.0,4023.61,24.67,-1147.0,-1147.0,LOSS,expiration,2022-07-27,0,,1988.0,-1147.0,-1147.0,-1147.0,-1147.0
2022-07-28,2022-07-28,SPX,0,RJL,4035.58,31.5,4035.0,4025.0,4055.0,4085.0,10.0,30.0,19.42,1040.0,4072.43,23.26,-592.0,-592.0,LOSS,expiration,2022-07-28,0,,1960.0,104.0,260.0,-592.0,-592.0
