trade_date,exp_date,underlying,dte_entry,structure,spot_entry,spot_exit,put_upper,put_center,put_lower,total_credit,entry_cons,entry_spread,vix_entry,iv_atm_pct,em_pct,expected_move,pnl_usd,max_risk_usd,result,exit_method,mfe,mae,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,pnl_tp25,pnl_tp50,pnl_tp75,pnl_tp100,pnl_tp25_exit14,pnl_tp25_exit10,pnl_tp25_exit7,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit14,pnl_tp50_exit10,pnl_tp50_exit7,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit14,pnl_tp75_exit10,pnl_tp75_exit7,pnl_tp75_exit5,pnl_tp75_exit3,pnl_tp100_exit14,pnl_tp100_exit10,pnl_tp100_exit7,pnl_tp100_exit5,pnl_tp100_exit3
2021-10-15,2021-11-05,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4465.65,4696.4,4390,4305,3990,45.0,140.0,95.0,15.9,15.9,3.81,170.3,-45.0,23140.0,LOSS,expiration,120,-70,55.0,55.0,25.0,-22.5,-37.5,-45.0,-45.0,-45.0,-45.0,55.0,55.0,25.0,-22.5,-37.5,55.0,55.0,25.0,-22.5,-37.5,55.0,55.0,25.0,-22.5,-37.5,55.0,55.0,25.0,-22.5,-37.5
2021-10-22,2021-11-12,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4552.15,4682.96,4480,4395,4070,105.0,170.0,65.0,15.06,15.06,3.61,164.4,-105.0,24170.0,LOSS,expiration,235,-105,80.0,105.0,-57.5,-105.0,-82.5,-105.0,-105.0,-105.0,-105.0,80.0,105.0,-57.5,-105.0,-82.5,80.0,105.0,-57.5,-105.0,-82.5,80.0,105.0,-57.5,-105.0,-82.5,80.0,105.0,-57.5,-105.0,-82.5
2021-10-29,2021-11-19,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4585.1,4697.95,4495,4400,4005,15.0,80.0,65.0,17.06,17.06,4.09,187.6,-15.0,30080.0,LOSS,expiration,270,-20,145.0,110.0,185.0,-10.0,-5.0,-15.0,-15.0,-15.0,-15.0,145.0,110.0,185.0,-10.0,-5.0,145.0,110.0,185.0,-10.0,-5.0,145.0,110.0,185.0,-10.0,-5.0,145.0,110.0,185.0,-10.0,-5.0
2021-11-05,2021-11-26,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4713.96,4596.63,4645,4565,4210,195.0,240.0,45.0,15.07,15.07,3.61,170.4,4642.0,27740.0,WIN,expiration,4680,-130,80.0,245.0,150.0,-100.0,220.0,2305.0,4500.0,4642.0,4642.0,80.0,245.0,150.0,-100.0,220.0,80.0,245.0,150.0,-100.0,220.0,80.0,245.0,150.0,-100.0,220.0,80.0,245.0,150.0,-100.0,220.0
2021-11-12,2021-12-03,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4653.64,4577.1,4565,4475,4105,55.0,150.0,95.0,17.08,17.08,4.1,190.7,-55.0,28150.0,LOSS,expiration,5675,0,95.0,210.0,140.0,390.0,520.0,3290.0,4720.0,-55.0,-55.0,95.0,210.0,140.0,390.0,520.0,95.0,210.0,140.0,390.0,520.0,95.0,210.0,140.0,390.0,520.0,95.0,210.0,140.0,390.0,520.0
2021-11-19,2021-12-10,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4710.65,4711.65,4625,4530,4100,50.0,130.0,80.0,17.87,17.87,4.29,201.9,-50.0,33630.0,LOSS,expiration,985,-1215,200.0,50.0,-470.0,470.0,660.0,-50.0,-50.0,-50.0,-50.0,200.0,50.0,-470.0,470.0,660.0,200.0,50.0,-470.0,470.0,660.0,200.0,50.0,-470.0,470.0,660.0,200.0,50.0,-470.0,470.0,660.0
2021-11-26,2021-12-17,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4624.37,4620.26,4480,4335,3695,60.0,1090.0,1030.0,25.77,25.77,6.18,285.8,-60.0,50590.0,LOSS,expiration,710,-145,410.0,350.0,230.0,35.0,205.0,-60.0,-60.0,-60.0,-60.0,410.0,350.0,230.0,35.0,205.0,410.0,350.0,230.0,35.0,205.0,410.0,350.0,230.0,35.0,205.0,410.0,350.0,230.0,35.0,205.0
2021-12-03,2021-12-17,SPX,14,BWB 1-2-2 puts (+1/-2/+2),4577.1,4620.26,4440,4310,3775,180.0,1250.0,1070.0,28.99,28.99,5.68,259.9,-180.0,41750.0,LOSS,expiration,405,-190,95.0,115.0,0.0,-135.0,-60.0,-180.0,-180.0,-180.0,-180.0,95.0,115.0,0.0,-135.0,-60.0,95.0,115.0,0.0,-135.0,-60.0,95.0,115.0,0.0,-135.0,-60.0,95.0,115.0,0.0,-135.0,-60.0
2021-12-10,2021-12-31,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4687.31,4766.1,4585,4485,4025,55.0,140.0,85.0,20.18,20.18,4.84,226.9,-55.0,36140.0,LOSS,expiration,735,-195,200.0,550.0,30.0,30.0,-20.0,-55.0,-55.0,-55.0,-55.0,200.0,550.0,30.0,30.0,-20.0,200.0,550.0,30.0,30.0,-20.0,200.0,550.0,30.0,30.0,-20.0,200.0,550.0,30.0,30.0,-20.0
2021-12-17,2022-01-07,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4624.26,4676.51,4505,4390,3920,205.0,320.0,115.0,22.2,22.2,5.32,246.2,-205.0,35820.0,LOSS,expiration,225,-225,-70.0,-170.0,-217.5,-192.5,-200.0,-205.0,-205.0,-205.0,-205.0,-70.0,-170.0,-217.5,-192.5,-200.0,-70.0,-170.0,-217.5,-192.5,-200.0,-70.0,-170.0,-217.5,-192.5,-200.0,-70.0,-170.0,-217.5,-192.5,-200.0
