trade_date,exp_date,underlying,dte_entry,structure,spot_entry,expected_move,short_put,long_put,short_call,long_call,put_width,call_width,retained_dist,total_credit,spot_exit,vix_entry,pnl_usd,pnl_usd_at_exp,result,exit_method,effective_close_date,effective_dit_at_close,in_range,max_risk_usd,pnl_tp10,pnl_tp25,pnl_tp50,pnl_tp75
2022-06-21,2022-06-21,SPX,0,RJL,3735.3,41.6,3735.0,3725.0,3755.0,3775.0,10.0,20.0,19.7,1045.0,3764.79,0,61.0,61.0,WIN,expiration,2022-06-21,0,,955.0,61.0,61.0,61.0,61.0
2022-06-22,2022-06-22,SPX,0,RJL,3720.06,40.9,3720.0,3710.0,3740.0,3760.0,10.0,20.0,19.94,1030.0,3759.89,30.19,-954.0,-954.0,LOSS,expiration,2022-06-22,0,,970.0,-954.0,-954.0,-954.0,-954.0
2022-06-23,2022-06-23,SPX,0,RJL,3782.54,38.7,3780.0,3770.0,3800.0,3820.0,10.0,20.0,17.46,1030.0,3795.73,28.94,1030.0,1030.0,WIN,expiration,2022-06-23,0,,970.0,103.0,257.5,515.0,772.5
2022-06-24,2022-06-24,SPX,0,RJL,3830.38,36.5,3830.0,3820.0,3845.0,3865.0,10.0,20.0,14.62,1030.0,3911.74,29.04,-970.0,-970.0,LOSS,expiration,2022-06-24,0,,970.0,-970.0,-970.0,-970.0,-970.0
2022-06-27,2022-06-27,SPX,0,RJL,3926.67,38.05,3925.0,3915.0,3940.0,3960.0,10.0,20.0,13.33,1035.0,3900.11,27.25,35.0,35.0,WIN,expiration,2022-06-27,0,,965.0,103.5,35.0,35.0,35.0
2022-06-28,2022-06-28,SPX,0,RJL,3923.19,35.05,3920.0,3910.0,3935.0,3955.0,10.0,20.0,11.81,1040.0,3821.55,26.95,40.0,40.0,WIN,expiration,2022-06-28,0,,960.0,104.0,40.0,40.0,40.0
2022-06-29,2022-06-29,SPX,0,RJL,3824.73,40.35,3820.0,3810.0,3840.0,3860.0,10.0,20.0,15.27,1025.0,3818.83,28.35,895.0,895.0,WIN,expiration,2022-06-29,0,,975.0,102.5,256.25,512.5,768.75
2022-06-30,2022-06-30,SPX,0,RJL,3780.91,46.1,3780.0,3770.0,3800.0,3820.0,10.0,20.0,19.09,1080.0,3785.38,28.14,1080.0,1080.0,WIN,expiration,2022-06-30,0,,920.0,108.0,270.0,540.0,810.0
2022-07-01,2022-07-01,SPX,0,RJL,3784.85,38.35,3780.0,3770.0,3800.0,3820.0,10.0,20.0,15.15,1005.0,3825.33,28.68,-995.0,-995.0,LOSS,expiration,2022-07-01,0,,995.0,100.5,251.25,-995.0,-995.0
2022-07-05,2022-07-05,SPX,0,RJL,3769.74,38.45,3765.0,3755.0,3785.0,3805.0,10.0,20.0,15.26,1005.0,3831.39,26.7,-995.0,-995.0,LOSS,expiration,2022-07-05,0,,995.0,100.5,-995.0,-995.0,-995.0
2022-07-06,2022-07-06,SPX,0,RJL,3832.37,40,3830.0,3820.0,3850.0,3870.0,10.0,20.0,17.63,1015.0,3845.08,27.53,1015.0,1015.0,WIN,expiration,2022-07-06,0,,985.0,101.5,253.75,507.5,761.25
2022-07-07,2022-07-07,SPX,0,RJL,3870.98,32.8,3870.0,3860.0,3885.0,3905.0,10.0,20.0,14.02,1000.0,3902.62,26.73,-743.0,-743.0,LOSS,expiration,2022-07-07,0,,1000.0,-743.0,-743.0,-743.0,-743.0
2022-07-08,2022-07-08,SPX,0,RJL,3886.18,34.55,3885.0,3875.0,3895.0,3915.0,10.0,20.0,8.82,1080.0,3899.38,26.06,643.0,643.0,WIN,expiration,2022-07-08,0,,920.0,108.0,643.0,643.0,643.0
2022-07-11,2022-07-11,SPX,0,RJL,3870.59,33.55,3870.0,3860.0,3880.0,3900.0,10.0,20.0,9.41,1080.0,3854.43,24.64,80.0,80.0,WIN,expiration,2022-07-11,0,,920.0,108.0,270.0,80.0,80.0
2022-07-12,2022-07-12,SPX,0,RJL,3852.91,30.85,3850.0,3840.0,3865.0,3885.0,10.0,20.0,12.09,1005.0,3818.8,26.16,5.0,5.0,WIN,expiration,2022-07-12,0,,995.0,100.5,251.25,5.0,5.0
2022-07-13,2022-07-13,SPX,0,RJL,3771.86,42.45,3770.0,3760.0,3790.0,3810.0,10.0,20.0,18.14,1040.0,3801.78,27.3,-119.0,-119.0,LOSS,expiration,2022-07-13,0,,960.0,-119.0,-119.0,-119.0,-119.0
2022-07-14,2022-07-14,SPX,0,RJL,3754.72,38.45,3750.0,3740.0,3770.0,3790.0,10.0,20.0,15.28,1025.0,3790.38,26.8,-975.0,-975.0,LOSS,expiration,2022-07-14,0,,975.0,102.5,256.25,-975.0,-975.0
2022-07-15,2022-07-15,SPX,0,RJL,3841.56,36.7,3840.0,3830.0,3855.0,3875.0,10.0,20.0,13.44,1050.0,3863.16,26.4,261.0,261.0,WIN,expiration,2022-07-15,0,,950.0,105.0,262.5,525.0,787.5
2022-07-18,2022-07-18,SPX,0,RJL,3895.06,31,3895.0,3885.0,3905.0,3925.0,10.0,20.0,9.94,1080.0,3830.85,24.24,80.0,80.0,WIN,expiration,2022-07-18,0,,920.0,108.0,270.0,80.0,80.0
2022-07-19,2022-07-19,SPX,0,RJL,3869.16,30.1,3865.0,3855.0,3880.0,3900.0,10.0,20.0,10.84,1005.0,3936.69,25.31,-995.0,-995.0,LOSS,expiration,2022-07-19,0,,995.0,-995.0,-995.0,-995.0,-995.0
2022-07-20,2022-07-20,SPX,0,RJL,3931.69,34.2,3930.0,3920.0,3945.0,3965.0,10.0,20.0,13.31,1015.0,3959.9,24.49,-426.0,-426.0,LOSS,expiration,2022-07-20,0,,985.0,101.5,-426.0,-426.0,-426.0
