trade_date,exp_date,underlying,dte_entry,structure,spot_entry,spot_exit,put_upper,put_center,put_lower,total_credit,entry_cons,entry_spread,vix_entry,iv_atm_pct,em_pct,expected_move,pnl_usd,max_risk_usd,result,exit_method,mfe,mae,pnl_exit90,pnl_exit75,pnl_exit60,pnl_exit45,pnl_exit30,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,pnl_tp25,pnl_tp50,pnl_tp75,pnl_tp100,pnl_tp25_exit90,pnl_tp25_exit75,pnl_tp25_exit60,pnl_tp25_exit45,pnl_tp25_exit30,pnl_tp25_exit21,pnl_tp25_exit14,pnl_tp25_exit10,pnl_tp25_exit7,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit90,pnl_tp50_exit75,pnl_tp50_exit60,pnl_tp50_exit45,pnl_tp50_exit30,pnl_tp50_exit21,pnl_tp50_exit14,pnl_tp50_exit10,pnl_tp50_exit7,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit90,pnl_tp75_exit75,pnl_tp75_exit60,pnl_tp75_exit45,pnl_tp75_exit30,pnl_tp75_exit21,pnl_tp75_exit14,pnl_tp75_exit10,pnl_tp75_exit7,pnl_tp75_exit5,pnl_tp75_exit3,pnl_tp100_exit90,pnl_tp100_exit75,pnl_tp100_exit60,pnl_tp100_exit45,pnl_tp100_exit30,pnl_tp100_exit21,pnl_tp100_exit14,pnl_tp100_exit10,pnl_tp100_exit7,pnl_tp100_exit5,pnl_tp100_exit3
2021-06-04,2021-09-30,SPX,118,BWB 1-2-2 puts (+1/-2/+2),4217.1,4306.53,4000,3760,2850,60.0,210.0,150.0,16.65,16.65,9.47,399.2,-60.0,67210.0,LOSS,expiration,575,-65,330.0,400.0,350.0,240.0,25.0,15.0,30.0,190.0,-25.0,-32.5,-32.5,-60.0,-60.0,-60.0,-60.0,330.0,400.0,350.0,240.0,25.0,15.0,30.0,190.0,-25.0,-32.5,-32.5,330.0,400.0,350.0,240.0,25.0,15.0,30.0,190.0,-25.0,-32.5,-32.5,330.0,400.0,350.0,240.0,25.0,15.0,30.0,190.0,-25.0,-32.5,-32.5,330.0,400.0,350.0,240.0,25.0,15.0,30.0,190.0,-25.0,-32.5,-32.5
2021-06-11,2021-10-15,SPX,126,BWB 1-2-2 puts (+1/-2/+2),4243.32,4471.01,4030,3790,2900,55.0,710.0,655.0,15.43,15.43,9.07,384.7,-55.0,65710.0,LOSS,expiration,830,-165,95.0,360.0,295.0,80.0,195.0,115.0,715.0,245.0,-17.5,-35.0,-10.0,-55.0,-55.0,-55.0,-55.0,95.0,360.0,295.0,80.0,195.0,115.0,715.0,245.0,-17.5,-35.0,-10.0,95.0,360.0,295.0,80.0,195.0,115.0,715.0,245.0,-17.5,-35.0,-10.0,95.0,360.0,295.0,80.0,195.0,115.0,715.0,245.0,-17.5,-35.0,-10.0,95.0,360.0,295.0,80.0,195.0,115.0,715.0,245.0,-17.5,-35.0,-10.0
2021-06-18,2021-10-15,SPX,119,BWB 1-2-2 puts (+1/-2/+2),4188.86,4471.01,3960,3710,2825,335.0,530.0,195.0,19.52,19.52,11.15,466.9,-335.0,64030.0,LOSS,expiration,460,-325,130.0,115.0,10.0,-205.0,-150.0,-245.0,100.0,-190.0,-315.0,-310.0,-300.0,-335.0,-335.0,-335.0,-335.0,130.0,115.0,10.0,-205.0,-150.0,-245.0,100.0,-190.0,-315.0,-310.0,-300.0,130.0,115.0,10.0,-205.0,-150.0,-245.0,100.0,-190.0,-315.0,-310.0,-300.0,130.0,115.0,10.0,-205.0,-150.0,-245.0,100.0,-190.0,-315.0,-310.0,-300.0,130.0,115.0,10.0,-205.0,-150.0,-245.0,100.0,-190.0,-315.0,-310.0,-300.0
2021-06-25,2021-10-29,SPX,126,BWB 1-2-2 puts (+1/-2/+2),4274.57,4604.75,4060,3820,2950,-20.0,1330.0,1350.0,15.71,15.71,9.23,394.6,20.0,64330.0,WIN,expiration,1440,-5,290.0,365.0,225.0,280.0,835.0,565.0,115.0,67.5,42.5,40.0,30.0,20.0,20.0,20.0,20.0,290.0,365.0,225.0,280.0,835.0,565.0,115.0,67.5,42.5,40.0,30.0,290.0,365.0,225.0,280.0,835.0,565.0,115.0,67.5,42.5,40.0,30.0,290.0,365.0,225.0,280.0,835.0,565.0,115.0,67.5,42.5,40.0,30.0,290.0,365.0,225.0,280.0,835.0,565.0,115.0,67.5,42.5,40.0,30.0
2021-07-02,2021-10-29,SPX,119,BWB 1-2-2 puts (+1/-2/+2),4333.06,4604.75,4130,3900,3000,-30.0,110.0,140.0,14.52,14.52,8.29,359.2,30.0,67110.0,WIN,expiration,1690,-620,105.0,225.0,180.0,265.0,940.0,830.0,210.0,110.0,57.5,65.0,50.0,30.0,30.0,30.0,30.0,105.0,225.0,180.0,265.0,940.0,830.0,210.0,110.0,57.5,65.0,50.0,105.0,225.0,180.0,265.0,940.0,830.0,210.0,110.0,57.5,65.0,50.0,105.0,225.0,180.0,265.0,940.0,830.0,210.0,110.0,57.5,65.0,50.0,105.0,225.0,180.0,265.0,940.0,830.0,210.0,110.0,57.5,65.0,50.0
2021-07-09,2021-10-29,SPX,112,BWB 1-2-2 puts (+1/-2/+2),4349.82,4604.75,4130,3900,3000,-25.0,100.0,125.0,16.97,16.97,9.4,408.9,25.0,67100.0,WIN,expiration,1685,-625,100.0,220.0,175.0,260.0,935.0,825.0,205.0,105.0,52.5,60.0,45.0,25.0,25.0,25.0,25.0,100.0,220.0,175.0,260.0,935.0,825.0,205.0,105.0,52.5,60.0,45.0,100.0,220.0,175.0,260.0,935.0,825.0,205.0,105.0,52.5,60.0,45.0,100.0,220.0,175.0,260.0,935.0,825.0,205.0,105.0,52.5,60.0,45.0,100.0,220.0,175.0,260.0,935.0,825.0,205.0,105.0,52.5,60.0,45.0
2021-07-16,2021-11-19,SPX,126,BWB 1-2-2 puts (+1/-2/+2),4365.01,4697.95,4130,3875,2950,170.0,1480.0,1310.0,16.42,16.42,9.65,421.1,-170.0,68480.0,LOSS,expiration,1185,-495,90.0,75.0,445.0,1070.0,130.0,-50.0,-160.0,-130.0,-155.0,-147.5,-157.5,-170.0,-170.0,-170.0,-170.0,90.0,75.0,445.0,1070.0,130.0,-50.0,-160.0,-130.0,-155.0,-147.5,-157.5,90.0,75.0,445.0,1070.0,130.0,-50.0,-160.0,-130.0,-155.0,-147.5,-157.5,90.0,75.0,445.0,1070.0,130.0,-50.0,-160.0,-130.0,-155.0,-147.5,-157.5,90.0,75.0,445.0,1070.0,130.0,-50.0,-160.0,-130.0,-155.0,-147.5,-157.5
2021-07-23,2021-11-19,SPX,119,BWB 1-2-2 puts (+1/-2/+2),4382.7,4697.95,4150,3900,2950,-70.0,40.0,110.0,17.21,17.21,9.83,430.7,70.0,70040.0,WIN,expiration,1455,-210,215.0,245.0,555.0,1255.0,390.0,195.0,75.0,112.5,90.0,95.0,82.5,70.0,70.0,70.0,70.0,215.0,245.0,555.0,1255.0,390.0,195.0,75.0,112.5,90.0,95.0,82.5,215.0,245.0,555.0,1255.0,390.0,195.0,75.0,112.5,90.0,95.0,82.5,215.0,245.0,555.0,1255.0,390.0,195.0,75.0,112.5,90.0,95.0,82.5,215.0,245.0,555.0,1255.0,390.0,195.0,75.0,112.5,90.0,95.0,82.5
2021-07-30,2021-11-19,SPX,112,BWB 1-2-2 puts (+1/-2/+2),4406.6,4697.95,4150,3900,2950,-90.0,1350.0,1440.0,17.89,17.89,9.91,436.7,90.0,71350.0,WIN,expiration,1475,-80,235.0,265.0,575.0,1275.0,410.0,215.0,95.0,132.5,110.0,115.0,102.5,90.0,90.0,90.0,90.0,235.0,265.0,575.0,1275.0,410.0,215.0,95.0,132.5,110.0,115.0,102.5,235.0,265.0,575.0,1275.0,410.0,215.0,95.0,132.5,110.0,115.0,102.5,235.0,265.0,575.0,1275.0,410.0,215.0,95.0,132.5,110.0,115.0,102.5,235.0,265.0,575.0,1275.0,410.0,215.0,95.0,132.5,110.0,115.0,102.5
2021-08-06,2021-11-19,SPX,105,BWB 1-2-2 puts (+1/-2/+2),4431.13,4697.95,4150,3900,2950,85.0,180.0,95.0,16.94,16.94,9.09,402.6,-85.0,70180.0,LOSS,expiration,1300,-115,60.0,90.0,400.0,1100.0,235.0,40.0,-80.0,-42.5,-65.0,-60.0,-72.5,-85.0,-85.0,-85.0,-85.0,60.0,90.0,400.0,1100.0,235.0,40.0,-80.0,-42.5,-65.0,-60.0,-72.5,60.0,90.0,400.0,1100.0,235.0,40.0,-80.0,-42.5,-65.0,-60.0,-72.5,60.0,90.0,400.0,1100.0,235.0,40.0,-80.0,-42.5,-65.0,-60.0,-72.5,60.0,90.0,400.0,1100.0,235.0,40.0,-80.0,-42.5,-65.0,-60.0,-72.5
