trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,pnl_tp25_exit14,pnl_tp25_exit10,pnl_tp25_exit7,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit14,pnl_tp50_exit10,pnl_tp50_exit7,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit14,pnl_tp75_exit10,pnl_tp75_exit7,pnl_tp75_exit5,pnl_tp75_exit3
2021-01-08,2021-01-22,SPX,14,0.75,Inverse Butterfly 1-2-1 (calls),3817.5,3841.15,3815.0,3725.0,3905.0,3000.0,21.7,15.68,117.2,-3385.0,-3385.0,-3385.0,-3385.0,LOSS,expiration,105.0,-5285.0,-15.0,-150.0,-942.5,-1695.0,-1695.0,-15.0,-150.0,-942.5,-1695.0,-1695.0,-15.0,-150.0,-942.5,-1695.0,-1695.0,-15.0,-150.0,-942.5,-1695.0,-1695.0
2021-01-15,2021-01-29,SPX,14,0.75,Inverse Butterfly 1-2-1 (calls),3783.61,3713.23,3785.0,3685.0,3885.0,3055.0,23.61,18.1,134.2,232.0,763.75,232.0,232.0,WIN,expiration,865.0,-4105.0,-110.0,-380.0,525.0,300.0,645.0,-110.0,-380.0,763.75,763.75,763.75,-110.0,-380.0,525.0,300.0,645.0,-110.0,-380.0,525.0,300.0,645.0
2021-01-22,2021-02-05,SPX,14,0.75,Inverse Butterfly 1-2-1 (calls),3841.06,3886.82,3840.0,3750.0,3930.0,2915.0,21.9,16.22,122.0,-1403.0,-1403.0,-1403.0,-1403.0,LOSS,expiration,362.5,-3260.0,-50.0,15.0,-487.5,-77.5,-1635.0,-50.0,15.0,-487.5,-77.5,-1635.0,-50.0,15.0,-487.5,-77.5,-1635.0,-50.0,15.0,-487.5,-77.5,-1635.0
2021-01-29,2021-02-12,SPX,14,0.75,Inverse Butterfly 1-2-1 (calls),3763.09,3935.04,3765.0,3630.0,3900.0,3815.0,30.67,24.51,180.6,3815.0,953.75,1907.5,2861.25,WIN,expiration,3760.0,-2640.0,-175.0,-100.0,1005.0,2125.0,2290.0,-175.0,-100.0,953.75,953.75,953.75,-175.0,-100.0,1005.0,1907.5,1907.5,-175.0,-100.0,1005.0,2125.0,2290.0
2021-02-05,2021-02-19,SPX,14,0.75,Inverse Butterfly 1-2-1 (calls),3881.32,3906.87,3880.0,3795.0,3965.0,2860.0,21.73,15.13,115.0,-2953.0,715.0,-2953.0,-2953.0,LOSS,expiration,765.0,-4125.0,-50.0,85.0,120.0,765.0,765.0,-50.0,85.0,120.0,715.0,715.0,-50.0,85.0,120.0,765.0,765.0,-50.0,85.0,120.0,765.0,765.0
2021-02-12,2021-02-26,SPX,14,0.75,Inverse Butterfly 1-2-1 (calls),3912.37,3810.81,3910.0,3820.0,4000.0,3185.0,20.93,15.24,116.8,3185.0,796.25,1592.5,2388.75,WIN,expiration,3037.5,-2805.0,250.0,530.0,-430.0,-1117.5,137.5,250.0,530.0,-430.0,-1117.5,137.5,250.0,530.0,-430.0,-1117.5,137.5,250.0,530.0,-430.0,-1117.5,137.5
2021-02-19,2021-03-05,SPX,14,0.75,Inverse Butterfly 1-2-1 (calls),3926.98,3841.58,3925.0,3835.0,4015.0,2985.0,21.63,15.48,119.1,2327.0,746.25,1492.5,2238.75,WIN,expiration,2915.0,-1915.0,-80.0,110.0,145.0,-765.0,-1577.5,-80.0,110.0,145.0,-765.0,-1577.5,-80.0,110.0,145.0,-765.0,-1577.5,-80.0,110.0,145.0,-765.0,-1577.5
2021-02-26,2021-03-12,SPX,14,0.75,Inverse Butterfly 1-2-1 (calls),3826.31,3943.11,3825.0,3685.0,3965.0,4035.0,28.61,25.2,188.8,1846.0,1008.75,1846.0,1846.0,WIN,expiration,1922.5,-3680.0,-85.0,-25.0,-1875.0,-1892.5,-2030.0,-85.0,-25.0,-1875.0,-1892.5,-2030.0,-85.0,-25.0,-1875.0,-1892.5,-2030.0,-85.0,-25.0,-1875.0,-1892.5,-2030.0
2021-03-05,2021-03-19,SPX,14,0.75,Inverse Butterfly 1-2-1 (calls),3776.04,3911.67,3775.0,3635.0,3915.0,4165.0,28.34,24.83,183.6,3832.0,1041.25,2082.5,3123.75,WIN,expiration,4055.0,-910.0,-240.0,1140.0,2480.0,2740.0,3500.0,-240.0,1041.25,1041.25,1041.25,1041.25,-240.0,1140.0,2082.5,2082.5,2082.5,-240.0,1140.0,2480.0,2740.0,3123.75
2021-03-12,2021-03-26,SPX,14,0.75,Inverse Butterfly 1-2-1 (calls),3932.31,3974.28,3930.0,3830.0,4030.0,3320.0,22.16,17.35,133.7,-2252.0,-2252.0,-2252.0,-2252.0,LOSS,expiration,220.0,-6065.0,-110.0,220.0,-960.0,-2115.0,-2460.0,-110.0,220.0,-960.0,-2115.0,-2460.0,-110.0,220.0,-960.0,-2115.0,-2460.0,-110.0,220.0,-960.0,-2115.0,-2460.0
2021-03-19,2021-04-01,SPX,13,0.75,Inverse Butterfly 1-2-1 (calls),3900.36,4019.79,3900.0,3805.0,3995.0,3070.0,22.34,17.34,127.6,3070.0,767.5,1535.0,2302.5,WIN,expiration,3040.0,-2440.0,10.0,-190.0,-1275.0,840.0,115.0,10.0,-190.0,-1275.0,767.5,767.5,10.0,-190.0,-1275.0,840.0,115.0,10.0,-190.0,-1275.0,840.0,115.0
2021-03-26,2021-04-09,SPX,14,0.75,Inverse Butterfly 1-2-1 (calls),3927.31,4127.76,3925.0,3845.0,4005.0,2695.0,18.98,13.81,106.2,2695.0,673.75,1347.5,2021.25,WIN,expiration,2775.0,-1330.0,45.0,615.0,1480.0,2220.0,2440.0,673.75,673.75,673.75,673.75,673.75,45.0,615.0,1347.5,1347.5,1347.5,45.0,615.0,1480.0,2021.25,2021.25
2021-04-09,2021-04-23,SPX,14,0.75,Inverse Butterfly 1-2-1 (calls),4103.29,4179.49,4105.0,4035.0,4175.0,2285.0,17.14,11.82,95.0,2285.0,571.25,1142.5,1713.75,WIN,expiration,2200.0,-2250.0,-5.0,255.0,1160.0,1125.0,555.0,-5.0,255.0,571.25,571.25,571.25,-5.0,255.0,1142.5,1142.5,1142.5,-5.0,255.0,1160.0,1125.0,555.0
2021-04-16,2021-04-30,SPX,14,0.75,Inverse Butterfly 1-2-1 (calls),4173.23,4181.81,4175.0,4100.0,4250.0,2370.0,16.77,12.27,100.3,-4449.0,-4449.0,-4449.0,-4449.0,LOSS,expiration,80.0,-6195.0,-20.0,-130.0,-420.0,-750.0,-1157.5,-20.0,-130.0,-420.0,-750.0,-1157.5,-20.0,-130.0,-420.0,-750.0,-1157.5,-20.0,-130.0,-420.0,-750.0,-1157.5
2021-04-23,2021-05-07,SPX,14,0.75,Inverse Butterfly 1-2-1 (calls),4153.09,4231.53,4155.0,4075.0,4235.0,2375.0,18.03,13.45,109.4,2028.0,593.75,1187.5,1781.25,WIN,expiration,2122.5,-2910.0,95.0,-45.0,480.0,100.0,-1272.5,95.0,-45.0,480.0,100.0,-1272.5,95.0,-45.0,480.0,100.0,-1272.5,95.0,-45.0,480.0,100.0,-1272.5
