trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit3,pnl_tp25_exit3,pnl_tp50_exit3,pnl_tp75_exit3
2021-01-04,2021-01-08,SPX,4,0.25,Inverse Butterfly 1-2-1 (calls),3747.9,3824.59,3750.0,3730.0,3770.0,125.0,24.17,21.44,84.1,125.0,31.25,62.5,93.75,WIN,expiration,200.0,-3260.0,-105.0,-105.0,-105.0,-105.0
2021-01-11,2021-01-15,SPX,4,0.25,Inverse Butterfly 1-2-1 (calls),3804.28,3768.5,3805.0,3785.0,3825.0,230.0,23.7,19.08,76.0,230.0,57.5,115.0,172.5,WIN,expiration,235.0,-1080.0,-25.0,-25.0,-25.0,-25.0
2021-01-25,2021-01-29,SPX,4,0.25,Inverse Butterfly 1-2-1 (calls),3849.45,3713.23,3850.0,3835.0,3865.0,160.0,22.9,15.94,64.2,160.0,40.0,80.0,120.0,WIN,expiration,210.0,-780.0,20.0,20.0,20.0,20.0
2021-02-01,2021-02-05,SPX,4,0.25,Inverse Butterfly 1-2-1 (calls),3737.26,3886.82,3735.0,3705.0,3765.0,235.0,32.87,30.74,120.3,235.0,58.75,117.5,176.25,WIN,expiration,280.0,-2740.0,190.0,58.75,117.5,176.25
2021-02-08,2021-02-12,SPX,4,0.25,Inverse Butterfly 1-2-1 (calls),3906.62,3935.04,3905.0,3890.0,3920.0,175.0,21.66,14.59,59.7,175.0,175.0,175.0,175.0,WIN,expiration,175.0,-700.0,-10.0,-10.0,-10.0,-10.0
2021-02-22,2021-02-26,SPX,4,0.25,Inverse Butterfly 1-2-1 (calls),3887.08,3810.81,3885.0,3865.0,3905.0,230.0,23.47,19.26,78.4,230.0,57.5,115.0,230.0,WIN,expiration,230.0,-890.0,10.0,10.0,10.0,10.0
2021-03-01,2021-03-05,SPX,4,0.25,Inverse Butterfly 1-2-1 (calls),3876.07,3841.58,3875.0,3855.0,3895.0,185.0,23.8,21.88,88.8,185.0,46.25,92.5,138.75,WIN,expiration,182.5,-2170.0,20.0,46.25,20.0,20.0
2021-03-08,2021-03-12,SPX,4,0.25,Inverse Butterfly 1-2-1 (calls),3843.44,3943.11,3845.0,3820.0,3870.0,175.0,26.04,25.97,104.5,175.0,43.75,87.5,131.25,WIN,expiration,225.0,-1640.0,-40.0,-40.0,-40.0,-40.0
2021-03-15,2021-03-19,SPX,4,0.25,Inverse Butterfly 1-2-1 (calls),3942.75,3911.67,3945.0,3925.0,3965.0,255.0,21.22,17.1,70.6,255.0,63.75,127.5,191.25,WIN,expiration,252.5,-1790.0,55.0,63.75,127.5,55.0
2021-03-22,2021-03-26,SPX,4,0.25,Inverse Butterfly 1-2-1 (calls),3928.18,3974.28,3930.0,3915.0,3945.0,165.0,20.35,15.56,64.0,165.0,41.25,82.5,123.75,WIN,expiration,2565.0,-2630.0,-0.0,41.25,-0.0,-0.0
