trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,result,exit_method,in_range
2021-05-14,2021-05-27,SPX,14,2340.0,-578.62,18.81,LOSS,expiration,False
2021-05-21,2021-06-03,SPX,14,3045.0,-562.62,20.15,LOSS,expiration,False
2021-05-28,2021-06-10,SPX,14,3110.0,-565.62,16.76,LOSS,expiration,False
2021-06-04,2021-06-17,SPX,14,2395.0,143.38,16.42,WIN,expiration,True
2021-06-11,2021-06-24,SPX,14,2355.0,-225.62,15.65,LOSS,expiration,False
2021-06-18,2021-07-01,SPX,14,2005.0,-1062.62,20.7,LOSS,expiration,False
2021-06-25,2021-07-08,SPX,14,2465.0,2462.38,15.62,WIN,expiration,True
2021-07-02,2021-07-15,SPX,14,2100.0,709.38,15.07,WIN,expiration,True
2021-07-09,2021-07-22,SPX,14,2535.0,221.38,16.18,WIN,expiration,True
2021-07-16,2021-07-29,SPX,14,2570.0,-167.62,18.45,LOSS,expiration,False
2021-07-23,2021-08-05,SPX,14,2420.0,-190.62,17.2,LOSS,expiration,False
2021-07-30,2021-08-12,SPX,14,2845.0,-855.62,18.24,LOSS,expiration,False
2021-08-06,2021-08-19,SPX,14,3055.0,1162.38,16.15,WIN,expiration,True
2021-08-13,2021-08-26,SPX,14,2870.0,667.38,15.45,WIN,expiration,True
2021-08-20,2021-09-02,SPX,14,2460.0,-157.62,18.56,LOSS,expiration,False
2021-08-27,2021-09-09,SPX,14,2630.0,601.38,16.39,WIN,expiration,True
2021-09-03,2021-09-16,SPX,14,2830.0,-562.62,16.41,LOSS,expiration,False
2021-09-10,2021-09-23,SPX,14,2645.0,296.38,20.95,WIN,expiration,True
2021-09-17,2021-09-30,SPX,14,2670.0,388.38,20.81,WIN,expiration,True
2021-09-24,2021-10-07,SPX,14,2735.0,229.38,17.75,WIN,expiration,True
2021-10-01,2021-10-14,SPX,14,3085.0,-518.62,21.15,LOSS,expiration,False
2021-10-08,2021-10-21,SPX,14,2980.0,-1770.62,18.77,LOSS,expiration,False
2021-10-15,2021-10-28,SPX,14,2725.0,-77.62,16.3,LOSS,expiration,False
2021-10-22,2021-11-04,SPX,14,2605.0,-920.62,15.43,LOSS,expiration,False
2021-10-29,2021-11-11,SPX,14,2760.0,794.38,16.26,WIN,expiration,True
2021-11-05,2021-11-18,SPX,14,2010.0,-50.62,16.48,LOSS,expiration,False
2021-11-12,2021-11-26,SPX,14,3195.0,2397.38,16.29,WIN,expiration,True
