trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit3
2021-08-02,2021-08-06,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4413.39,4436.2,4415.0,4405.0,4425.0,300.0,18.45,11.74,54.2,300.0,220.0,220.0,225.0,WIN,expiration,295.0,-1420.0,220.0
2021-08-09,2021-08-13,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4428.9,4467.97,4430.0,4425.0,4435.0,25.0,17.22,9.75,45.2,25.0,10.0,15.0,35.0,WIN,expiration,35.0,-1470.0,0.0
2021-08-16,2021-08-20,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4442.39,4400.27,4440.0,4430.0,4450.0,95.0,17.55,11.06,51.5,95.0,45.0,150.0,150.0,WIN,expiration,150.0,-1040.0,10.0
2021-08-23,2021-08-27,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4470.97,4508.71,4470.0,4460.0,4480.0,70.0,17.54,11.07,51.8,70.0,95.0,95.0,95.0,WIN,expiration,95.0,-1440.0,-75.0
2021-08-30,2021-09-03,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4520.98,4535.22,4520.0,4515.0,4525.0,30.0,16.48,9.98,47.2,30.0,10.0,15.0,25.0,WIN,expiration,110.0,-540.0,15.0
2021-09-13,2021-09-17,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4476.38,4433.19,4475.0,4465.0,4485.0,40.0,19.69,15.78,74.0,40.0,22.5,22.5,35.0,WIN,expiration,37.5,-480.0,-20.0
2021-09-20,2021-09-24,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4374.94,4455.58,4375.0,4360.0,4390.0,75.0,24.9,23.98,109.8,75.0,250.0,250.0,250.0,WIN,expiration,250.0,-3410.0,-5.0
2021-09-27,2021-10-01,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4446.21,4355.01,4445.0,4435.0,4455.0,95.0,18.71,14.46,67.3,95.0,35.0,60.0,82.5,WIN,expiration,95.0,-330.0,10.0
2021-10-04,2021-10-08,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4345.13,4390.96,4345.0,4330.0,4360.0,80.0,22.1,21.86,99.4,80.0,180.0,180.0,180.0,WIN,expiration,300.0,-1840.0,180.0
2021-10-11,2021-10-15,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4407.09,4471.01,4405.0,4395.0,4415.0,60.0,18.73,16.7,77.0,60.0,30.0,30.0,60.0,WIN,expiration,160.0,-1900.0,-5.0
2021-10-18,2021-10-22,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4466.39,4545.08,4465.0,4455.0,4475.0,70.0,17.2,13.3,62.2,70.0,25.0,40.0,60.0,WIN,expiration,275.0,-1640.0,25.0
2021-10-25,2021-10-29,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4549.77,4604.75,4550.0,4540.0,4560.0,85.0,15.8,10.68,50.8,85.0,105.0,105.0,105.0,WIN,expiration,420.0,-1990.0,25.0
2021-11-01,2021-11-05,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4606.07,4696.4,4605.0,4595.0,4615.0,60.0,17.27,14.18,68.4,60.0,15.0,70.0,70.0,WIN,expiration,200.0,-3800.0,0.0
