trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit3,pnl_tp25_exit3,pnl_tp50_exit3,pnl_tp75_exit3
2021-01-04,2021-01-08,SPX,4,0.60,Inverse Butterfly 1-2-1 (calls),3747.9,3824.59,3750.0,3700.0,3800.0,1235.0,24.17,21.44,84.1,1235.0,308.75,617.5,926.25,WIN,expiration,1265.0,-2360.0,-105.0,-105.0,-105.0,-105.0
2021-01-11,2021-01-15,SPX,4,0.60,Inverse Butterfly 1-2-1 (calls),3804.28,3768.5,3805.0,3760.0,3850.0,1130.0,23.7,19.08,76.0,280.0,280.0,280.0,280.0,WIN,expiration,100.0,-1880.0,-145.0,-145.0,-145.0,-145.0
2021-01-25,2021-01-29,SPX,4,0.60,Inverse Butterfly 1-2-1 (calls),3849.45,3713.23,3850.0,3810.0,3890.0,1060.0,22.9,15.94,64.2,1060.0,265.0,530.0,795.0,WIN,expiration,1065.0,-720.0,75.0,75.0,75.0,75.0
2021-02-01,2021-02-05,SPX,4,0.60,Inverse Butterfly 1-2-1 (calls),3737.26,3886.82,3735.0,3665.0,3805.0,1370.0,32.87,30.74,120.3,1370.0,342.5,685.0,1027.5,WIN,expiration,1385.0,-1390.0,695.0,342.5,685.0,695.0
2021-02-08,2021-02-12,SPX,4,0.60,Inverse Butterfly 1-2-1 (calls),3906.62,3935.04,3905.0,3870.0,3940.0,940.0,21.66,14.59,59.7,444.0,235.0,470.0,444.0,WIN,expiration,595.0,-1255.0,-0.0,-0.0,-0.0,-0.0
2021-02-22,2021-02-26,SPX,4,0.60,Inverse Butterfly 1-2-1 (calls),3887.08,3810.81,3885.0,3840.0,3930.0,1070.0,23.47,19.26,78.4,1070.0,267.5,535.0,802.5,WIN,expiration,1067.5,-1090.0,15.0,15.0,15.0,15.0
2021-03-01,2021-03-05,SPX,4,0.60,Inverse Butterfly 1-2-1 (calls),3876.07,3841.58,3875.0,3820.0,3930.0,1365.0,23.8,21.88,88.8,-793.0,341.25,682.5,1023.75,LOSS,expiration,1245.0,-2395.0,50.0,50.0,50.0,50.0
2021-03-08,2021-03-12,SPX,4,0.60,Inverse Butterfly 1-2-1 (calls),3843.44,3943.11,3845.0,3780.0,3910.0,1445.0,26.04,25.97,104.5,1445.0,361.25,722.5,1083.75,WIN,expiration,1585.0,-1440.0,-110.0,-110.0,-110.0,-110.0
2021-03-15,2021-03-19,SPX,4,0.60,Inverse Butterfly 1-2-1 (calls),3942.75,3911.67,3945.0,3905.0,3985.0,995.0,21.22,17.1,70.6,328.0,248.75,497.5,328.0,WIN,expiration,530.0,-1840.0,220.0,220.0,220.0,220.0
2021-03-22,2021-03-26,SPX,4,0.60,Inverse Butterfly 1-2-1 (calls),3928.18,3974.28,3930.0,3890.0,3970.0,1105.0,20.35,15.56,64.0,1105.0,276.25,552.5,828.75,WIN,expiration,2055.0,-2490.0,35.0,35.0,35.0,35.0
