trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit30,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2021-01-08,2021-02-19,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),3817.5,3906.87,3815.0,3725.0,3905.0,1610.0,21.7,17.83,230.9,1610.0,540.0,925.0,1290.0,WIN,expiration,1675.0,-3050.0,-210.0,-325.0,-210.0,205.0,425.0,925.0,925.0
2021-01-15,2021-02-26,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),3783.61,3810.81,3785.0,3690.0,3880.0,1545.0,23.61,18.42,236.4,-5374.0,395.0,805.0,-5374.0,LOSS,expiration,1070.0,-12235.0,75.0,235.0,580.0,805.0,495.0,80.0,-1215.0
2021-01-22,2021-03-05,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),3841.06,3841.58,3840.0,3745.0,3935.0,1715.0,21.9,18.59,242.2,-7627.0,520.0,-7627.0,-7627.0,LOSS,expiration,520.0,-8025.0,-275.0,280.0,90.0,-1050.0,-605.0,-1180.0,-870.0
2021-01-29,2021-03-12,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),3763.09,3943.11,3765.0,3645.0,3885.0,1650.0,30.67,23.77,303.4,1650.0,485.0,1230.0,1365.0,WIN,expiration,1870.0,-3610.0,485.0,415.0,-330.0,110.0,-1885.0,-1060.0,-660.0
2021-02-05,2021-03-19,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),3881.32,3911.67,3880.0,3780.0,3980.0,1960.0,21.73,18.87,248.4,-4873.0,-4873.0,-4873.0,-4873.0,LOSS,expiration,345.0,-6445.0,35.0,-245.0,-1080.0,-1310.0,-655.0,-980.0,80.0
2021-02-12,2021-03-31,SPX,47,0.40,Inverse Butterfly 1-2-1 (calls),3912.37,3973.61,3910.0,3805.0,4015.0,1795.0,20.93,18.43,258.8,-2344.0,-2344.0,-2344.0,-2344.0,LOSS,expiration,260.0,-5450.0,-1070.0,-1225.0,-1285.0,-2805.0,-3212.5,-4057.5,-2730.0
2021-02-19,2021-04-09,SPX,49,0.40,Inverse Butterfly 1-2-1 (calls),3926.98,4127.76,3925.0,3820.0,4030.0,2000.0,21.63,18.19,261.8,2000.0,1050.0,1050.0,1530.0,WIN,expiration,2025.0,-3230.0,-705.0,-1195.0,-2395.0,-1560.0,1050.0,1050.0,1470.0
2021-03-05,2021-04-16,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),3776.04,4184.71,3775.0,3660.0,3890.0,1830.0,28.34,22.82,292.3,1830.0,520.0,925.0,1380.0,WIN,expiration,1925.0,-3190.0,870.0,680.0,1560.0,1645.0,1750.0,1820.0,1820.0
2021-03-12,2021-04-23,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),3932.31,4179.49,3930.0,3830.0,4030.0,1710.0,22.16,18.48,246.5,1710.0,530.0,935.0,1360.0,WIN,expiration,1745.0,-3580.0,-945.0,530.0,1170.0,1175.0,1515.0,1605.0,1580.0
2021-03-19,2021-04-30,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),3900.36,4181.81,3900.0,3805.0,3995.0,1670.0,22.34,18.39,243.2,1670.0,425.0,865.0,1255.0,WIN,expiration,1730.0,-2030.0,130.0,1255.0,1520.0,1395.0,1365.0,1605.0,1700.0
2021-03-26,2021-05-07,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),3927.31,4231.53,3925.0,3840.0,4010.0,1385.0,18.98,15.8,210.5,1385.0,355.0,730.0,1080.0,WIN,expiration,1410.0,-4340.0,725.0,1030.0,1005.0,1180.0,1300.0,1365.0,1150.0
2021-04-09,2021-05-21,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),4103.29,4156.18,4105.0,4030.0,4180.0,1430.0,17.14,13.32,185.4,-952.0,390.0,730.0,-952.0,LOSS,expiration,905.0,-4405.0,350.0,745.0,650.0,210.0,-25.0,-45.0,-195.0
2021-04-16,2021-05-28,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),4173.23,4204.6,4175.0,4100.0,4250.0,1320.0,16.77,13.1,185.5,-3220.0,-3220.0,-3220.0,-3220.0,LOSS,expiration,240.0,-4685.0,-60.0,-170.0,-775.0,-1095.0,-1445.0,-1832.5,-1815.0
2021-04-23,2021-06-04,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),4153.09,4229.55,4155.0,4075.0,4235.0,1365.0,18.03,14.37,202.4,820.0,417.5,745.0,820.0,WIN,expiration,822.5,-4310.0,-25.0,-260.0,-685.0,-640.0,-1125.0,-555.0,-555.0
2021-04-30,2021-06-11,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),4196.6,4247.4,4195.0,4105.0,4285.0,1770.0,17.98,15.49,220.5,-1990.0,-1990.0,-1990.0,-1990.0,LOSS,expiration,280.0,-5120.0,-280.0,-930.0,-1975.0,-1617.5,-2595.0,-2387.5,-2640.0
2021-05-07,2021-06-18,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),4219.5,4165.59,4220.0,4140.0,4300.0,1455.0,18.02,13.84,198.1,-1104.0,-1104.0,-1104.0,-1104.0,LOSS,expiration,220.0,-5015.0,-265.0,-1125.0,-1345.0,-1765.0,-1980.0,-2220.0,-1830.0
2021-05-14,2021-06-30,SPX,47,0.40,Inverse Butterfly 1-2-1 (calls),4156.78,4297.32,4155.0,4055.0,4255.0,1735.0,19.7,16.57,247.1,1735.0,660.0,945.0,1335.0,WIN,expiration,1845.0,-3990.0,-170.0,-130.0,125.0,-1145.0,240.0,945.0,1335.0
2021-05-28,2021-07-09,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),4215.32,4369.36,4220.0,4150.0,4290.0,1285.0,16.49,11.99,171.5,1285.0,345.0,685.0,1000.0,WIN,expiration,1295.0,-2600.0,-225.0,-460.0,15.0,345.0,1000.0,1255.0,1255.0
2021-06-04,2021-07-16,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),4217.1,4326.81,4220.0,4150.0,4290.0,1235.0,16.65,12.46,178.3,1235.0,380.0,630.0,1145.0,WIN,expiration,1475.0,-2450.0,-35.0,235.0,1145.0,925.0,655.0,995.0,1095.0
2021-06-11,2021-07-23,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),4243.32,4411.1,4240.0,4170.0,4310.0,1350.0,15.43,12.23,176.1,1350.0,430.0,680.0,1025.0,WIN,expiration,1400.0,-3090.0,-125.0,680.0,485.0,1010.0,850.0,-240.0,25.0
2021-06-18,2021-07-30,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),4188.86,4395.97,4190.0,4105.0,4275.0,1395.0,19.52,14.58,207.2,1395.0,365.0,710.0,1055.0,WIN,expiration,1480.0,-1750.0,585.0,720.0,970.0,505.0,1055.0,1275.0,1285.0
2021-06-25,2021-08-06,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),4274.57,4436.2,4275.0,4210.0,4340.0,1280.0,15.71,11.36,164.8,1280.0,325.0,680.0,1095.0,WIN,expiration,1365.0,-2730.0,680.0,665.0,750.0,920.0,1050.0,1000.0,680.0
2021-07-09,2021-08-20,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),4349.82,4400.27,4350.0,4280.0,4420.0,1195.0,16.97,12.17,179.5,-778.0,305.0,640.0,900.0,LOSS,expiration,1195.0,-2200.0,-105.0,340.0,480.0,425.0,840.0,605.0,715.0
2021-07-16,2021-08-31,SPX,46,0.40,Inverse Butterfly 1-2-1 (calls),4365.01,4522.45,4365.0,4280.0,4450.0,1635.0,16.42,13.73,212.8,1635.0,475.0,840.0,1230.0,WIN,expiration,2205.0,-1740.0,465.0,375.0,415.0,390.0,1020.0,1120.0,1620.0
2021-08-06,2021-09-17,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),4431.13,4433.19,4430.0,4350.0,4510.0,1545.0,16.94,13.57,204.0,-6136.0,390.0,780.0,-6136.0,LOSS,expiration,925.0,-6775.0,25.0,410.0,655.0,645.0,170.0,-350.0,-945.0
2021-09-03,2021-10-15,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),4529.59,4471.01,4530.0,4460.0,4600.0,1040.0,16.6,11.68,179.5,-61.0,272.5,592.5,782.5,LOSS,expiration,1017.5,-3600.0,-610.0,-935.0,637.5,687.5,287.5,342.5,925.0
2021-09-17,2021-10-29,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),4451.54,4604.75,4450.0,4355.0,4545.0,1575.0,19.5,15.35,231.8,1575.0,395.0,1005.0,1230.0,WIN,expiration,2220.0,-3610.0,-915.0,-1445.0,-2345.0,-1240.0,230.0,220.0,1230.0
2021-09-24,2021-11-05,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),4452.18,4696.4,4450.0,4360.0,4540.0,1495.0,18.68,15.29,231.0,1495.0,430.0,800.0,1145.0,WIN,expiration,1520.0,-2490.0,-495.0,-1370.0,310.0,800.0,780.0,995.0,1215.0
2021-10-01,2021-11-12,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),4309.7,4682.96,4310.0,4200.0,4420.0,1520.0,22.91,18.61,272.1,1520.0,390.0,830.0,1155.0,WIN,expiration,1595.0,-6230.0,-360.0,1080.0,1190.0,1365.0,1520.0,1495.0,1510.0
2021-10-08,2021-11-19,SPX,42,0.40,Inverse Butterfly 1-2-1 (calls),4398.49,4697.95,4400.0,4310.0,4490.0,1430.0,18.92,15.08,225.0,1430.0,550.0,910.0,1200.0,WIN,expiration,1460.0,-3870.0,600.0,1200.0,1280.0,1200.0,1450.0,1420.0,1095.0
