Opened,pp_Closed,pp_Premium,pp_PnL,pp_Fees,cc_Closed,cc_Premium,cc_PnL,cc_Fees,combined_premium,combined_pnl_final,combined_fees,Closed,trade_id
2021-05-14,2021-06-03,1685,221.92,5.08,2021-06-03,615,-475.54,2.54,2300,-253.62000000000003,7.62,2021-06-03,1
2021-05-21,2021-06-10,1995,-1068.08,5.08,2021-06-10,685,207.46,2.54,2680,-860.6199999999999,7.62,2021-06-10,2
2021-05-28,2021-06-17,1525,479.92,5.08,2021-06-17,480,-288.54,2.54,2005,191.38,7.62,2021-06-17,3
2021-06-11,2021-07-01,1210,-668.08,5.08,2021-07-01,525,677.46,2.54,1735,9.379999999999995,7.62,2021-07-01,4
2021-06-18,2021-07-08,1890,-33.08,5.08,2021-07-08,745,1872.46,2.54,2635,1839.38,7.62,2021-07-08,5
2021-06-25,2021-07-15,1585,-336.08,5.08,2021-07-15,460,1257.46,2.54,2045,921.3800000000001,7.62,2021-07-15,6
2021-07-02,2021-07-22,1750,584.92,5.08,2021-07-22,530,-283.54,2.54,2280,301.37999999999994,7.62,2021-07-22,7
2021-07-09,2021-07-29,1500,-168.08,5.08,2021-07-29,450,232.46,2.54,1950,64.38,7.62,2021-07-29,8
2021-07-16,2021-08-05,1505,-805.08,5.08,2021-08-05,460,852.46,2.54,1965,47.379999999999995,7.62,2021-08-05,9
2021-07-23,2021-08-12,1655,-728.08,5.08,2021-08-12,540,-202.54,2.54,2195,-930.62,7.62,2021-08-12,10
2021-07-30,2021-08-19,2005,1284.92,5.08,2021-08-19,645,-187.54,2.54,2650,1097.38,7.62,2021-08-19,11
2021-08-06,2021-08-26,1845,349.92,5.08,2021-08-26,570,194.46,2.54,2415,544.38,7.62,2021-08-26,12
2021-08-13,2021-09-02,1535,-436.08,5.08,2021-09-02,455,614.46,2.54,1990,178.38000000000005,7.62,2021-09-02,13
2021-08-20,2021-09-09,1840,-40.08,5.08,2021-09-09,655,462.46,2.54,2495,422.38,7.62,2021-09-09,14
2021-08-27,2021-09-16,1965,186.92,5.08,2021-09-16,645,-565.54,2.54,2610,-378.62,7.62,2021-09-16,15
2021-09-03,2021-09-23,1690,244.92,5.08,2021-09-23,520,-450.54,2.54,2210,-205.62000000000003,7.62,2021-09-23,16
2021-09-10,2021-09-30,1575,1003.92,5.08,2021-09-30,620,-583.54,2.54,2195,420.38,7.62,2021-09-30,17
2021-09-17,2021-10-07,1785,749.92,5.08,2021-10-07,625,-500.54,2.54,2410,249.37999999999994,7.62,2021-10-07,18
2021-09-24,2021-10-14,1790,211.92,5.08,2021-10-14,460,-388.54,2.54,2250,-176.62000000000003,7.62,2021-10-14,19
2021-10-01,2021-10-21,1985,-1778.08,5.08,2021-10-21,590,417.46,2.54,2575,-1360.62,7.62,2021-10-21,20
2021-10-08,2021-10-28,2040,-1650.08,5.08,2021-10-28,780,337.46,2.54,2820,-1312.62,7.62,2021-10-28,21
2021-10-15,2021-11-04,1725,-1508.08,5.08,2021-11-04,535,37.46,2.54,2260,-1470.62,7.62,2021-11-04,22
2021-10-22,2021-11-11,1725,-761.08,5.08,2021-11-11,575,1522.46,2.54,2300,761.38,7.62,2021-11-11,23
2021-10-29,2021-11-18,1335,-745.08,5.08,2021-11-18,445,1087.46,2.54,1780,342.38,7.62,2021-11-18,24
2021-11-05,2021-11-26,1825,2434.92,5.08,2021-11-26,510,-440.54,2.54,2335,1994.38,7.62,2021-11-26,25
2021-11-12,2021-12-02,2075,2579.92,5.08,2021-12-02,690,-535.54,2.54,2765,2044.38,7.62,2021-12-02,26
2021-11-19,2021-12-09,2380,1194.92,5.08,2021-12-09,845,-585.54,2.54,3225,609.3800000000001,7.62,2021-12-09,27
2021-11-26,2021-12-16,1565,369.92,5.08,2021-12-16,605,-95.54,2.54,2170,274.38,7.62,2021-12-16,28
2021-12-03,2021-12-23,2520,-2328.08,5.08,2021-12-23,955,922.46,2.54,3475,-1405.62,7.62,2021-12-23,29
2021-12-10,2021-12-30,2160,-1160.08,5.08,2021-12-30,755,439.46,2.54,2915,-720.6199999999999,7.62,2021-12-30,30
2021-12-17,2022-01-06,2260,196.92,5.08,2022-01-06,685,62.46,2.54,2945,259.38,7.62,2022-01-06,31
2021-12-31,2022-01-20,2095,-60.08,5.08,2022-01-20,680,-675.54,2.54,2775,-735.62,7.62,2022-01-20,32
