trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,result,exit_method,in_range
2021-05-14,2021-05-20,SPX,7,3575.0,624.38,18.81,WIN,expiration,True
2021-05-21,2021-05-27,SPX,7,3225.0,-757.62,20.15,LOSS,expiration,False
2021-05-28,2021-06-03,SPX,7,3165.0,164.38,16.76,WIN,expiration,True
2021-06-04,2021-06-10,SPX,7,3830.0,-365.62,16.42,LOSS,expiration,False
2021-06-11,2021-06-17,SPX,7,2430.0,482.38,15.65,WIN,expiration,True
2021-06-18,2021-06-24,SPX,7,3385.0,-1158.62,20.7,LOSS,expiration,False
2021-06-25,2021-07-01,SPX,7,2260.0,37.38,15.62,WIN,expiration,True
2021-07-02,2021-07-08,SPX,7,3145.0,1239.38,15.07,WIN,expiration,True
2021-07-09,2021-07-15,SPX,7,2575.0,634.38,16.18,WIN,expiration,True
2021-07-16,2021-07-22,SPX,7,3890.0,-318.62,18.45,LOSS,expiration,False
2021-07-23,2021-07-29,SPX,7,3160.0,-15.62,17.2,LOSS,expiration,False
2021-07-30,2021-08-05,SPX,7,3430.0,-262.62,18.24,LOSS,expiration,False
2021-08-06,2021-08-12,SPX,7,3265.0,-567.62,16.15,LOSS,expiration,False
2021-08-13,2021-08-19,SPX,7,3205.0,847.38,15.45,WIN,expiration,True
2021-08-20,2021-08-26,SPX,7,3765.0,624.38,18.56,WIN,expiration,True
2021-08-27,2021-09-02,SPX,7,2505.0,694.38,16.39,WIN,expiration,True
2021-09-03,2021-09-09,SPX,7,3595.0,99.38,16.41,WIN,expiration,True
2021-09-10,2021-09-16,SPX,7,3920.0,-357.62,20.95,LOSS,expiration,False
2021-09-17,2021-09-23,SPX,7,3550.0,424.38,20.81,WIN,expiration,True
2021-09-24,2021-09-30,SPX,7,3400.0,-33.62,17.75,LOSS,expiration,False
2021-10-01,2021-10-07,SPX,7,4620.0,401.38,21.15,WIN,expiration,True
2021-10-08,2021-10-14,SPX,7,3735.0,-135.62,18.77,LOSS,expiration,False
2021-10-15,2021-10-21,SPX,7,3205.0,-730.62,16.3,LOSS,expiration,False
2021-10-22,2021-10-28,SPX,7,3600.0,802.38,15.43,WIN,expiration,True
