trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit30,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2021-01-08,2021-02-19,SPX,42,0.15,Inverse Butterfly 1-2-1 (calls),3817.5,3906.87,3815.0,3780.0,3850.0,240.0,21.7,17.83,230.9,240.0,170.0,170.0,230.0,WIN,expiration,795.0,-2250.0,-45.0,-40.0,-20.0,45.0,75.0,125.0,125.0
2021-01-15,2021-02-26,SPX,42,0.15,Inverse Butterfly 1-2-1 (calls),3783.61,3810.81,3785.0,3750.0,3820.0,200.0,23.61,18.42,236.4,-719.0,340.0,340.0,340.0,LOSS,expiration,510.0,-5725.0,-10.0,40.0,-35.0,85.0,-25.0,-60.0,-115.0
2021-01-22,2021-03-05,SPX,42,0.15,Inverse Butterfly 1-2-1 (calls),3841.06,3841.58,3840.0,3805.0,3875.0,230.0,21.9,18.59,242.2,-3112.0,120.0,120.0,190.0,LOSS,expiration,195.0,-3510.0,-40.0,195.0,50.0,-140.0,-50.0,-140.0,-115.0
2021-01-29,2021-03-12,SPX,42,0.15,Inverse Butterfly 1-2-1 (calls),3763.09,3943.11,3765.0,3720.0,3810.0,225.0,30.67,23.77,303.4,225.0,60.0,115.0,190.0,WIN,expiration,505.0,-3480.0,40.0,100.0,-25.0,55.0,-250.0,-10.0,-90.0
2021-02-05,2021-03-19,SPX,42,0.15,Inverse Butterfly 1-2-1 (calls),3881.32,3911.67,3880.0,3845.0,3915.0,250.0,21.73,18.87,248.4,-83.0,210.0,210.0,210.0,LOSS,expiration,225.0,-2140.0,15.0,-0.0,-190.0,-175.0,225.0,-20.0,85.0
2021-02-26,2021-04-09,SPX,42,0.15,Inverse Butterfly 1-2-1 (calls),3826.31,4127.76,3825.0,3780.0,3870.0,265.0,28.61,23.0,298.5,265.0,140.0,140.0,210.0,WIN,expiration,295.0,-3800.0,-20.0,20.0,-5.0,-30.0,245.0,245.0,260.0
2021-03-05,2021-04-16,SPX,42,0.15,Inverse Butterfly 1-2-1 (calls),3776.04,4184.71,3775.0,3730.0,3820.0,260.0,28.34,22.82,292.3,260.0,225.0,225.0,225.0,WIN,expiration,605.0,-4350.0,185.0,90.0,215.0,240.0,250.0,260.0,260.0
2021-03-19,2021-04-30,SPX,42,0.15,Inverse Butterfly 1-2-1 (calls),3900.36,4181.81,3900.0,3865.0,3935.0,240.0,22.34,18.39,243.2,240.0,150.0,150.0,200.0,WIN,expiration,390.0,-1800.0,45.0,140.0,185.0,205.0,230.0,225.0,235.0
2021-04-09,2021-05-21,SPX,42,0.15,Inverse Butterfly 1-2-1 (calls),4103.29,4156.18,4105.0,4075.0,4135.0,235.0,17.14,13.32,185.4,235.0,60.0,300.0,300.0,WIN,expiration,300.0,-3480.0,65.0,240.0,255.0,45.0,145.0,15.0,-0.0
2021-04-16,2021-05-28,SPX,42,0.15,Inverse Butterfly 1-2-1 (calls),4173.23,4204.6,4175.0,4145.0,4205.0,225.0,16.77,13.1,185.5,185.0,140.0,140.0,240.0,WIN,expiration,240.0,-1890.0,5.0,20.0,-65.0,-165.0,-205.0,-285.0,-280.0
