trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit3,pnl_tp25_exit3,pnl_tp50_exit3,pnl_tp75_exit3
2021-01-04,2021-01-08,SPX,4,0.75,Inverse Butterfly 1-2-1 (calls),3747.9,3824.59,3750.0,3685.0,3815.0,2040.0,24.17,21.44,84.1,2040.0,510.0,1020.0,1530.0,WIN,expiration,2335.0,-1390.0,-160.0,-160.0,-160.0,-160.0
2021-01-11,2021-01-15,SPX,4,0.75,Inverse Butterfly 1-2-1 (calls),3804.28,3768.5,3805.0,3750.0,3860.0,1650.0,23.7,19.08,76.0,-200.0,-200.0,-200.0,-200.0,LOSS,expiration,70.0,-2175.0,-195.0,-195.0,-195.0,-195.0
2021-01-25,2021-01-29,SPX,4,0.75,Inverse Butterfly 1-2-1 (calls),3849.45,3713.23,3850.0,3800.0,3900.0,1615.0,22.9,15.94,64.2,1615.0,403.75,807.5,1211.25,WIN,expiration,1620.0,-915.0,85.0,85.0,85.0,85.0
2021-02-01,2021-02-05,SPX,4,0.75,Inverse Butterfly 1-2-1 (calls),3737.26,3886.82,3735.0,3645.0,3825.0,2395.0,32.87,30.74,120.3,2395.0,598.75,1197.5,1796.25,WIN,expiration,2400.0,-1220.0,1080.0,598.75,1197.5,1080.0
2021-02-08,2021-02-12,SPX,4,0.75,Inverse Butterfly 1-2-1 (calls),3906.62,3935.04,3905.0,3860.0,3950.0,1500.0,21.66,14.59,59.7,4.0,4.0,4.0,4.0,WIN,expiration,160.0,-1680.0,35.0,35.0,35.0,35.0
2021-02-22,2021-02-26,SPX,4,0.75,Inverse Butterfly 1-2-1 (calls),3887.08,3810.81,3885.0,3825.0,3945.0,1865.0,23.47,19.26,78.4,1865.0,466.25,1865.0,1865.0,WIN,expiration,1865.0,-1250.0,72.5,72.5,72.5,72.5
2021-03-01,2021-03-05,SPX,4,0.75,Inverse Butterfly 1-2-1 (calls),3876.07,3841.58,3875.0,3810.0,3940.0,2020.0,23.8,21.88,88.8,-1138.0,505.0,1010.0,1515.0,LOSS,expiration,1810.0,-2565.0,160.0,505.0,160.0,160.0
2021-03-08,2021-03-12,SPX,4,0.75,Inverse Butterfly 1-2-1 (calls),3843.44,3943.11,3845.0,3765.0,3925.0,2225.0,26.04,25.97,104.5,2225.0,556.25,1112.5,1668.75,WIN,expiration,2280.0,-1560.0,-100.0,-100.0,-100.0,-100.0
2021-03-15,2021-03-19,SPX,4,0.75,Inverse Butterfly 1-2-1 (calls),3942.75,3911.67,3945.0,3890.0,4000.0,1785.0,21.22,17.1,70.6,-382.0,-382.0,-382.0,-382.0,LOSS,expiration,385.0,-2145.0,385.0,385.0,385.0,385.0
2021-03-22,2021-03-26,SPX,4,0.75,Inverse Butterfly 1-2-1 (calls),3928.18,3974.28,3930.0,3880.0,3980.0,1665.0,20.35,15.56,64.0,1093.0,416.25,832.5,1248.75,WIN,expiration,2817.5,-2250.0,-35.0,-35.0,-35.0,-35.0
2021-03-29,2021-04-01,SPX,3,0.75,Inverse Butterfly 1-2-1 (calls),3956.73,4019.79,3955.0,3905.0,4005.0,1535.0,20.82,19.05,68.3,1535.0,383.75,767.5,1151.25,WIN,expiration,1535.0,-1930.0,-15.0,-15.0,-15.0,-15.0
