trade_id,Opened,Closed,exit_reason,pnl,premium
1,2021-05-14,2021-05-20,take_profit,357.5,3575
2,2021-05-21,2021-05-27,expiration,-757.6199999999999,3225
3,2021-05-28,2021-06-03,expiration,164.37999999999994,3165
4,2021-06-04,2021-06-10,expiration,-365.62,3830
5,2021-06-11,2021-06-15,take_profit,243.0,2430
6,2021-06-18,2021-06-24,expiration,-1158.62,3385
7,2021-06-25,2021-06-29,take_profit,226.0,2260
8,2021-07-02,2021-07-07,take_profit,314.5,3145
9,2021-07-09,2021-07-13,take_profit,257.5,2575
10,2021-07-16,2021-07-22,expiration,-318.62000000000006,3890
11,2021-07-23,2021-07-29,expiration,-15.619999999999997,3160
12,2021-07-30,2021-08-05,expiration,-262.62000000000006,3430
13,2021-08-06,2021-08-12,expiration,-567.62,3265
14,2021-08-13,2021-08-17,take_profit,320.5,3205
15,2021-08-20,2021-08-26,take_profit,376.5,3765
16,2021-08-27,2021-09-01,take_profit,250.5,2505
17,2021-09-03,2021-09-09,expiration,99.38,3595
18,2021-09-10,2021-09-16,expiration,-357.62,3920
19,2021-09-17,2021-09-20,take_profit,355.0,3550
20,2021-09-24,2021-09-30,expiration,-33.620000000000005,3400
21,2021-10-01,2021-10-07,expiration,401.38000000000005,4620
22,2021-10-08,2021-10-14,expiration,-135.62000000000006,3735
23,2021-10-15,2021-10-21,expiration,-730.6199999999999,3205
24,2021-10-22,2021-10-27,take_profit,360.0,3600
25,2021-10-29,2021-11-04,expiration,-580.6199999999999,3585
26,2021-11-05,2021-11-11,expiration,-535.62,3565
27,2021-11-12,2021-11-18,expiration,-12.620000000000005,2690
28,2021-11-19,2021-11-24,take_profit,444.0,4440
29,2021-11-26,2021-11-26,take_profit,498.5,4985
30,2021-12-03,2021-12-09,expiration,-2047.62,6105
31,2021-12-10,2021-12-16,take_profit,290.0,2900
32,2021-12-17,2021-12-23,expiration,-2245.62,5255
33,2021-12-31,2022-01-06,expiration,-390.61999999999995,3925
34,2022-01-07,2022-01-13,take_profit,392.5,3925
35,2022-01-14,2022-01-20,expiration,-1510.62,5185
36,2022-01-21,2022-01-24,take_profit,535.5,5355
37,2022-01-28,2022-02-03,take_profit,589.0,5890
38,2022-02-04,2022-02-10,take_profit,505.0,5050
39,2022-02-11,2022-02-17,take_profit,472.5,4725
40,2022-02-18,2022-02-24,expiration,2.380000000000109,6190
41,2022-02-25,2022-03-01,take_profit,537.0,5370
42,2022-03-04,2022-03-10,expiration,-133.6199999999999,7505
43,2022-03-11,2022-03-15,take_profit,571.5,5715
44,2022-03-18,2022-03-24,expiration,72.38000000000005,5640
45,2022-03-25,2022-03-31,expiration,239.38,4615
46,2022-04-01,2022-04-07,take_profit,410.0,4100
47,2022-04-08,2022-04-14,expiration,-188.62,4695
48,2022-04-22,2022-04-28,take_profit,641.5,6415
49,2022-04-29,2022-05-05,take_profit,594.0,5940
50,2022-05-06,2022-05-12,expiration,-450.62,6020
51,2022-05-13,2022-05-19,expiration,96.38000000000011,5770
52,2022-05-20,2022-05-24,take_profit,497.0,4970
53,2022-06-03,2022-06-09,take_profit,613.0,6130
54,2022-06-10,2022-06-16,expiration,-815.62,4150
55,2022-06-17,2022-06-23,expiration,164.3800000000001,5700
56,2022-06-24,2022-06-30,expiration,27.38000000000011,4640
57,2022-07-01,2022-07-07,expiration,-202.6199999999999,6605
58,2022-07-08,2022-07-14,expiration,-552.62,4845
59,2022-07-15,2022-07-21,expiration,-1368.62,6585
60,2022-07-22,2022-07-28,expiration,192.3800000000001,3955
61,2022-07-29,2022-08-02,take_profit,467.5,4675
62,2022-08-05,2022-08-11,take_profit,396.0,3960
63,2022-08-12,2022-08-18,expiration,29.380000000000003,4585
64,2022-08-19,2022-08-25,expiration,-100.61999999999995,4540
65,2022-09-02,2022-09-08,expiration,-483.6199999999999,6390
66,2022-09-09,2022-09-15,expiration,-898.6199999999999,5010
67,2022-09-16,2022-09-21,take_profit,469.5,4695
68,2022-09-23,2022-09-27,take_profit,513.5,5135
69,2022-09-30,2022-10-06,expiration,216.3800000000001,6245
70,2022-10-07,2022-10-13,take_profit,492.0,4920
71,2022-10-14,2022-10-19,take_profit,527.5,5275
72,2022-10-21,2022-10-27,expiration,407.38,6840
73,2022-10-28,2022-11-03,expiration,-1582.62,5990
74,2022-11-04,2022-11-09,take_profit,417.0,4170
75,2022-11-11,2022-11-17,expiration,-50.620000000000005,3060
76,2022-11-18,2022-11-25,expiration,-1421.62,6020
77,2022-11-25,2022-12-01,expiration,132.38000000000005,3300
78,2022-12-02,2022-12-08,expiration,-2040.62,8575
79,2022-12-09,2022-12-13,take_profit,203.5,2035
80,2022-12-16,2022-12-22,expiration,-170.62,3405
81,2022-12-23,2022-12-29,take_profit,451.5,4515
