tp,trades,win_rate,avg_pnl,total_pnl,sharpe,profit_factor,max_dd_usd,max_dd_pct,cagr_pct,final_equity,exits_tp,exits_sl,exits_exp
TP=none,241,56.02,128.74,31026.58,0.765,1.372,-8878.58,-8.88,5.62,131026.58,0,0,241
TP=10%,241,61.0,-95.27,-22960.44,-0.882,0.699,-25153.84,-25.15,-5.14,77039.56,104,0,137
TP=20%,241,56.85,-21.79,-5252.22,-0.174,0.937,-15657.4,-15.66,-1.09,94747.78,60,0,181
TP=25%,241,56.02,19.33,4658.48,0.146,1.056,-11003.59,-11.0,0.93,104658.48,45,0,196
TP=50%,241,56.02,98.51,23742.04,0.663,1.284,-8878.58,-8.88,4.4,123742.04,8,0,233
