trade_date,exp_date,underlying,dte_entry,spot_entry,vix_entry,roll_dir,restruck,short_put,long_put,delta_short,delta_long,iv_short,iv_long,dte_close,cash_close,cash_open,net_roll,net_roll_usd,dd_index,k_gap,mark,cum_pnl_pts,pnl_usd,pnl_usd_at_exp,result,exit_method,in_range
2021-06-04,2021-07-16,SPX,42,4217.1,16.65,entry,1,4060.0,3930.0,-0.249,-0.148,0.1725,0.2058,35,0.0,-8.6,-8.6,-860.0,-0.39,0.0,8.6,0.0,0.0,0.0,flat,entry,1
2021-06-11,2021-07-23,SPX,42,4243.32,15.43,up,1,4100.0,3980.0,-0.251,-0.151,0.1569,0.1887,35,4.3,-9.0,-4.7,-470.0,-0.14,0.0,9.0,-4.3,-430.0,-430.0,loss,roll,0
2021-06-18,2021-07-30,SPX,42,4188.86,19.52,down,0,4100.0,3980.0,-0.349,-0.225,2.113,0.2091,35,11.6,-18.1,-6.5,-650.0,-1.56,0.0,18.1,-1.7,260.0,260.0,win,roll,1
2021-06-25,2021-08-06,SPX,42,4274.57,15.71,up,1,4125.0,4000.0,-0.251,-0.15,0.1634,0.1955,35,6.4,-9.05,-2.65,-265.0,-0.06,0.0,9.05,-13.4,-1170.0,-1170.0,loss,roll,0
2021-07-02,2021-08-13,SPX,42,4333.06,14.52,up,1,4190.0,4075.0,-0.245,-0.15,0.1487,0.1796,35,4.55,-9.2,-4.65,-465.0,-0.02,0.0,9.2,-17.9,-450.0,-450.0,loss,roll,0
2021-07-09,2021-08-20,SPX,42,4349.82,16.97,up,1,4190.0,4050.0,-0.252,-0.148,0.173,0.2084,35,9.25,-8.75,0.5,50.0,-0.28,0.0,8.75,-17.85,5.0,5.0,win,roll,1
2021-07-16,2021-08-27,SPX,42,4365.01,16.42,up,1,4200.0,4060.0,-0.252,-0.148,0.178,0.2119,35,4.15,-8.8,-4.65,-465.0,-0.63,0.0,8.8,-22.45,-460.0,-460.0,loss,roll,0
2021-07-23,2021-09-03,SPX,42,4382.7,17.21,up,1,4210.0,4060.0,-0.254,-0.15,0.1877,0.2256,35,6.55,-9.3,-2.75,-275.0,-0.23,0.0,9.3,-24.7,-225.0,-225.0,loss,roll,0
2021-07-30,2021-09-10,SPX,42,4406.6,17.89,up,1,4230.0,4090.0,-0.25,-0.152,0.1877,0.2224,35,5.25,-10.65,-5.4,-540.0,-0.52,0.0,10.65,-28.75,-405.0,-405.0,loss,roll,0
2021-08-06,2021-09-17,SPX,42,4431.13,16.94,up,1,4260.0,4120.0,-0.248,-0.149,0.1788,0.2135,35,5.85,-10.1,-4.25,-425.0,-0.21,0.0,10.1,-33.55,-480.0,-480.0,loss,roll,0
2021-08-13,2021-09-24,SPX,42,4464.73,15.33,up,1,4300.0,4170.0,-0.246,-0.152,0.1683,0.2025,35,5.1,-10.85,-5.75,-575.0,-0.07,0.0,10.85,-38.55,-500.0,-500.0,loss,roll,0
2021-08-20,2021-10-01,SPX,42,4400.27,21.57,down,0,4300.0,4170.0,-0.338,-0.217,2.289,0.2127,35,16.25,-21.55,-5.3,-530.0,-1.77,0.0,21.55,-33.15,540.0,540.0,win,roll,1
2021-08-27,2021-10-08,SPX,42,4484.57,17.59,up,1,4310.0,4170.0,-0.253,-0.152,0.1849,0.2162,35,11.35,-9.0,2.35,235.0,-0.36,0.0,9.0,-43.35,-1020.0,-1020.0,loss,roll,0
2021-09-03,2021-10-15,SPX,42,4529.59,16.6,up,1,4360.0,4220.0,-0.249,-0.151,0.1739,0.2098,35,8.95,-10.65,-1.7,-170.0,-0.32,0.0,10.65,-43.4,-5.0,-5.0,loss,roll,0
2021-09-10,2021-10-22,SPX,42,4502.2,17.69,down,0,4360.0,4220.0,-0.286,-0.174,0.177,0.2111,35,8.95,-13.3,-4.35,-435.0,-0.92,0.0,13.3,-45.1,-170.0,-170.0,loss,roll,0
