trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,spot_exit,result,exit_method,in_range,call_lower,call_center,call_upper,call_debit,put_lower,put_center,put_upper,put_debit
2022-06-27,2022-07-01,SPX,4,250.0,-250.0,26.95,3825.33,LOSS,expiration,False,4030.0,4055.0,4080.0,1.2,3730.0,3755.0,3780.0,1.3
2022-07-11,2022-07-15,SPX,4,255.0,-255.0,26.17,3863.16,LOSS,expiration,False,3970.0,3995.0,4020.0,1.25,3685.0,3710.0,3735.0,1.3
2022-07-18,2022-07-22,SPX,4,245.0,1417.99,25.3,3961.63,WIN,expiration,True,3945.0,3970.0,3995.0,1.25,3655.0,3680.0,3705.0,1.2
2022-07-25,2022-07-29,SPX,4,255.0,-255.0,23.36,4130.29,LOSS,expiration,False,4080.0,4105.0,4130.0,1.25,3790.0,3815.0,3840.0,1.3
2022-08-01,2022-08-05,SPX,4,245.0,-245.0,22.84,4145.19,LOSS,expiration,False,4225.0,4250.0,4275.0,1.15,3980.0,4005.0,4030.0,1.3
2022-08-08,2022-08-12,SPX,4,245.0,1740.01,21.29,4280.15,WIN,expiration,True,4250.0,4275.0,4300.0,1.25,3980.0,4005.0,4030.0,1.2
2022-08-15,2022-08-19,SPX,4,265.0,-265.0,19.95,4228.48,LOSS,expiration,False,4385.0,4410.0,4435.0,1.3,4160.0,4185.0,4210.0,1.35
2022-08-22,2022-08-26,SPX,4,250.0,-250.0,23.8,4057.66,LOSS,expiration,False,4250.0,4275.0,4300.0,1.2,3975.0,4000.0,4025.0,1.3
2022-08-29,2022-09-02,SPX,4,255.0,819.0,26.21,3924.26,WIN,expiration,True,4170.0,4195.0,4220.0,1.35,3885.0,3910.0,3935.0,1.2
2022-09-12,2022-09-16,SPX,4,265.0,-265.0,23.87,3873.33,LOSS,expiration,False,4235.0,4260.0,4285.0,1.35,3935.0,3960.0,3985.0,1.3
2022-09-19,2022-09-23,SPX,4,250.0,-250.0,25.76,3693.23,LOSS,expiration,False,4050.0,4075.0,4100.0,1.2,3725.0,3750.0,3775.0,1.3
2022-09-26,2022-09-30,SPX,4,260.0,-260.0,32.26,3585.62,LOSS,expiration,False,3815.0,3840.0,3865.0,1.3,3470.0,3495.0,3520.0,1.3
