trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit5,pnl_exit3,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit5,pnl_tp75_exit3
2021-01-08,2021-01-15,SPX,7,0.75,Inverse Butterfly 1-2-1 (calls),3817.5,3768.5,3815.0,3755.0,3875.0,1985.0,21.7,15.13,80.0,635.0,635.0,635.0,635.0,WIN,expiration,292.5,-2505.0,-50.0,-270.0,-50.0,-270.0,-50.0,-270.0,-50.0,-270.0
2021-01-15,2021-01-22,SPX,7,0.75,Inverse Butterfly 1-2-1 (calls),3783.61,3841.15,3785.0,3720.0,3850.0,1945.0,23.61,17.16,89.9,1060.0,486.25,972.5,1458.75,WIN,expiration,1605.0,-1530.0,-465.0,-465.0,-465.0,-465.0,-465.0,-465.0,-465.0,-465.0
2021-01-22,2021-01-29,SPX,7,0.75,Inverse Butterfly 1-2-1 (calls),3841.06,3713.23,3840.0,3780.0,3900.0,1935.0,21.9,15.21,80.9,1935.0,483.75,967.5,1451.25,WIN,expiration,1937.5,-1620.0,-130.0,10.0,-130.0,10.0,-130.0,10.0,-130.0,10.0
2021-01-29,2021-02-05,SPX,7,0.75,Inverse Butterfly 1-2-1 (calls),3763.09,3886.82,3765.0,3665.0,3865.0,2715.0,30.67,25.95,135.3,2715.0,678.75,1357.5,2036.25,WIN,expiration,2690.0,-1950.0,-987.5,-65.0,-987.5,-65.0,-987.5,-65.0,-987.5,-65.0
2021-02-05,2021-02-12,SPX,7,0.75,Inverse Butterfly 1-2-1 (calls),3881.32,3935.04,3880.0,3825.0,3935.0,1790.0,21.73,14.12,75.9,1790.0,447.5,895.0,1342.5,WIN,expiration,1835.0,-550.0,105.0,140.0,105.0,140.0,105.0,140.0,105.0,140.0
2021-02-12,2021-02-19,SPX,7,0.75,Inverse Butterfly 1-2-1 (calls),3912.37,3906.87,3910.0,3855.0,3965.0,1890.0,20.93,13.67,74.0,-3297.0,472.5,-3297.0,-3297.0,LOSS,expiration,475.0,-4095.0,475.0,475.0,472.5,472.5,475.0,475.0,475.0,475.0
2021-02-19,2021-02-26,SPX,7,0.75,Inverse Butterfly 1-2-1 (calls),3926.98,3810.81,3925.0,3865.0,3985.0,1915.0,21.63,14.77,80.3,1915.0,478.75,957.5,1436.25,WIN,expiration,1912.5,-1590.0,-167.5,782.5,-167.5,478.75,-167.5,782.5,-167.5,782.5
2021-02-26,2021-03-05,SPX,7,0.75,Inverse Butterfly 1-2-1 (calls),3826.31,3841.58,3825.0,3715.0,3935.0,3125.0,28.61,27.68,146.7,-6217.0,781.25,-6217.0,-6217.0,LOSS,expiration,895.0,-7665.0,-220.0,165.0,-220.0,781.25,-220.0,165.0,-220.0,165.0
2021-03-05,2021-03-12,SPX,7,0.75,Inverse Butterfly 1-2-1 (calls),3776.04,3943.11,3775.0,3670.0,3880.0,2945.0,28.34,26.44,138.3,2945.0,736.25,1472.5,2208.75,WIN,expiration,2970.0,-1020.0,805.0,1205.0,736.25,736.25,805.0,1472.5,805.0,1205.0
2021-03-12,2021-03-19,SPX,7,0.75,Inverse Butterfly 1-2-1 (calls),3932.31,3911.67,3930.0,3860.0,4000.0,2165.0,22.16,17.67,96.2,-3002.0,-3002.0,-3002.0,-3002.0,LOSS,expiration,335.0,-4675.0,-390.0,335.0,-390.0,335.0,-390.0,335.0,-390.0,335.0
2021-03-19,2021-03-26,SPX,7,0.75,Inverse Butterfly 1-2-1 (calls),3900.36,3974.28,3900.0,3830.0,3970.0,2155.0,22.34,17.88,96.6,2155.0,538.75,1077.5,2155.0,WIN,expiration,1445.0,-4840.0,-145.0,-80.0,-145.0,-80.0,-145.0,-80.0,-145.0,-80.0
2021-03-26,2021-04-01,SPX,6,0.75,Inverse Butterfly 1-2-1 (calls),3927.31,4019.79,3925.0,3875.0,3975.0,1670.0,18.98,13.2,66.5,1670.0,417.5,835.0,1252.5,WIN,expiration,1670.0,-910.0,965.0,545.0,417.5,417.5,835.0,835.0,965.0,545.0
2021-04-09,2021-04-16,SPX,7,0.75,Inverse Butterfly 1-2-1 (calls),4103.29,4184.71,4105.0,4055.0,4155.0,1685.0,17.14,11.44,65.0,1685.0,421.25,842.5,1263.75,WIN,expiration,1685.0,-1340.0,110.0,235.0,110.0,235.0,110.0,235.0,110.0,235.0
