trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit5,pnl_exit3,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit5,pnl_tp75_exit3
2021-01-08,2021-01-15,SPX,7,0.40,Inverse Butterfly 1-2-1 (calls),3817.5,3768.5,3815.0,3785.0,3845.0,540.0,21.7,15.13,80.0,540.0,135.0,270.0,405.0,WIN,expiration,547.5,-1590.0,5.0,-65.0,5.0,-65.0,5.0,-65.0,5.0,-65.0
2021-01-15,2021-01-22,SPX,7,0.40,Inverse Butterfly 1-2-1 (calls),3783.61,3841.15,3785.0,3750.0,3820.0,580.0,23.61,17.16,89.9,580.0,145.0,290.0,435.0,WIN,expiration,570.0,-1510.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0
2021-01-22,2021-01-29,SPX,7,0.40,Inverse Butterfly 1-2-1 (calls),3841.06,3713.23,3840.0,3810.0,3870.0,500.0,21.9,15.21,80.9,500.0,125.0,250.0,375.0,WIN,expiration,505.0,-1830.0,-40.0,30.0,-40.0,30.0,-40.0,30.0,-40.0,30.0
2021-01-29,2021-02-05,SPX,7,0.40,Inverse Butterfly 1-2-1 (calls),3763.09,3886.82,3765.0,3710.0,3820.0,750.0,30.67,25.95,135.3,750.0,187.5,375.0,562.5,WIN,expiration,835.0,-1820.0,-415.0,50.0,-415.0,187.5,-415.0,50.0,-415.0,50.0
2021-02-05,2021-02-12,SPX,7,0.40,Inverse Butterfly 1-2-1 (calls),3881.32,3935.04,3880.0,3850.0,3910.0,585.0,21.73,14.12,75.9,585.0,146.25,292.5,438.75,WIN,expiration,585.0,-570.0,70.0,80.0,70.0,146.25,70.0,80.0,70.0,80.0
2021-02-12,2021-02-19,SPX,7,0.40,Inverse Butterfly 1-2-1 (calls),3912.37,3906.87,3910.0,3880.0,3940.0,555.0,20.93,13.67,74.0,-2132.0,138.75,-2132.0,-2132.0,LOSS,expiration,150.0,-2480.0,150.0,150.0,138.75,138.75,150.0,150.0,150.0,150.0
2021-02-19,2021-02-26,SPX,7,0.40,Inverse Butterfly 1-2-1 (calls),3926.98,3810.81,3925.0,3895.0,3955.0,505.0,21.63,14.77,80.3,505.0,126.25,252.5,378.75,WIN,expiration,502.5,-870.0,-60.0,232.5,-60.0,126.25,-60.0,232.5,-60.0,232.5
2021-02-26,2021-03-05,SPX,7,0.40,Inverse Butterfly 1-2-1 (calls),3826.31,3841.58,3825.0,3765.0,3885.0,870.0,28.61,27.68,146.7,-3472.0,217.5,-3472.0,-3472.0,LOSS,expiration,345.0,-4880.0,-35.0,75.0,-35.0,217.5,-35.0,75.0,-35.0,75.0
2021-03-05,2021-03-12,SPX,7,0.40,Inverse Butterfly 1-2-1 (calls),3776.04,3943.11,3775.0,3720.0,3830.0,765.0,28.34,26.44,138.3,765.0,191.25,382.5,573.75,WIN,expiration,865.0,-1310.0,310.0,430.0,191.25,191.25,310.0,382.5,310.0,430.0
2021-03-12,2021-03-19,SPX,7,0.40,Inverse Butterfly 1-2-1 (calls),3932.31,3911.67,3930.0,3890.0,3970.0,725.0,22.16,17.67,96.2,-1442.0,-1442.0,-1442.0,-1442.0,LOSS,expiration,155.0,-2980.0,-155.0,155.0,-155.0,155.0,-155.0,155.0,-155.0,155.0
