trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2021-01-08,2021-02-05,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),3817.5,3886.82,3815.0,3790.0,3840.0,160.0,21.7,17.26,182.5,160.0,120.0,120.0,155.0,WIN,expiration,265.0,-2190.0,-35.0,-40.0,-150.0,-125.0,-165.0,-170.0
2021-01-15,2021-02-12,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),3783.61,3935.04,3785.0,3755.0,3815.0,185.0,23.61,18.39,192.7,185.0,65.0,95.0,155.0,WIN,expiration,270.0,-5740.0,5.0,-0.0,-15.0,35.0,110.0,115.0
2021-01-22,2021-02-19,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),3841.06,3906.87,3840.0,3810.0,3870.0,225.0,21.9,17.46,185.8,225.0,165.0,165.0,190.0,WIN,expiration,325.0,-2470.0,-40.0,-230.0,-25.0,130.0,125.0,125.0
2021-01-29,2021-02-26,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),3763.09,3810.81,3765.0,3730.0,3800.0,170.0,30.67,23.58,245.7,170.0,60.0,100.0,145.0,WIN,expiration,260.0,-9830.0,-50.0,80.0,95.0,35.0,10.0,-85.0
2021-02-05,2021-03-05,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),3881.32,3841.58,3880.0,3850.0,3910.0,240.0,21.73,17.38,186.8,240.0,100.0,160.0,180.0,WIN,expiration,245.0,-3260.0,100.0,0.0,-130.0,-65.0,-145.0,-190.0
2021-02-19,2021-03-19,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),3926.98,3911.67,3925.0,3895.0,3955.0,240.0,21.63,16.99,184.8,-1427.0,85.0,-1427.0,-1427.0,LOSS,expiration,85.0,-2210.0,-25.0,-5.0,-140.0,-130.0,-235.0,-25.0
2021-02-26,2021-03-26,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),3826.31,3974.28,3825.0,3790.0,3860.0,180.0,28.61,23.44,248.4,180.0,70.0,165.0,165.0,WIN,expiration,195.0,-7750.0,-115.0,65.0,115.0,170.0,20.0,-20.0
2021-03-05,2021-04-01,SPX,27,0.15,Inverse Butterfly 1-2-1 (calls),3776.04,4019.79,3775.0,3740.0,3810.0,195.0,28.34,23.35,239.8,195.0,55.0,110.0,185.0,WIN,expiration,380.0,-3840.0,85.0,135.0,55.0,30.0,-35.0,190.0
2021-03-12,2021-04-09,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),3932.31,4127.76,3930.0,3900.0,3960.0,220.0,22.16,17.67,192.4,220.0,85.0,160.0,170.0,WIN,expiration,380.0,-2230.0,-165.0,-240.0,-90.0,70.0,160.0,175.0
2021-03-19,2021-04-16,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),3900.36,4184.71,3900.0,3870.0,3930.0,200.0,22.34,17.71,191.3,200.0,190.0,190.0,190.0,WIN,expiration,550.0,-2900.0,60.0,115.0,155.0,200.0,195.0,50.0
2021-03-26,2021-04-23,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),3927.31,4179.49,3925.0,3900.0,3950.0,180.0,18.98,14.97,162.9,180.0,50.0,140.0,140.0,WIN,expiration,435.0,-2360.0,85.0,230.0,165.0,180.0,175.0,165.0
2021-04-09,2021-05-07,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4103.29,4231.53,4105.0,4085.0,4125.0,140.0,17.14,13.0,147.7,140.0,35.0,245.0,245.0,WIN,expiration,245.0,-2560.0,65.0,-30.0,-55.0,240.0,95.0,15.0
2021-04-16,2021-05-14,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4173.23,4172.9,4175.0,4155.0,4195.0,135.0,16.77,12.62,145.9,-1655.0,105.0,105.0,105.0,LOSS,expiration,230.0,-2430.0,-10.0,-310.0,-45.0,-35.0,25.0,-105.0
2021-04-23,2021-05-21,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4153.09,4156.18,4155.0,4130.0,4180.0,165.0,18.03,14.09,162.0,-2217.0,45.0,160.0,160.0,LOSS,expiration,235.0,-2585.0,235.0,5.0,-40.0,-110.0,-140.0,-155.0
2021-04-30,2021-05-28,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4196.6,4204.6,4195.0,4170.0,4220.0,580.0,17.98,15.24,177.1,-960.0,400.0,400.0,575.0,LOSS,expiration,575.0,-2335.0,390.0,325.0,265.0,185.0,70.0,65.0
2021-05-07,2021-06-04,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4219.5,4229.55,4220.0,4195.0,4245.0,190.0,18.02,12.91,150.8,-1355.0,105.0,105.0,-1355.0,LOSS,expiration,130.0,-1920.0,-25.0,-105.0,-210.0,-390.0,-370.0,-370.0
2021-05-21,2021-06-18,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4188.5,4165.59,4190.0,4165.0,4215.0,175.0,19.92,14.47,167.9,116.0,50.0,135.0,135.0,WIN,expiration,135.0,-2150.0,-120.0,110.0,-15.0,35.0,-15.0,20.0
2021-05-28,2021-06-25,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4215.32,4280.68,4215.0,4195.0,4235.0,135.0,16.49,12.79,149.4,135.0,195.0,195.0,195.0,WIN,expiration,200.0,-2160.0,-5.0,-95.0,-5.0,-155.0,-165.0,-180.0
2021-06-04,2021-07-02,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4217.1,4352.38,4220.0,4200.0,4240.0,130.0,16.65,11.95,139.6,130.0,90.0,90.0,170.0,WIN,expiration,170.0,-2100.0,-80.0,-45.0,-70.0,10.0,55.0,90.0
2021-06-11,2021-07-09,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4243.32,4369.36,4240.0,4220.0,4260.0,110.0,15.43,11.25,132.2,110.0,65.0,65.0,170.0,WIN,expiration,170.0,-2820.0,-60.0,-15.0,-5.0,50.0,70.0,70.0
2021-06-25,2021-07-23,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4274.57,4411.1,4275.0,4255.0,4295.0,145.0,15.71,10.3,121.9,145.0,330.0,330.0,330.0,WIN,expiration,330.0,-2670.0,45.0,55.0,100.0,115.0,-25.0,-20.0
2021-07-02,2021-07-30,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4333.06,4395.97,4335.0,4320.0,4350.0,100.0,14.52,9.68,116.2,100.0,30.0,220.0,220.0,WIN,expiration,220.0,-1700.0,30.0,35.0,-10.0,0.0,65.0,-15.0
2021-07-09,2021-08-06,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4349.82,4436.2,4350.0,4330.0,4370.0,120.0,16.97,11.72,141.1,120.0,30.0,255.0,255.0,WIN,expiration,255.0,-1840.0,-5.0,-15.0,-25.0,50.0,20.0,-40.0
2021-07-16,2021-08-13,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4365.01,4467.97,4365.0,4345.0,4385.0,120.0,16.42,12.39,149.8,120.0,70.0,70.0,235.0,WIN,expiration,275.0,-1840.0,-10.0,15.0,-20.0,70.0,15.0,5.0
2021-07-23,2021-08-20,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4382.7,4400.27,4385.0,4365.0,4405.0,135.0,17.21,11.61,141.0,-338.0,35.0,255.0,255.0,LOSS,expiration,325.0,-2230.0,-5.0,-25.0,30.0,70.0,40.0,45.0
2021-07-30,2021-08-27,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4406.6,4508.71,4405.0,4380.0,4430.0,255.0,17.89,13.62,166.2,255.0,75.0,145.0,215.0,WIN,expiration,430.0,-3050.0,100.0,95.0,65.0,-5.0,115.0,390.0
2021-08-06,2021-09-03,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4431.13,4535.22,4430.0,4405.0,4455.0,200.0,16.94,12.79,157.0,200.0,50.0,110.0,215.0,WIN,expiration,490.0,-2040.0,50.0,-25.0,40.0,35.0,160.0,45.0
2021-08-13,2021-09-10,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4464.73,4459.16,4465.0,4445.0,4485.0,155.0,15.33,10.13,125.3,-1261.0,40.0,175.0,175.0,LOSS,expiration,175.0,-2450.0,-40.0,5.0,55.0,90.0,65.0,65.0
2021-08-20,2021-09-17,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4400.27,4433.19,4400.0,4375.0,4425.0,145.0,21.57,13.22,161.1,145.0,65.0,90.0,115.0,WIN,expiration,205.0,-2620.0,55.0,100.0,100.0,35.0,40.0,15.0
2021-08-27,2021-09-24,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4484.57,4455.58,4485.0,4465.0,4505.0,140.0,17.59,11.41,141.7,140.0,35.0,85.0,120.0,WIN,expiration,137.5,-3700.0,50.0,-40.0,-55.0,-160.0,7.5,12.5
2021-09-03,2021-10-01,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4529.59,4355.01,4530.0,4510.0,4550.0,20.0,16.6,11.04,138.5,20.0,85.0,85.0,85.0,WIN,expiration,85.0,-1970.0,-165.0,-170.0,-72.5,-125.0,-95.0,-7.5
2021-09-10,2021-10-08,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4502.2,4390.96,4500.0,4475.0,4525.0,160.0,17.69,13.31,166.0,160.0,55.0,87.5,122.5,WIN,expiration,160.0,-2020.0,-10.0,-40.0,-97.5,122.5,127.5,142.5
2021-09-17,2021-10-15,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4451.54,4471.01,4450.0,4425.0,4475.0,135.0,19.5,14.8,182.5,-264.0,35.0,120.0,120.0,LOSS,expiration,120.0,-2480.0,-265.0,-100.0,-60.0,-200.0,-280.0,-65.0
2021-09-24,2021-10-22,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4452.18,4545.08,4450.0,4425.0,4475.0,145.0,18.68,14.36,177.0,145.0,125.0,125.0,125.0,WIN,expiration,465.0,-1930.0,-55.0,-120.0,-120.0,-265.0,-200.0,-75.0
2021-10-01,2021-10-29,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4309.7,4604.75,4310.0,4275.0,4345.0,150.0,22.91,19.01,226.9,150.0,240.0,240.0,240.0,WIN,expiration,415.0,-6100.0,110.0,35.0,135.0,125.0,145.0,160.0
2021-10-08,2021-11-05,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4398.49,4696.4,4400.0,4370.0,4430.0,180.0,18.92,15.13,184.3,180.0,60.0,110.0,150.0,WIN,expiration,390.0,-3200.0,-35.0,170.0,105.0,140.0,145.0,170.0
2021-10-15,2021-11-12,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4465.65,4682.96,4465.0,4440.0,4490.0,205.0,15.9,12.35,152.7,205.0,55.0,115.0,165.0,WIN,expiration,500.0,-4060.0,40.0,325.0,170.0,205.0,205.0,200.0
2021-10-22,2021-11-19,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4552.15,4697.95,4550.0,4525.0,4575.0,195.0,15.06,12.09,152.4,195.0,55.0,225.0,225.0,WIN,expiration,475.0,-3150.0,-45.0,140.0,190.0,-70.0,135.0,35.0
2021-10-29,2021-11-26,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4585.1,4596.63,4585.0,4560.0,4610.0,175.0,17.06,13.32,169.2,-1162.0,55.0,105.0,175.0,LOSS,expiration,215.0,-2795.0,105.0,10.0,105.0,130.0,105.0,215.0
2021-11-05,2021-12-03,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4713.96,4577.1,4715.0,4695.0,4735.0,135.0,15.07,10.29,134.3,135.0,175.0,175.0,175.0,WIN,expiration,175.0,-1160.0,-30.0,-25.0,-70.0,-95.0,-85.0,-30.0
2021-11-12,2021-12-10,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4653.64,4711.65,4655.0,4630.0,4680.0,165.0,17.08,12.32,158.8,165.0,50.0,105.0,1000.0,WIN,expiration,1000.0,-2500.0,15.0,-60.0,-30.0,-90.0,-110.0,-105.0
2021-11-19,2021-12-17,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4710.65,4620.26,4710.0,4685.0,4735.0,160.0,17.87,13.7,178.7,160.0,145.0,145.0,145.0,WIN,expiration,160.0,-1990.0,-25.0,-45.0,-90.0,-155.0,-170.0,-185.0
2021-11-26,2021-12-23,SPX,27,0.15,Inverse Butterfly 1-2-1 (calls),4624.37,4725.29,4625.0,4590.0,4660.0,190.0,25.77,19.13,240.6,190.0,180.0,180.0,180.0,WIN,expiration,200.0,-3920.0,-40.0,-55.0,-45.0,5.0,-230.0,-320.0
2021-12-03,2021-12-31,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4577.1,4766.1,4575.0,4530.0,4620.0,285.0,28.99,23.67,300.1,285.0,75.0,155.0,275.0,WIN,expiration,315.0,-5190.0,-30.0,-465.0,-145.0,125.0,205.0,250.0
2021-12-10,2022-01-07,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4687.31,4676.51,4685.0,4655.0,4715.0,175.0,20.18,15.19,197.2,-1976.0,60.0,90.0,180.0,LOSS,expiration,200.0,-2740.0,-65.0,-40.0,80.0,-75.0,-0.0,200.0
2021-12-17,2022-01-14,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4624.26,4661.92,4625.0,4590.0,4660.0,210.0,22.2,17.56,224.9,210.0,55.0,115.0,165.0,WIN,expiration,260.0,-3230.0,85.0,-355.0,210.0,-120.0,-230.0,-165.0
2021-12-31,2022-01-31,SPX,31,0.15,Inverse Butterfly 1-2-1 (calls),4775.22,4515.44,4775.0,4750.0,4800.0,155.0,17.72,13.11,182.4,155.0,490.0,490.0,490.0,WIN,expiration,490.0,-2210.0,-15.0,35.0,145.0,152.5,150.0,155.0
2022-01-07,2022-02-04,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4703.29,4499.81,4705.0,4675.0,4735.0,175.0,19.15,14.89,194.0,175.0,305.0,305.0,305.0,WIN,expiration,305.0,-1920.0,255.0,72.5,152.5,170.0,152.5,130.0
2022-01-14,2022-02-11,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4659.03,4416.86,4660.0,4630.0,4690.0,150.0,20.24,16.69,215.3,150.0,70.0,75.0,112.5,WIN,expiration,157.5,-1960.0,-40.0,112.5,-35.0,5.0,15.0,105.0
2022-01-21,2022-02-18,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4450.74,4348.67,4450.0,4405.0,4495.0,485.0,27.11,23.42,288.7,485.0,240.0,525.0,525.0,WIN,expiration,525.0,-3920.0,100.0,145.0,30.0,-40.0,-115.0,-205.0
2022-01-28,2022-02-28,SPX,31,0.15,Inverse Butterfly 1-2-1 (calls),4297.45,4373.75,4295.0,4245.0,4345.0,260.0,31.85,26.92,337.2,260.0,145.0,145.0,205.0,WIN,expiration,660.0,-3350.0,100.0,-25.0,-160.0,-150.0,-310.0,-775.0
2022-02-04,2022-03-04,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4484.16,4363.49,4485.0,4450.0,4520.0,175.0,24.54,20.07,249.3,175.0,115.0,115.0,190.0,WIN,expiration,195.0,-2160.0,-30.0,-135.0,-170.0,-5.0,-225.0,-140.0
2022-02-11,2022-03-11,SPX,28,0.15,Inverse Butterfly 1-2-1 (calls),4503.19,4203.91,4505.0,4470.0,4540.0,160.0,24.25,19.4,241.9,160.0,45.0,97.5,122.5,WIN,expiration,177.5,-2390.0,-120.0,-55.0,-60.0,-210.0,20.0,140.0
