trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2021-03-19,2021-04-01,SPX,13,0.60,Inverse Butterfly 1-2-1 (calls),3900.36,4019.79,3900.0,3825.0,3975.0,1950.0,22.34,17.34,127.6,1950.0,760.0,1140.0,1755.0,WIN,expiration,1955.0,-2080.0,20.0,-110.0,-930.0,760.0,170.0
2021-03-26,2021-04-09,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3927.31,4127.76,3925.0,3860.0,3990.0,1845.0,18.98,13.81,106.2,1845.0,675.0,1030.0,1560.0,WIN,expiration,1965.0,-1550.0,65.0,475.0,1090.0,1560.0,1695.0
2021-04-09,2021-04-23,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4103.29,4179.49,4105.0,4050.0,4160.0,1485.0,17.14,11.82,95.0,1485.0,425.0,885.0,1210.0,WIN,expiration,1485.0,-2000.0,25.0,220.0,885.0,810.0,450.0
2021-04-16,2021-04-30,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4173.23,4181.81,4175.0,4115.0,4235.0,1520.0,16.77,12.27,100.3,-3799.0,-3799.0,-3799.0,-3799.0,LOSS,expiration,30.0,-5535.0,-60.0,-120.0,-355.0,-545.0,-845.0
2021-04-23,2021-05-07,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4153.09,4231.53,4155.0,4090.0,4220.0,1590.0,18.03,13.45,109.4,1590.0,835.0,835.0,1365.0,WIN,expiration,1605.0,-2460.0,75.0,-20.0,365.0,125.0,-930.0
2021-04-30,2021-05-14,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4196.6,4172.9,4195.0,4125.0,4265.0,2145.0,17.98,13.94,114.6,-2645.0,867.5,1077.5,-2645.0,LOSS,expiration,1497.5,-4395.0,60.0,-90.0,-490.0,-55.0,-600.0
2021-05-07,2021-05-21,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4219.5,4156.18,4220.0,4160.0,4280.0,1560.0,18.02,12.23,101.1,1560.0,492.5,1352.5,1352.5,WIN,expiration,1557.5,-1565.0,50.0,-40.0,290.0,-375.0,-335.0
2021-05-14,2021-05-28,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4156.78,4204.6,4155.0,4080.0,4230.0,1830.0,19.7,15.64,127.4,-710.0,-710.0,-710.0,-710.0,LOSS,expiration,320.0,-2480.0,20.0,-230.0,-650.0,-565.0,-430.0
2021-05-21,2021-06-04,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4188.5,4229.55,4190.0,4125.0,4255.0,1660.0,19.92,13.12,107.6,-885.0,-885.0,-885.0,-885.0,LOSS,expiration,0.0,-2990.0,-100.0,-345.0,-1200.0,-762.5,-762.5
2021-05-28,2021-06-11,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4215.32,4247.4,4215.0,4160.0,4270.0,1520.0,16.49,10.91,90.1,-740.0,-740.0,-740.0,-740.0,LOSS,expiration,0.0,-2440.0,-80.0,-30.0,-460.0,-525.0,-795.0
2021-06-04,2021-06-18,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4217.1,4165.59,4215.0,4155.0,4275.0,1635.0,16.65,12.18,100.6,576.0,597.5,576.0,576.0,WIN,expiration,597.5,-2425.0,40.0,-225.0,-495.0,-385.0,-65.0
2021-06-11,2021-06-25,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4243.32,4280.68,4245.0,4195.0,4295.0,1500.0,15.43,9.84,81.7,68.0,390.0,68.0,68.0,WIN,expiration,390.0,-2480.0,45.0,180.0,-280.0,-240.0,-745.0
2021-06-18,2021-07-02,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4188.86,4352.38,4190.0,4120.0,4260.0,1630.0,19.52,14.64,120.1,1630.0,430.0,870.0,1255.0,WIN,expiration,1655.0,-1490.0,-80.0,-30.0,740.0,1005.0,1255.0
2021-06-25,2021-07-09,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4274.57,4369.36,4275.0,4230.0,4320.0,1325.0,15.71,8.62,72.2,1325.0,505.0,795.0,1005.0,WIN,expiration,1325.0,-1820.0,50.0,230.0,615.0,980.0,980.0
2021-07-02,2021-07-16,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4333.06,4326.81,4335.0,4295.0,4375.0,1105.0,14.52,8.19,69.5,-2076.0,305.0,555.0,-2076.0,LOSS,expiration,680.0,-2245.0,5.0,35.0,205.0,445.0,560.0
2021-07-09,2021-07-23,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4349.82,4411.1,4350.0,4295.0,4405.0,1470.0,16.97,10.8,92.0,1470.0,390.0,1155.0,1155.0,WIN,expiration,1355.0,-1870.0,-10.0,255.0,-90.0,275.0,-340.0
2021-07-16,2021-07-30,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4365.01,4395.97,4365.0,4305.0,4425.0,1620.0,16.42,11.56,98.8,-1283.0,460.0,830.0,-1283.0,LOSS,expiration,830.0,-1835.0,-15.0,-232.5,-520.0,330.0,230.0
2021-07-23,2021-08-06,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4382.7,4436.2,4385.0,4330.0,4440.0,1405.0,17.21,10.95,94.0,1025.0,390.0,845.0,1025.0,WIN,expiration,992.5,-1720.0,115.0,315.0,210.0,-70.0,-540.0
2021-07-30,2021-08-13,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4406.6,4467.97,4405.0,4340.0,4470.0,1970.0,17.89,12.2,105.3,1767.0,620.0,1227.5,1552.5,WIN,expiration,1660.0,-2210.0,55.0,-225.0,-135.0,-535.0,-425.0
2021-08-06,2021-08-20,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4431.13,4400.27,4430.0,4370.0,4490.0,1790.0,16.94,11.1,96.3,-1237.0,455.0,-1237.0,-1237.0,LOSS,expiration,455.0,-3795.0,-5.0,-270.0,-100.0,-677.5,-670.0
2021-08-13,2021-08-27,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4464.73,4508.71,4465.0,4420.0,4510.0,1305.0,15.33,8.7,76.1,1176.0,487.5,732.5,982.5,WIN,expiration,1340.0,-1620.0,70.0,30.0,85.0,-215.0,-65.0
2021-08-20,2021-09-03,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4400.27,4535.22,4400.0,4335.0,4465.0,1095.0,21.57,12.34,106.3,1095.0,315.0,550.0,850.0,WIN,expiration,1385.0,-1580.0,-5.0,420.0,335.0,1130.0,745.0
2021-08-27,2021-09-10,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4484.57,4459.16,4485.0,4430.0,4540.0,1550.0,17.59,10.04,88.2,-1366.0,635.0,-1366.0,-1366.0,LOSS,expiration,685.0,-4985.0,200.0,325.0,635.0,160.0,160.0
2021-09-03,2021-09-17,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4529.59,4433.19,4530.0,4475.0,4585.0,1305.0,16.6,9.87,87.5,1305.0,372.5,672.5,1040.0,WIN,expiration,1305.0,-2275.0,-325.0,-510.0,-747.5,-702.5,-347.5
2021-09-10,2021-09-24,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4502.2,4455.58,4500.0,4435.0,4565.0,1665.0,17.69,12.36,109.0,-393.0,552.5,1027.5,1250.0,LOSS,expiration,1250.0,-1495.0,-75.0,-490.0,-865.0,552.5,670.0
2021-09-17,2021-10-01,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4451.54,4355.01,4450.0,4375.0,4525.0,1775.0,19.5,14.58,127.1,1775.0,562.5,1027.5,1342.5,WIN,expiration,1775.0,-2740.0,-170.0,-520.0,-715.0,-1722.5,-1372.5
2021-09-24,2021-10-08,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4452.18,4390.96,4450.0,4375.0,4525.0,2100.0,18.68,13.93,121.5,504.0,722.5,1320.0,1615.0,WIN,expiration,1615.0,-2860.0,-75.0,-477.5,722.5,395.0,1095.0
2021-10-01,2021-10-15,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4309.7,4471.01,4310.0,4210.0,4410.0,2110.0,22.91,19.74,166.6,2110.0,835.0,1335.0,1660.0,WIN,expiration,2165.0,-6380.0,-125.0,-355.0,185.0,395.0,-1155.0
2021-10-08,2021-10-22,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4398.49,4545.08,4400.0,4325.0,4475.0,1775.0,18.92,14.67,126.4,1775.0,460.0,1080.0,1375.0,WIN,expiration,1815.0,-1530.0,10.0,-440.0,-175.0,400.0,1080.0
2021-10-15,2021-10-29,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4465.65,4604.75,4465.0,4405.0,4525.0,1530.0,15.9,11.02,96.4,1530.0,425.0,1200.0,1200.0,WIN,expiration,2115.0,-1570.0,-180.0,205.0,1200.0,945.0,1425.0
2021-10-22,2021-11-05,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4552.15,4696.4,4550.0,4495.0,4605.0,1430.0,15.06,10.74,95.7,1430.0,600.0,755.0,1125.0,WIN,expiration,1955.0,-1720.0,-5.0,600.0,350.0,640.0,755.0
2021-10-29,2021-11-12,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4585.1,4682.96,4585.0,4515.0,4655.0,1990.0,17.06,13.07,117.3,1990.0,530.0,1085.0,1595.0,WIN,expiration,2085.0,-2250.0,90.0,440.0,1250.0,1515.0,1165.0
2021-11-05,2021-11-19,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4713.96,4697.95,4715.0,4660.0,4770.0,1465.0,15.07,10.01,92.4,-2330.0,-2330.0,-2330.0,-2330.0,LOSS,expiration,177.5,-3125.0,5.0,-50.0,30.0,-595.0,-882.5
2021-11-12,2021-11-26,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4653.64,4596.63,4655.0,4595.0,4715.0,1590.0,17.08,10.9,99.3,1427.0,470.0,840.0,1200.0,WIN,expiration,1200.0,-1970.0,130.0,295.0,350.0,840.0,-100.0
2021-11-19,2021-12-03,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4710.65,4577.1,4710.0,4645.0,4775.0,1835.0,17.87,11.62,107.2,1835.0,682.5,930.0,1625.0,WIN,expiration,1830.0,-1360.0,-45.0,-230.0,-600.0,-317.5,5.0
2021-11-26,2021-12-10,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4624.37,4711.65,4625.0,4515.0,4735.0,2520.0,25.77,20.15,182.5,185.0,185.0,185.0,185.0,WIN,expiration,60.0,-4575.0,25.0,-455.0,-1565.0,-1880.0,-1120.0
2021-12-03,2021-12-17,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4577.1,4620.26,4575.0,4435.0,4715.0,3650.0,28.99,26.27,235.5,-5824.0,1110.0,2170.0,-5824.0,LOSS,expiration,2170.0,-8935.0,-580.0,910.0,185.0,555.0,-935.0
2021-12-10,2021-12-23,SPX,13,0.60,Inverse Butterfly 1-2-1 (calls),4687.31,4725.29,4685.0,4610.0,4760.0,1545.0,20.18,14.42,127.6,-1926.0,552.5,-1926.0,-1926.0,LOSS,expiration,715.0,-4905.0,-250.0,-285.0,-355.0,-842.5,205.0
2021-12-17,2021-12-31,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4624.26,4766.1,4625.0,4530.0,4720.0,2130.0,22.2,17.75,160.7,2130.0,650.0,1135.0,1610.0,WIN,expiration,2165.0,-1430.0,185.0,-460.0,655.0,1135.0,1830.0
2021-12-31,2022-01-14,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4775.22,4661.92,4775.0,4705.0,4845.0,1820.0,17.72,12.28,114.9,1820.0,1360.0,1360.0,1495.0,WIN,expiration,1815.0,-1650.0,0.0,205.0,-457.5,1360.0,950.0
2022-01-07,2022-01-21,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4703.29,4397.87,4705.0,4625.0,4785.0,1875.0,19.15,14.27,131.5,1875.0,537.5,1152.5,1595.0,WIN,expiration,1925.0,-1395.0,-200.0,-595.0,-750.0,40.0,40.0
2022-01-14,2022-01-28,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4659.03,4431.8,4660.0,4565.0,4755.0,2035.0,20.24,17.45,159.3,2035.0,787.5,1220.0,1737.5,WIN,expiration,2025.0,-1900.0,-205.0,-655.0,-382.5,1737.5,1832.5
2022-01-21,2022-02-04,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4450.74,4499.81,4450.0,4320.0,4580.0,2935.0,27.11,24.4,212.7,-5084.0,795.0,-5084.0,-5084.0,LOSS,expiration,960.0,-7425.0,155.0,-240.0,-800.0,-1480.0,-1220.0
2022-01-28,2022-02-11,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4297.45,4416.86,4295.0,4140.0,4450.0,3390.0,31.85,30.34,255.4,76.0,915.0,1905.0,2550.0,WIN,expiration,3300.0,-3580.0,300.0,1480.0,1005.0,1610.0,965.0
2022-02-04,2022-02-18,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4484.16,4348.67,4485.0,4375.0,4595.0,2465.0,24.54,21.33,187.3,2465.0,1290.0,1290.0,2070.0,WIN,expiration,2465.0,-4010.0,-90.0,-730.0,-445.0,-1060.0,-1997.5
2022-02-11,2022-02-25,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4503.19,4288.7,4505.0,4400.0,4610.0,2350.0,24.25,19.89,175.4,2350.0,820.0,1275.0,1855.0,WIN,expiration,2357.5,-2410.0,-120.0,-885.0,-672.5,137.5,137.5
2022-02-18,2022-03-04,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4392.71,4363.49,4395.0,4275.0,4515.0,2605.0,27.85,23.25,200.0,-6244.0,665.0,-6244.0,-6244.0,LOSS,expiration,665.0,-4635.0,-95.0,-340.0,-1120.0,-1265.0,-1555.0
