trade_date,exp_date,underlying,dte_entry,spot_entry,spot_exit,iv_atm_pct,vix_entry,short_put,short_call,delta_put,delta_call,total_credit,pnl_usd,in_range,result,exit_method,pnl_tp25,pnl_tp50,pnl_tp75,pnl_dte14,pnl_dte7,pnl_tp25_d14,pnl_tp50_d14,pnl_tp75_d14,pnl_tp25_d7,pnl_tp50_d7,pnl_tp75_d7
2024-06-07,2024-07-12,RUT,35,2034.39,2147.56,,12.58,1880.0,2210.0,-0.1001,0.0792,10.55,1055.0,,WIN,expiration,263.75,527.5,791.25,840.0,985.0,263.75,527.5,791.25,263.75,527.5,791.25
2024-06-14,2024-07-26,RUT,42,2013.65,2259.88,,12.52,1855.0,2240.0,-0.1044,0.0817,12.6,-728.0,,LOSS,expiration,315.0,630.0,945.0,625.0,-438.0,315.0,630.0,945.0,315.0,630.0,945.0
2024-06-21,2024-08-02,RUT,42,2009.14,2109.21,,13.61,1835.0,2210.0,-0.0978,0.0782,11.65,1165.0,,WIN,expiration,291.25,582.5,873.75,-3080.0,-3965.0,291.25,582.5,-3080.0,291.25,582.5,-3965.0
2024-06-28,2024-08-09,RUT,42,2047.94,2081.03,,12.3,1885.0,2285.0,-0.0986,0.0788,12.05,1205.0,,WIN,expiration,301.25,602.5,903.75,-1650.0,493.0,301.25,602.5,-1650.0,301.25,602.5,903.75
2024-07-05,2024-08-09,RUT,35,2026.67,2081.03,,12.17,1890.0,2190.0,-0.1019,0.0802,9.75,975.0,,WIN,expiration,243.75,487.5,731.25,-6377.0,-2715.0,-6377.0,-6377.0,-6377.0,-2715.0,-2715.0,-2715.0
2024-07-12,2024-08-23,RUT,42,2148.73,2219.01,,12.33,1995.0,2395.0,-0.1031,0.0783,12.3,1230.0,,WIN,expiration,307.5,615.0,922.5,-678.0,725.0,-678.0,-678.0,-678.0,307.5,615.0,922.5
2024-07-19,2024-08-30,RUT,42,2198.35,2218.0,,15.96,1990.0,2500.0,-0.1016,0.0703,14.8,1480.0,,WIN,expiration,370.0,740.0,1110.0,333.0,1365.0,370.0,740.0,1110.0,370.0,740.0,1110.0
2024-07-26,2024-09-06,RUT,42,2263.4,2091.53,,17.38,2040.0,2580.0,-0.1003,0.0791,16.7,1670.0,,WIN,expiration,417.5,835.0,1252.5,905.0,1567.0,417.5,835.0,1252.5,417.5,835.0,1252.5
2024-08-02,2024-09-13,RUT,42,2113.37,2182.25,,21.55,1865.0,2410.0,-0.0989,0.0768,17.0,1700.0,,WIN,expiration,425.0,850.0,1275.0,1465.0,1582.0,425.0,850.0,1275.0,425.0,850.0,1275.0
2024-08-09,2024-09-13,RUT,35,2078.15,2182.25,,24.06,1830.0,2330.0,-0.1002,0.0797,16.65,1665.0,,WIN,expiration,416.25,832.5,1248.75,1000.0,1515.0,416.25,832.5,1000.0,416.25,832.5,1248.75
2024-08-16,2024-09-27,RUT,42,2145.89,2224.66,,15.38,1935.0,2410.0,-0.0991,0.0832,15.3,1530.0,,WIN,expiration,382.5,765.0,1147.5,1242.0,1460.0,382.5,765.0,1147.5,382.5,765.0,1147.5
2024-08-23,2024-10-04,RUT,42,2167.48,2212.87,,16.86,1945.0,2420.0,-0.1004,0.0761,15.1,1510.0,,WIN,expiration,377.5,755.0,1132.5,1192.0,1428.0,377.5,755.0,1132.5,377.5,755.0,1132.5
2024-08-30,2024-10-11,RUT,42,2210.31,2233.93,,15.1,1985.0,2465.0,-0.1003,0.0786,15.5,1550.0,,WIN,expiration,387.5,775.0,1162.5,1320.0,1390.0,387.5,775.0,1162.5,387.5,775.0,1162.5
2024-09-06,2024-10-11,RUT,35,2134.78,2233.93,,20.17,1915.0,2360.0,-0.0984,0.0818,14.6,1460.0,,WIN,expiration,365.0,730.0,1095.0,1055.0,1317.0,365.0,730.0,1055.0,365.0,730.0,1095.0
2024-09-13,2024-10-25,RUT,42,2164.84,2208.34,,16.83,1920.0,2355.0,-0.0994,0.1258,19.6,1960.0,,WIN,expiration,490.0,980.0,1470.0,1698.0,1585.0,490.0,980.0,1470.0,490.0,980.0,1470.0
2024-09-20,2024-11-01,RUT,42,2236.3,2210.27,,16.32,2015.0,2425.0,-0.0987,0.1518,21.55,2155.0,,WIN,expiration,538.75,1077.5,1616.25,1730.0,2062.0,538.75,1077.5,1616.25,538.75,1077.5,1616.25
2024-09-27,2024-11-08,RUT,42,2225.68,2399.23,,15.48,1990.0,2415.0,-0.1026,0.1707,26.0,2600.0,,WIN,expiration,650.0,1300.0,1950.0,1905.0,2140.0,650.0,1300.0,1905.0,650.0,1300.0,1950.0
2024-10-04,2024-11-08,RUT,35,2206.13,2399.23,,19.69,1980.0,2415.0,-0.1114,0.127,21.8,2180.0,,WIN,expiration,545.0,1090.0,1635.0,1513.0,1755.0,545.0,1090.0,1513.0,545.0,1090.0,1635.0
2024-10-11,2024-11-22,RUT,42,2205.3,2406.23,,20.6,1960.0,2420.0,-0.0983,0.1401,22.5,2250.0,,WIN,expiration,562.5,1125.0,1687.5,-703.0,1822.0,562.5,1125.0,-703.0,562.5,1125.0,1687.5
2024-10-18,2024-11-29,RUT,42,2284.35,2436.28,,18.85,2040.0,2550.0,-0.1012,0.0862,17.65,1765.0,,WIN,expiration,441.25,882.5,1323.75,1627.0,1718.0,441.25,882.5,1323.75,441.25,882.5,1323.75
2024-10-25,2024-12-06,RUT,42,2229.01,2409.38,,18.36,2000.0,2435.0,-0.1005,0.139,21.5,2150.0,,WIN,expiration,537.5,1075.0,1612.5,588.0,-1020.0,537.5,1075.0,588.0,537.5,1075.0,-1020.0
2024-11-01,2024-12-13,RUT,42,2223.08,2346.77,,21.61,2010.0,2455.0,-0.1305,0.1276,26.0,2600.0,,WIN,expiration,650.0,1300.0,1950.0,-952.0,1565.0,650.0,1300.0,-952.0,650.0,1300.0,1565.0
2024-11-08,2024-12-20,RUT,42,2384.8,2243.11,,14.79,2160.0,2650.0,-0.0979,0.089,16.45,1645.0,,WIN,expiration,411.25,822.5,1233.75,1320.0,1540.0,411.25,822.5,1233.75,411.25,822.5,1233.75
2024-11-15,2024-12-27,RUT,42,2327.15,2244.8,,14.96,2100.0,2585.0,-0.1011,0.0816,16.1,1610.0,,WIN,expiration,402.5,805.0,1207.5,1387.0,898.0,402.5,805.0,1207.5,402.5,805.0,1207.5
2024-11-22,2025-01-03,RUT,42,2387.37,2268.09,,16.1,2155.0,2555.0,-0.1003,0.1963,27.9,2790.0,,WIN,expiration,697.5,1395.0,2092.5,375.0,2615.0,697.5,1395.0,2092.5,697.5,1395.0,2092.5
2024-11-29,2025-01-10,RUT,42,2439.67,2189.39,,13.67,2200.0,2665.0,-0.1004,0.1273,21.25,1064.0,,WIN,expiration,531.25,1062.5,1593.75,1087.0,635.0,531.25,1062.5,1087.0,531.25,1062.5,1593.75
2024-12-06,2025-01-17,RUT,42,2407.54,2275.73,,13.07,2190.0,2700.0,-0.0999,0.0685,14.62,1462.0,,WIN,expiration,365.5,731.0,1096.5,-685.0,-48.0,365.5,-685.0,-685.0,365.5,731.0,-48.0
2024-12-13,2025-01-24,RUT,42,2354.17,2307.76,,13.46,2140.0,2625.0,-0.1013,0.0795,15.5,1550.0,,WIN,expiration,387.5,775.0,1162.5,412.0,1380.0,387.5,775.0,412.0,387.5,775.0,1162.5
2024-12-20,2025-01-31,RUT,42,2227.76,2288.09,,22.35,1950.0,2530.0,-0.1013,0.0808,19.52,1952.0,,WIN,expiration,488.0,976.0,1464.0,1819.0,1884.0,488.0,976.0,1464.0,488.0,976.0,1464.0
2024-12-27,2025-02-07,RUT,42,2268.88,2279.89,,16.47,2035.0,2535.0,-0.099,0.0805,16.05,1605.0,,WIN,expiration,401.25,802.5,1203.75,1400.0,1523.0,401.25,802.5,1203.75,401.25,802.5,1203.75
2025-01-03,2025-02-14,RUT,42,2238.88,2279.93,,17.44,2030.0,2475.0,-0.1164,0.0885,18.05,1805.0,,WIN,expiration,451.25,902.5,1353.75,1475.0,1720.0,451.25,902.5,1353.75,451.25,902.5,1353.75
2025-01-10,2025-02-21,RUT,42,2200.22,2195.31,,19.22,1950.0,2455.0,-0.0987,0.0757,16.1,1610.0,,WIN,expiration,402.5,805.0,1207.5,1375.0,1568.0,402.5,805.0,1207.5,402.5,805.0,1207.5
2025-01-17,2025-02-28,RUT,42,2284.95,2162.76,,15.82,2080.0,2510.0,-0.098,0.0759,13.3,1330.0,,WIN,expiration,332.5,665.0,997.5,1162.0,1232.0,332.5,665.0,997.5,332.5,665.0,997.5
