trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,result,exit_method,in_range
2021-05-14,2021-05-20,SPX,7,3475.0,614.38,18.81,WIN,expiration,True
2021-05-21,2021-05-27,SPX,7,3125.0,-772.62,20.15,LOSS,expiration,False
2021-05-28,2021-06-03,SPX,7,3125.0,149.38,16.76,WIN,expiration,True
2021-06-04,2021-06-10,SPX,7,3710.0,-375.62,16.42,LOSS,expiration,False
2021-06-11,2021-06-17,SPX,7,2410.0,467.38,15.65,WIN,expiration,True
2021-06-18,2021-06-24,SPX,7,3285.0,-1158.62,20.7,LOSS,expiration,False
2021-06-25,2021-07-01,SPX,7,2180.0,22.38,15.62,WIN,expiration,True
2021-07-02,2021-07-08,SPX,7,3110.0,1231.38,15.07,WIN,expiration,True
2021-07-09,2021-07-15,SPX,7,2550.0,634.38,16.18,WIN,expiration,True
2021-07-16,2021-07-22,SPX,7,3830.0,-328.62,18.45,LOSS,expiration,False
2021-07-23,2021-07-29,SPX,7,3115.0,-35.62,17.2,LOSS,expiration,False
2021-07-30,2021-08-05,SPX,7,3265.0,-272.62,18.24,LOSS,expiration,False
2021-08-06,2021-08-12,SPX,7,3105.0,-582.62,16.15,LOSS,expiration,False
2021-08-13,2021-08-19,SPX,7,3155.0,847.38,15.45,WIN,expiration,True
2021-08-20,2021-08-26,SPX,7,3600.0,624.38,18.56,WIN,expiration,True
2021-08-27,2021-09-02,SPX,7,2445.0,694.38,16.39,WIN,expiration,True
2021-09-03,2021-09-09,SPX,7,3485.0,99.38,16.41,WIN,expiration,True
2021-09-10,2021-09-16,SPX,7,3900.0,-337.62,20.95,LOSS,expiration,False
2021-09-17,2021-09-23,SPX,7,3435.0,449.38,20.81,WIN,expiration,True
2021-09-24,2021-09-30,SPX,7,3245.0,-178.62,17.75,LOSS,expiration,False
2021-10-01,2021-10-07,SPX,7,4585.0,376.38,21.15,WIN,expiration,True
2021-10-08,2021-10-14,SPX,7,3700.0,-155.62,18.77,LOSS,expiration,False
2021-10-15,2021-10-21,SPX,7,3135.0,-752.62,16.3,LOSS,expiration,False
2021-10-22,2021-10-28,SPX,7,3520.0,802.38,15.43,WIN,expiration,True
2021-10-29,2021-11-04,SPX,7,3425.0,-620.62,16.26,LOSS,expiration,False
2021-11-05,2021-11-11,SPX,7,3405.0,-533.62,16.48,LOSS,expiration,False
2021-11-12,2021-11-18,SPX,7,2640.0,-22.62,16.29,LOSS,expiration,False
2021-11-19,2021-11-26,SPX,7,4245.0,2122.38,17.91,WIN,expiration,True
2021-11-26,2021-12-02,SPX,7,4910.0,1422.38,28.62,WIN,expiration,True
2021-12-03,2021-12-09,SPX,7,5985.0,-2067.62,30.67,LOSS,expiration,False
2021-12-10,2021-12-16,SPX,7,2860.0,822.38,18.69,WIN,expiration,True
2021-12-17,2021-12-23,SPX,7,5260.0,-2200.62,21.57,LOSS,expiration,False
2021-12-31,2022-01-06,SPX,7,3905.0,-390.62,17.22,LOSS,expiration,False
2022-01-07,2022-01-13,SPX,7,3890.0,1069.38,18.76,WIN,expiration,True
2022-01-14,2022-01-20,SPX,7,5150.0,-1470.62,19.19,LOSS,expiration,False
2022-01-21,2022-01-27,SPX,7,5265.0,2242.38,28.85,WIN,expiration,True
2022-01-28,2022-02-03,SPX,7,5775.0,722.38,27.66,WIN,expiration,True
2022-02-04,2022-02-10,SPX,7,4790.0,1679.38,23.22,WIN,expiration,True
2022-02-11,2022-02-17,SPX,7,4650.0,1151.38,27.36,WIN,expiration,True
2022-02-18,2022-02-24,SPX,7,6030.0,-42.62,27.75,LOSS,expiration,False
2022-02-25,2022-03-03,SPX,7,5225.0,3042.38,27.59,WIN,expiration,True
2022-03-04,2022-03-10,SPX,7,7360.0,-193.62,31.98,LOSS,expiration,False
2022-03-11,2022-03-17,SPX,7,5635.0,-1057.62,30.75,LOSS,expiration,False
2022-03-18,2022-03-24,SPX,7,5570.0,-22.62,23.87,LOSS,expiration,False
2022-03-25,2022-03-31,SPX,7,4480.0,359.38,20.81,WIN,expiration,True
