trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2021-01-08,2021-02-05,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),3817.5,3886.82,3815.0,3740.0,3890.0,1400.0,21.7,17.26,182.5,1082.0,350.0,700.0,1050.0,WIN,expiration,1237.5,-2820.0,-250.0,-285.0,-90.0,-850.0,-1145.0,-1460.0
2021-01-15,2021-02-12,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),3783.61,3935.04,3785.0,3710.0,3860.0,1180.0,23.61,18.39,192.7,1180.0,295.0,590.0,885.0,WIN,expiration,1180.0,-4330.0,95.0,-115.0,-160.0,480.0,665.0,730.0
2021-01-22,2021-02-19,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),3841.06,3906.87,3840.0,3765.0,3915.0,1415.0,21.9,17.46,185.8,602.0,353.75,707.5,1061.25,WIN,expiration,1155.0,-3070.0,-165.0,-490.0,30.0,240.0,725.0,725.0
2021-01-29,2021-02-26,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),3763.09,3810.81,3765.0,3665.0,3865.0,1415.0,30.67,23.58,245.7,-4004.0,353.75,707.5,-4004.0,LOSS,expiration,1050.0,-10535.0,290.0,575.0,800.0,525.0,165.0,-1120.0
2021-02-05,2021-03-05,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),3881.32,3841.58,3880.0,3805.0,3955.0,1485.0,21.73,17.38,186.8,-2173.0,371.25,742.5,1113.75,LOSS,expiration,1207.5,-3840.0,175.0,-20.0,-670.0,-375.0,-1135.0,-1195.0
2021-02-12,2021-03-12,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),3912.37,3943.11,3910.0,3835.0,3985.0,1245.0,20.93,17.07,185.0,-2944.0,-2944.0,-2944.0,-2944.0,LOSS,expiration,195.0,-5215.0,-210.0,-475.0,-1095.0,-327.5,-1332.5,-1760.0
2021-02-19,2021-03-19,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),3926.98,3911.67,3925.0,3850.0,4000.0,1450.0,21.63,16.99,184.8,-4717.0,-4717.0,-4717.0,-4717.0,LOSS,expiration,340.0,-5285.0,-85.0,-42.5,-795.0,-725.0,-1330.0,-545.0
2021-02-26,2021-03-26,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),3826.31,3974.28,3825.0,3725.0,3925.0,1530.0,28.61,23.44,248.4,1530.0,382.5,765.0,1147.5,WIN,expiration,1295.0,-6420.0,-800.0,320.0,655.0,-155.0,-130.0,240.0
2021-03-05,2021-04-01,SPX,27,0.40,Inverse Butterfly 1-2-1 (calls),3776.04,4019.79,3775.0,3680.0,3870.0,1450.0,28.34,23.35,239.8,1450.0,362.5,725.0,1087.5,WIN,expiration,1490.0,-2540.0,715.0,930.0,590.0,130.0,1140.0,1110.0
2021-03-12,2021-04-09,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),3932.31,4127.76,3930.0,3855.0,4005.0,1195.0,22.16,17.67,192.4,1195.0,298.75,597.5,896.25,WIN,expiration,1335.0,-3490.0,-485.0,-1075.0,-740.0,215.0,750.0,940.0
2021-03-19,2021-04-16,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),3900.36,4184.71,3900.0,3825.0,3975.0,1295.0,22.34,17.71,191.3,1295.0,323.75,647.5,971.25,WIN,expiration,1365.0,-2450.0,-175.0,710.0,995.0,1140.0,1245.0,1260.0
2021-03-26,2021-04-23,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),3927.31,4179.49,3925.0,3860.0,3990.0,1025.0,18.98,14.97,162.9,1025.0,256.25,512.5,768.75,WIN,expiration,1085.0,-2520.0,380.0,805.0,815.0,985.0,1010.0,950.0
2021-04-09,2021-05-07,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4103.29,4231.53,4105.0,4045.0,4165.0,1145.0,17.14,13.0,147.7,1145.0,286.25,572.5,858.75,WIN,expiration,1210.0,-1900.0,350.0,190.0,395.0,805.0,655.0,-140.0
2021-04-16,2021-05-14,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4173.23,4172.9,4175.0,4115.0,4235.0,985.0,16.77,12.62,145.9,-4805.0,-4805.0,-4805.0,-4805.0,LOSS,expiration,240.0,-5995.0,-230.0,-600.0,-600.0,-580.0,-95.0,-1045.0
2021-04-23,2021-05-21,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4153.09,4156.18,4155.0,4090.0,4220.0,1100.0,18.03,14.09,162.0,-5282.0,275.0,-5282.0,-5282.0,LOSS,expiration,365.0,-5555.0,255.0,5.0,-300.0,-925.0,-945.0,-1200.0
2021-04-30,2021-05-28,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4196.6,4204.6,4195.0,4125.0,4265.0,1500.0,17.98,15.24,177.1,-4540.0,375.0,-4540.0,-4540.0,LOSS,expiration,445.0,-6215.0,-5.0,-245.0,-825.0,-1115.0,-1815.0,-1887.5
2021-05-07,2021-06-04,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4219.5,4229.55,4220.0,4160.0,4280.0,1090.0,18.02,12.91,150.8,-3955.0,272.5,-3955.0,-3955.0,LOSS,expiration,310.0,-4635.0,-75.0,-540.0,-1000.0,-1690.0,-1760.0,-1760.0
2021-05-14,2021-06-11,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4156.78,4247.4,4155.0,4080.0,4230.0,1170.0,19.7,16.2,186.5,1170.0,292.5,585.0,877.5,WIN,expiration,1190.0,-4100.0,-330.0,-450.0,-65.0,-835.0,-250.0,-335.0
2021-05-21,2021-06-18,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4188.5,4165.59,4190.0,4125.0,4255.0,1140.0,19.92,14.47,167.9,-2919.0,-2919.0,-2919.0,-2919.0,LOSS,expiration,160.0,-3950.0,-555.0,-400.0,-545.0,-480.0,-355.0,-10.0
2021-05-28,2021-06-25,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4215.32,4280.68,4215.0,4155.0,4275.0,1035.0,16.49,12.79,149.4,1035.0,258.75,517.5,776.25,WIN,expiration,945.0,-3100.0,-345.0,-465.0,-270.0,-1040.0,-1367.5,-1652.5
2021-06-25,2021-07-23,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4274.57,4411.1,4275.0,4225.0,4325.0,1080.0,15.71,10.3,121.9,1080.0,270.0,540.0,810.0,WIN,expiration,1130.0,-2020.0,515.0,675.0,815.0,765.0,15.0,25.0
2021-07-02,2021-07-30,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4333.06,4395.97,4335.0,4290.0,4380.0,855.0,14.52,9.68,116.2,855.0,213.75,427.5,641.25,WIN,expiration,870.0,-1630.0,195.0,245.0,-145.0,125.0,485.0,305.0
2021-07-09,2021-08-06,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4349.82,4436.2,4350.0,4295.0,4405.0,945.0,16.97,11.72,141.1,945.0,236.25,472.5,708.75,WIN,expiration,980.0,-1550.0,-5.0,-70.0,145.0,360.0,50.0,-320.0
2021-07-16,2021-08-13,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4365.01,4467.97,4365.0,4305.0,4425.0,1110.0,16.42,12.39,149.8,1110.0,277.5,555.0,832.5,WIN,expiration,1245.0,-1630.0,-70.0,225.0,-205.0,245.0,200.0,395.0
2021-07-23,2021-08-20,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4382.7,4400.27,4385.0,4330.0,4440.0,965.0,17.21,11.61,141.0,-3008.0,241.25,482.5,723.75,LOSS,expiration,890.0,-2080.0,130.0,85.0,100.0,420.0,210.0,275.0
2021-07-30,2021-08-27,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4406.6,4508.71,4405.0,4340.0,4470.0,1265.0,17.89,13.62,166.2,1265.0,316.25,632.5,948.75,WIN,expiration,1260.0,-2910.0,60.0,235.0,-75.0,-380.0,475.0,805.0
2021-08-06,2021-09-03,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4431.13,4535.22,4430.0,4365.0,4495.0,1330.0,16.94,12.79,157.0,1330.0,332.5,665.0,997.5,WIN,expiration,1520.0,-1910.0,55.0,-210.0,210.0,65.0,1130.0,760.0
2021-08-13,2021-09-10,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4464.73,4459.16,4465.0,4415.0,4515.0,935.0,15.33,10.13,125.3,-3481.0,233.75,467.5,-3481.0,LOSS,expiration,545.0,-4445.0,-55.0,-35.0,260.0,480.0,265.0,265.0
2021-08-20,2021-09-17,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4400.27,4433.19,4400.0,4335.0,4465.0,875.0,21.57,13.22,161.1,-2306.0,218.75,437.5,-2306.0,LOSS,expiration,635.0,-3460.0,245.0,580.0,535.0,115.0,105.0,-135.0
2021-08-27,2021-09-24,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4484.57,4455.58,4485.0,4430.0,4540.0,750.0,17.59,11.41,141.7,-1808.0,187.5,-1808.0,-1808.0,LOSS,expiration,345.0,-4285.0,70.0,-360.0,-670.0,-975.0,-272.5,-225.0
2021-09-03,2021-10-01,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4529.59,4355.01,4530.0,4475.0,4585.0,940.0,16.6,11.04,138.5,940.0,235.0,470.0,705.0,WIN,expiration,945.0,-1990.0,-305.0,-520.0,252.5,-332.5,20.0,712.5
2021-09-10,2021-10-08,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4502.2,4390.96,4500.0,4435.0,4565.0,1135.0,17.69,13.31,166.0,1135.0,283.75,567.5,851.25,WIN,expiration,1130.0,-2420.0,-405.0,-635.0,-475.0,820.0,780.0,970.0
2021-09-17,2021-10-15,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4451.54,4471.01,4450.0,4375.0,4525.0,1270.0,19.5,14.8,182.5,-4129.0,317.5,-4129.0,-4129.0,LOSS,expiration,320.0,-5615.0,-455.0,-492.5,-395.0,-1225.0,-1885.0,-570.0
2021-09-24,2021-10-22,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4452.18,4545.08,4450.0,4380.0,4520.0,1225.0,18.68,14.36,177.0,1225.0,306.25,612.5,918.75,WIN,expiration,1450.0,-2350.0,-415.0,-535.0,-707.5,-1640.0,-1435.0,-680.0
2021-10-01,2021-10-29,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4309.7,4604.75,4310.0,4220.0,4400.0,1180.0,22.91,19.01,226.9,1180.0,295.0,590.0,885.0,WIN,expiration,1355.0,-6090.0,175.0,405.0,860.0,1060.0,1100.0,1210.0
2021-10-08,2021-11-05,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4398.49,4696.4,4400.0,4325.0,4475.0,1190.0,18.92,15.13,184.3,1190.0,297.5,595.0,892.5,WIN,expiration,1590.0,-2370.0,-115.0,940.0,880.0,1000.0,1000.0,1105.0
2021-10-15,2021-11-12,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4465.65,4682.96,4465.0,4405.0,4525.0,975.0,15.9,12.35,152.7,975.0,243.75,487.5,731.25,WIN,expiration,1265.0,-4110.0,430.0,770.0,735.0,910.0,965.0,930.0
2021-10-22,2021-11-19,SPX,28,0.40,Inverse Butterfly 1-2-1 (calls),4552.15,4697.95,4550.0,4490.0,4610.0,1150.0,15.06,12.09,152.4,1150.0,287.5,575.0,862.5,WIN,expiration,1545.0,-2040.0,335.0,825.0,980.0,515.0,905.0,710.0
