trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit3,pnl_tp25_exit3,pnl_tp50_exit3,pnl_tp75_exit3
2021-01-04,2021-01-08,SPX,4,0.50,Inverse Butterfly 1-2-1 (calls),3747.9,3824.59,3750.0,3710.0,3790.0,800.0,24.17,21.44,84.1,800.0,200.0,400.0,600.0,WIN,expiration,745.0,-2750.0,-80.0,-80.0,-80.0,-80.0
2021-01-11,2021-01-15,SPX,4,0.50,Inverse Butterfly 1-2-1 (calls),3804.28,3768.5,3805.0,3765.0,3845.0,895.0,23.7,19.08,76.0,545.0,223.75,447.5,545.0,WIN,expiration,640.0,-1710.0,-115.0,-115.0,-115.0,-115.0
2021-01-25,2021-01-29,SPX,4,0.50,Inverse Butterfly 1-2-1 (calls),3849.45,3713.23,3850.0,3820.0,3880.0,610.0,22.9,15.94,64.2,610.0,152.5,305.0,457.5,WIN,expiration,615.0,-610.0,45.0,45.0,45.0,45.0
2021-02-01,2021-02-05,SPX,4,0.50,Inverse Butterfly 1-2-1 (calls),3737.26,3886.82,3735.0,3675.0,3795.0,1010.0,32.87,30.74,120.3,1010.0,252.5,505.0,757.5,WIN,expiration,1020.0,-2040.0,535.0,252.5,505.0,535.0
2021-02-08,2021-02-12,SPX,4,0.50,Inverse Butterfly 1-2-1 (calls),3906.62,3935.04,3905.0,3875.0,3935.0,700.0,21.66,14.59,59.7,700.0,175.0,350.0,525.0,WIN,expiration,585.0,-1005.0,-0.0,-0.0,-0.0,-0.0
2021-02-22,2021-02-26,SPX,4,0.50,Inverse Butterfly 1-2-1 (calls),3887.08,3810.81,3885.0,3845.0,3925.0,855.0,23.47,19.26,78.4,855.0,213.75,855.0,855.0,WIN,expiration,855.0,-1040.0,12.5,12.5,12.5,12.5
2021-03-01,2021-03-05,SPX,4,0.50,Inverse Butterfly 1-2-1 (calls),3876.07,3841.58,3875.0,3830.0,3920.0,820.0,23.8,21.88,88.8,-338.0,205.0,410.0,615.0,LOSS,expiration,752.5,-2070.0,-55.0,-55.0,-55.0,-55.0
2021-03-08,2021-03-12,SPX,4,0.50,Inverse Butterfly 1-2-1 (calls),3843.44,3943.11,3845.0,3795.0,3895.0,820.0,26.04,25.97,104.5,820.0,205.0,410.0,615.0,WIN,expiration,820.0,-1670.0,-25.0,-25.0,-25.0,-25.0
2021-03-15,2021-03-19,SPX,4,0.50,Inverse Butterfly 1-2-1 (calls),3942.75,3911.67,3945.0,3910.0,3980.0,765.0,21.22,17.1,70.6,598.0,191.25,598.0,598.0,WIN,expiration,355.0,-2220.0,205.0,191.25,205.0,205.0
2021-03-22,2021-03-26,SPX,4,0.50,Inverse Butterfly 1-2-1 (calls),3928.18,3974.28,3930.0,3900.0,3960.0,640.0,20.35,15.56,64.0,640.0,160.0,320.0,480.0,WIN,expiration,1450.0,-3590.0,20.0,20.0,20.0,20.0
