tp,trades,win_rate,avg_pnl,total_pnl,sharpe,profit_factor,max_dd_usd,max_dd_pct,cagr_pct,final_equity,exits_tp,exits_sl,exits_exp
TP=none,216,56.02,32.3,6976.34,0.184,1.07,-15368.26,-15.37,1.4,106976.34,0,23,193
TP=10%,216,83.8,0.95,205.9,0.009,1.004,-14266.22,-14.27,0.04,100205.9,170,16,30
TP=20%,216,79.17,104.38,22545.34,0.798,1.348,-13190.1,-13.19,4.31,122545.34,153,20,43
TP=25%,216,75.0,124.9,26978.27,0.888,1.37,-12768.6,-12.77,5.07,126978.27,142,20,54
TP=50%,216,65.28,243.45,52585.22,1.378,1.58,-12448.82,-12.45,9.11,152585.22,99,23,94
