trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,pnl_tp25_exit14,pnl_tp25_exit10,pnl_tp25_exit7,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit14,pnl_tp50_exit10,pnl_tp50_exit7,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit14,pnl_tp75_exit10,pnl_tp75_exit7,pnl_tp75_exit5,pnl_tp75_exit3
2021-01-08,2021-01-22,SPX,14,0.25,Inverse Butterfly 1-2-1 (calls),3817.5,3841.15,3815.0,3785.0,3845.0,365.0,21.7,15.68,117.2,-20.0,91.25,182.5,-20.0,LOSS,expiration,220.0,-1590.0,5.0,-10.0,-145.0,-300.0,-300.0,5.0,-10.0,-145.0,-300.0,-300.0,5.0,-10.0,-145.0,-300.0,-300.0,5.0,-10.0,-145.0,-300.0,-300.0
2021-01-15,2021-01-29,SPX,14,0.25,Inverse Butterfly 1-2-1 (calls),3783.61,3713.23,3785.0,3750.0,3820.0,370.0,23.61,18.1,134.2,370.0,92.5,185.0,277.5,WIN,expiration,362.5,-2430.0,-20.0,-55.0,85.0,110.0,165.0,-20.0,-55.0,92.5,92.5,92.5,-20.0,-55.0,185.0,185.0,185.0,-20.0,-55.0,85.0,110.0,165.0
2021-01-22,2021-02-05,SPX,14,0.25,Inverse Butterfly 1-2-1 (calls),3841.06,3886.82,3840.0,3810.0,3870.0,330.0,21.9,16.22,122.0,330.0,82.5,165.0,247.5,WIN,expiration,330.0,-1580.0,-10.0,20.0,-110.0,-57.5,-280.0,-10.0,20.0,82.5,82.5,82.5,-10.0,20.0,165.0,165.0,165.0,-10.0,20.0,247.5,247.5,247.5
2021-01-29,2021-02-12,SPX,14,0.25,Inverse Butterfly 1-2-1 (calls),3763.09,3935.04,3765.0,3720.0,3810.0,370.0,30.67,24.51,180.6,370.0,92.5,185.0,277.5,WIN,expiration,450.0,-5660.0,-25.0,10.0,290.0,265.0,250.0,-25.0,10.0,92.5,92.5,92.5,-25.0,10.0,185.0,185.0,185.0,-25.0,10.0,277.5,277.5,277.5
2021-02-05,2021-02-19,SPX,14,0.25,Inverse Butterfly 1-2-1 (calls),3881.32,3906.87,3880.0,3850.0,3910.0,385.0,21.73,15.13,115.0,72.0,96.25,192.5,288.75,WIN,expiration,410.0,-1260.0,-10.0,45.0,110.0,180.0,180.0,-10.0,45.0,96.25,96.25,96.25,-10.0,45.0,110.0,180.0,192.5,-10.0,45.0,110.0,180.0,288.75
2021-02-12,2021-02-26,SPX,14,0.25,Inverse Butterfly 1-2-1 (calls),3912.37,3810.81,3910.0,3880.0,3940.0,360.0,20.93,15.24,116.8,360.0,90.0,180.0,270.0,WIN,expiration,365.0,-1260.0,10.0,55.0,-75.0,-200.0,-20.0,10.0,55.0,90.0,90.0,90.0,10.0,55.0,-75.0,-200.0,-20.0,10.0,55.0,-75.0,-200.0,-20.0
2021-02-19,2021-03-05,SPX,14,0.25,Inverse Butterfly 1-2-1 (calls),3926.98,3841.58,3925.0,3895.0,3955.0,345.0,21.63,15.48,119.1,345.0,86.25,172.5,258.75,WIN,expiration,342.5,-780.0,-20.0,-20.0,10.0,110.0,-275.0,-20.0,-20.0,10.0,86.25,86.25,-20.0,-20.0,10.0,110.0,-275.0,-20.0,-20.0,10.0,110.0,-275.0
2021-02-26,2021-03-12,SPX,14,0.25,Inverse Butterfly 1-2-1 (calls),3826.31,3943.11,3825.0,3780.0,3870.0,380.0,28.61,25.2,188.8,380.0,95.0,190.0,285.0,WIN,expiration,530.0,-1630.0,25.0,55.0,-295.0,-200.0,-190.0,25.0,95.0,95.0,95.0,95.0,25.0,55.0,-295.0,-200.0,-190.0,25.0,55.0,-295.0,-200.0,-190.0
2021-03-05,2021-03-19,SPX,14,0.25,Inverse Butterfly 1-2-1 (calls),3776.04,3911.67,3775.0,3730.0,3820.0,395.0,28.34,24.83,183.6,395.0,98.75,197.5,296.25,WIN,expiration,600.0,-3520.0,-25.0,130.0,335.0,285.0,360.0,-25.0,98.75,98.75,98.75,98.75,-25.0,130.0,197.5,197.5,197.5,-25.0,130.0,296.25,296.25,296.25
2021-03-12,2021-03-26,SPX,14,0.25,Inverse Butterfly 1-2-1 (calls),3932.31,3974.28,3930.0,3895.0,3965.0,415.0,22.16,17.35,133.7,415.0,103.75,207.5,311.25,WIN,expiration,1100.0,-4360.0,-30.0,80.0,-180.0,-445.0,-425.0,-30.0,103.75,103.75,103.75,103.75,-30.0,80.0,-180.0,-445.0,-425.0,-30.0,80.0,-180.0,-445.0,-425.0
