trade_date,calendar_date,dte_remaining,pnl_usd
2021-01-08,2021-01-08,14,0.0
2021-01-08,2021-01-22,0,160.0
2021-01-15,2021-01-15,14,0.0
2021-01-15,2021-01-29,0,120.0
2021-01-22,2021-01-22,14,0.0
2021-01-22,2021-02-05,0,150.0
2021-01-29,2021-01-29,14,0.0
2021-01-29,2021-02-12,0,115.0
2021-02-05,2021-02-05,14,0.0
2021-02-05,2021-02-19,0,100.0
2021-02-12,2021-02-12,14,0.0
2021-02-12,2021-02-26,0,155.0
2021-02-19,2021-02-19,14,0.0
2021-02-19,2021-03-05,0,145.0
2021-02-26,2021-02-26,14,0.0
2021-02-26,2021-03-12,0,165.0
2021-03-05,2021-03-05,14,0.0
2021-03-05,2021-03-19,0,180.0
2021-03-12,2021-03-12,14,0.0
2021-03-12,2021-03-26,0,150.0
2021-03-19,2021-03-19,13,0.0
2021-03-19,2021-04-01,0,160.0
2021-03-26,2021-03-26,14,0.0
2021-03-26,2021-04-09,0,105.0
2021-04-09,2021-04-09,14,0.0
2021-04-09,2021-04-23,0,125.0
2021-04-16,2021-04-16,14,0.0
2021-04-16,2021-04-30,0,-709.0
2021-04-23,2021-04-23,14,0.0
2021-04-23,2021-05-07,0,85.0
2021-04-30,2021-04-30,14,0.0
2021-04-30,2021-05-14,0,150.0
2021-05-07,2021-05-07,14,0.0
2021-05-07,2021-05-21,0,105.0
2021-05-14,2021-05-14,14,0.0
2021-05-14,2021-05-28,0,115.0
2021-05-21,2021-05-21,14,0.0
2021-05-21,2021-06-04,0,85.0
2021-05-28,2021-05-28,14,0.0
2021-05-28,2021-06-11,0,120.0
2021-06-04,2021-06-04,14,0.0
2021-06-04,2021-06-18,0,120.0
2021-06-11,2021-06-11,14,0.0
2021-06-11,2021-06-25,0,120.0
2021-06-18,2021-06-18,14,0.0
2021-06-18,2021-07-02,0,130.0
2021-06-25,2021-06-25,14,0.0
2021-06-25,2021-07-09,0,70.0
2021-07-02,2021-07-02,14,0.0
2021-07-02,2021-07-16,0,-111.0
2021-07-09,2021-07-09,14,0.0
2021-07-09,2021-07-23,0,105.0
2021-07-16,2021-07-16,14,0.0
2021-07-16,2021-07-30,0,105.0
2021-07-23,2021-07-23,14,0.0
2021-07-23,2021-08-06,0,115.0
2021-07-30,2021-07-30,14,0.0
2021-07-30,2021-08-13,0,335.0
2021-08-06,2021-08-06,14,0.0
2021-08-06,2021-08-20,0,105.0
2021-08-13,2021-08-13,14,0.0
2021-08-13,2021-08-27,0,70.0
2021-08-20,2021-08-20,14,0.0
2021-08-20,2021-09-03,0,55.0
2021-08-27,2021-08-27,14,0.0
2021-08-27,2021-09-10,0,265.0
2021-09-03,2021-09-03,14,0.0
2021-09-03,2021-09-17,0,195.0
2021-09-10,2021-09-10,14,0.0
2021-09-10,2021-09-24,0,80.0
2021-09-17,2021-09-17,14,0.0
2021-09-17,2021-10-01,0,135.0
2021-09-24,2021-09-24,14,0.0
2021-09-24,2021-10-08,0,145.0
