trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit30,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2021-01-08,2021-02-19,SPX,42,0.60,Inverse Butterfly 1-2-1 (calls),3817.5,3906.87,3815.0,3675.0,3955.0,3825.0,21.7,17.83,230.9,-988.0,1510.0,-988.0,-988.0,LOSS,expiration,1510.0,-3790.0,-455.0,-755.0,-805.0,-95.0,40.0,1510.0,1510.0
2021-01-15,2021-02-26,SPX,42,0.60,Inverse Butterfly 1-2-1 (calls),3783.61,3810.81,3785.0,3645.0,3925.0,3385.0,23.61,18.42,236.4,-8034.0,990.0,1740.0,-8034.0,LOSS,expiration,1740.0,-14785.0,100.0,335.0,955.0,1620.0,845.0,-260.0,-2692.5
2021-01-22,2021-03-05,SPX,42,0.60,Inverse Butterfly 1-2-1 (calls),3841.06,3841.58,3840.0,3695.0,3985.0,3950.0,21.9,18.59,242.2,-10392.0,-10392.0,-10392.0,-10392.0,LOSS,expiration,815.0,-10805.0,-580.0,40.0,-155.0,-2357.5,-1485.0,-2837.5,-2482.5
2021-01-29,2021-03-12,SPX,42,0.60,Inverse Butterfly 1-2-1 (calls),3763.09,3943.11,3765.0,3585.0,3945.0,3905.0,30.67,23.77,303.4,3716.0,980.0,2200.0,2957.5,WIN,expiration,4025.0,-5470.0,950.0,720.0,-815.0,-215.0,-3995.0,-2905.0,-2165.0
2021-02-05,2021-03-19,SPX,42,0.60,Inverse Butterfly 1-2-1 (calls),3881.32,3911.67,3880.0,3730.0,4030.0,4250.0,21.73,18.87,248.4,-7583.0,-7583.0,-7583.0,-7583.0,LOSS,expiration,470.0,-9155.0,15.0,-605.0,-1805.0,-2595.0,-1655.0,-2565.0,-725.0
2021-02-12,2021-03-31,SPX,47,0.60,Inverse Butterfly 1-2-1 (calls),3912.37,3973.61,3910.0,3755.0,4065.0,4470.0,20.93,18.43,258.8,-4669.0,-4669.0,-4669.0,-4669.0,LOSS,expiration,480.0,-7350.0,-1445.0,-1820.0,-2105.0,-4202.5,-4972.5,-6102.5,-4650.0
2021-02-19,2021-04-09,SPX,49,0.60,Inverse Butterfly 1-2-1 (calls),3926.98,4127.76,3925.0,3770.0,4080.0,4275.0,21.63,18.19,261.8,4275.0,1145.0,2175.0,3440.0,WIN,expiration,4375.0,-4915.0,-1320.0,-2280.0,-4182.5,-3185.0,1145.0,1145.0,2355.0
2021-03-05,2021-04-16,SPX,42,0.60,Inverse Butterfly 1-2-1 (calls),3776.04,4184.71,3775.0,3600.0,3950.0,4360.0,28.34,22.82,292.3,4360.0,1175.0,2300.0,3660.0,WIN,expiration,4480.0,-1870.0,1755.0,1275.0,3660.0,3840.0,4080.0,4295.0,4335.0
2021-03-19,2021-04-30,SPX,42,0.60,Inverse Butterfly 1-2-1 (calls),3900.36,4181.81,3900.0,3755.0,4045.0,3865.0,22.34,18.39,243.2,3865.0,1000.0,2000.0,2985.0,WIN,expiration,4040.0,-1790.0,250.0,2630.0,3295.0,3120.0,3345.0,3685.0,3825.0
2021-03-26,2021-05-07,SPX,42,0.60,Inverse Butterfly 1-2-1 (calls),3927.31,4231.53,3925.0,3800.0,4050.0,3400.0,18.98,15.8,210.5,3400.0,965.0,1785.0,2600.0,WIN,expiration,3490.0,-3010.0,1895.0,2695.0,2480.0,2935.0,3300.0,3340.0,2905.0
