Opened,pp_Closed,pp_Premium,pp_PnL,pp_Fees,cc_Closed,cc_Premium,cc_PnL,cc_Fees,combined_premium,combined_pnl_final,combined_fees,Closed,trade_id
2021-05-14,2021-05-20,2550,981.92,5.08,2021-05-20,925,-367.54,2.54,3475,614.3799999999999,7.62,2021-05-20,1
2021-05-21,2021-05-27,2360,-1050.08,5.08,2021-05-27,765,277.46,2.54,3125,-772.6199999999999,7.62,2021-05-27,2
2021-05-28,2021-06-03,2330,514.92,5.08,2021-06-03,795,-365.54,2.54,3125,149.37999999999994,7.62,2021-06-03,3
2021-06-04,2021-06-10,2705,-143.08,5.08,2021-06-10,1005,-232.54,2.54,3710,-375.62,7.62,2021-06-10,4
2021-06-11,2021-06-17,1815,709.92,5.08,2021-06-17,595,-242.54,2.54,2410,467.38,7.62,2021-06-17,5
2021-06-18,2021-06-24,2450,-1656.08,5.08,2021-06-24,835,497.46,2.54,3285,-1158.62,7.62,2021-06-24,6
2021-06-25,2021-07-01,1645,-470.08,5.08,2021-07-01,535,492.46,2.54,2180,22.379999999999995,7.62,2021-07-01,7
2021-07-02,2021-07-08,2330,1556.92,5.08,2021-07-08,780,-325.54,2.54,3110,1231.38,7.62,2021-07-08,8
2021-07-09,2021-07-15,1920,839.92,5.08,2021-07-15,630,-205.54,2.54,2550,634.38,7.62,2021-07-15,9
2021-07-16,2021-07-22,2875,-738.08,5.08,2021-07-22,955,409.46,2.54,3830,-328.62000000000006,7.62,2021-07-22,10
2021-07-23,2021-07-29,2390,6.92,5.08,2021-07-29,725,-42.54,2.54,3115,-35.62,7.62,2021-07-29,11
2021-07-30,2021-08-05,2460,-565.08,5.08,2021-08-05,805,292.46,2.54,3265,-272.62000000000006,7.62,2021-08-05,12
2021-08-06,2021-08-12,2320,-795.08,5.08,2021-08-12,785,212.46,2.54,3105,-582.62,7.62,2021-08-12,13
2021-08-13,2021-08-19,2340,1339.92,5.08,2021-08-19,815,-492.54,2.54,3155,847.3800000000001,7.62,2021-08-19,14
2021-08-20,2021-08-26,2725,99.92,5.08,2021-08-26,875,524.46,2.54,3600,624.38,7.62,2021-08-26,15
2021-08-27,2021-09-02,1850,219.92,5.08,2021-09-02,595,474.46,2.54,2445,694.38,7.62,2021-09-02,16
2021-09-03,2021-09-09,2565,719.92,5.08,2021-09-09,920,-620.54,2.54,3485,99.38,7.62,2021-09-09,17
2021-09-10,2021-09-16,2795,-60.08,5.08,2021-09-16,1105,-277.54,2.54,3900,-337.62,7.62,2021-09-16,18
2021-09-17,2021-09-23,2565,251.92,5.08,2021-09-23,870,197.46,2.54,3435,449.38,7.62,2021-09-23,19
2021-09-24,2021-09-30,2490,499.92,5.08,2021-09-30,755,-678.54,2.54,3245,-178.61999999999995,7.62,2021-09-30,20
2021-10-01,2021-10-07,3495,-298.08,5.08,2021-10-07,1090,674.46,2.54,4585,376.38000000000005,7.62,2021-10-07,21
2021-10-08,2021-10-14,2770,-560.08,5.08,2021-10-14,930,404.46,2.54,3700,-155.62000000000006,7.62,2021-10-14,22
2021-10-15,2021-10-21,2355,-1340.08,5.08,2021-10-21,780,587.46,2.54,3135,-752.6199999999999,7.62,2021-10-21,23
2021-10-22,2021-10-28,2590,-210.08,5.08,2021-10-28,930,1012.46,2.54,3520,802.38,7.62,2021-10-28,24
2021-10-29,2021-11-04,2540,-1343.08,5.08,2021-11-04,885,722.46,2.54,3425,-620.6199999999999,7.62,2021-11-04,25
2021-11-05,2021-11-11,2560,201.92,5.08,2021-11-11,845,-735.54,2.54,3405,-533.62,7.62,2021-11-11,26
2021-11-12,2021-11-18,2045,-225.08,5.08,2021-11-18,595,202.46,2.54,2640,-22.620000000000005,7.62,2021-11-18,27
2021-11-19,2021-11-26,3145,2944.92,5.08,2021-11-26,1100,-822.54,2.54,4245,2122.38,7.62,2021-11-26,28
2021-11-26,2021-12-02,3660,1834.92,5.08,2021-12-02,1250,-412.54,2.54,4910,1422.38,7.62,2021-12-02,29
2021-12-03,2021-12-09,4565,-3235.08,5.08,2021-12-09,1420,1167.46,2.54,5985,-2067.62,7.62,2021-12-09,30
2021-12-10,2021-12-16,2210,1074.92,5.08,2021-12-16,650,-252.54,2.54,2860,822.3800000000001,7.62,2021-12-16,31
2021-12-17,2021-12-23,3900,-2988.08,5.08,2021-12-23,1360,787.46,2.54,5260,-2200.62,7.62,2021-12-23,32
2021-12-31,2022-01-06,2905,479.92,5.08,2022-01-06,1000,-870.54,2.54,3905,-390.61999999999995,7.62,2022-01-06,33
2022-01-07,2022-01-13,2955,1261.92,5.08,2022-01-13,935,-192.54,2.54,3890,1069.38,7.62,2022-01-13,34
2022-01-14,2022-01-20,3790,-180.08,5.08,2022-01-20,1360,-1290.54,2.54,5150,-1470.62,7.62,2022-01-20,35
2022-01-21,2022-01-27,4000,2884.92,5.08,2022-01-27,1265,-642.54,2.54,5265,2242.38,7.62,2022-01-27,36
2022-01-28,2022-02-03,4345,-495.08,5.08,2022-02-03,1430,1217.46,2.54,5775,722.3800000000001,7.62,2022-02-03,37
2022-02-04,2022-02-10,3575,1851.92,5.08,2022-02-10,1215,-172.54,2.54,4790,1679.38,7.62,2022-02-10,38
2022-02-11,2022-02-17,3615,1681.92,5.08,2022-02-17,1035,-530.54,2.54,4650,1151.38,7.62,2022-02-17,39
2022-02-18,2022-02-24,4485,1139.92,5.08,2022-02-24,1545,-1182.54,2.54,6030,-42.61999999999989,7.62,2022-02-24,40
2022-02-25,2022-03-03,3900,3304.92,5.08,2022-03-03,1325,-262.54,2.54,5225,3042.38,7.62,2022-03-03,41
2022-03-04,2022-03-10,5400,1206.92,5.08,2022-03-10,1960,-1400.54,2.54,7360,-193.6199999999999,7.62,2022-03-10,42
2022-03-11,2022-03-17,4275,-2725.08,5.08,2022-03-17,1360,1667.46,2.54,5635,-1057.62,7.62,2022-03-17,43
2022-03-18,2022-03-24,3980,-605.08,5.08,2022-03-24,1590,582.46,2.54,5570,-22.620000000000005,7.62,2022-03-24,44
2022-03-25,2022-03-31,3395,-143.08,5.08,2022-03-31,1085,502.46,2.54,4480,359.38,7.62,2022-03-31,45
2022-04-01,2022-04-07,3050,849.92,5.08,2022-04-07,1005,-287.54,2.54,4055,562.3799999999999,7.62,2022-04-07,46
2022-04-08,2022-04-14,3535,926.92,5.08,2022-04-14,1145,-1085.54,2.54,4680,-158.62,7.62,2022-04-14,47
2022-04-22,2022-04-28,4740,1656.92,5.08,2022-04-28,1630,-147.54,2.54,6370,1509.38,7.62,2022-04-28,48
2022-04-29,2022-05-05,4335,2119.92,5.08,2022-05-05,1455,-32.54,2.54,5790,2087.38,7.62,2022-05-05,49
2022-05-06,2022-05-12,4505,729.92,5.08,2022-05-12,1420,-1275.54,2.54,5925,-545.62,7.62,2022-05-12,50
2022-05-13,2022-05-19,4180,1316.92,5.08,2022-05-19,1540,-1258.54,2.54,5720,58.38000000000011,7.62,2022-05-19,51
2022-05-20,2022-05-26,3635,-2428.08,5.08,2022-05-26,1195,1832.46,2.54,4830,-595.6199999999999,7.62,2022-05-26,52
2022-05-27,2022-06-02,4245,111.92,5.08,2022-06-02,1865,2.46,2.54,6110,114.38,7.62,2022-06-02,53
