tp,trades,win_rate,avg_pnl,total_pnl,sharpe,profit_factor,max_dd_usd,max_dd_pct,cagr_pct,final_equity,exits_tp,exits_sl,exits_exp
TP=none,252,55.16,111.4,28071.76,0.665,1.318,-9115.58,-9.12,5.13,128071.76,0,0,252
TP=10%,252,59.13,-115.35,-29068.64,-1.025,0.66,-32406.04,-32.41,-6.71,70931.36,105,0,147
TP=20%,252,55.16,-22.69,-5718.9,-0.178,0.935,-17129.84,-17.13,-1.18,94281.1,57,0,195
TP=25%,252,55.16,16.81,4235.06,0.125,1.048,-12135.53,-12.14,0.84,104235.06,40,0,212
TP=50%,252,55.16,85.49,21542.86,0.573,1.244,-9115.58,-9.12,4.02,121542.86,5,0,247
