trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,pnl_tp25_exit14,pnl_tp25_exit10,pnl_tp25_exit7,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit14,pnl_tp50_exit10,pnl_tp50_exit7,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit14,pnl_tp75_exit10,pnl_tp75_exit7,pnl_tp75_exit5,pnl_tp75_exit3
2021-01-08,2021-01-22,SPX,14,0.50,Inverse Butterfly 1-2-1 (calls),3817.5,3841.15,3815.0,3755.0,3875.0,1395.0,21.7,15.68,117.2,-1990.0,-1990.0,-1990.0,-1990.0,LOSS,expiration,75.0,-3405.0,0.0,-70.0,-520.0,-982.5,-982.5,0.0,-70.0,-520.0,-982.5,-982.5,0.0,-70.0,-520.0,-982.5,-982.5,0.0,-70.0,-520.0,-982.5,-982.5
2021-01-15,2021-01-29,SPX,14,0.50,Inverse Butterfly 1-2-1 (calls),3783.61,3713.23,3785.0,3720.0,3850.0,1300.0,23.61,18.1,134.2,1300.0,325.0,650.0,975.0,WIN,expiration,1252.5,-2750.0,-55.0,-175.0,280.0,300.0,470.0,-55.0,-175.0,325.0,325.0,325.0,-55.0,-175.0,280.0,300.0,470.0,-55.0,-175.0,280.0,300.0,470.0
2021-01-22,2021-02-05,SPX,14,0.50,Inverse Butterfly 1-2-1 (calls),3841.06,3886.82,3840.0,3780.0,3900.0,1335.0,21.9,16.22,122.0,17.0,333.75,17.0,17.0,WIN,expiration,587.5,-2090.0,-20.0,100.0,-320.0,-117.5,-947.5,-20.0,100.0,-320.0,-117.5,-947.5,-20.0,100.0,-320.0,-117.5,-947.5,-20.0,100.0,-320.0,-117.5,-947.5
2021-01-29,2021-02-12,SPX,14,0.50,Inverse Butterfly 1-2-1 (calls),3763.09,3935.04,3765.0,3675.0,3855.0,1605.0,30.67,24.51,180.6,1605.0,401.25,802.5,1203.75,WIN,expiration,1610.0,-4020.0,-80.0,20.0,725.0,1075.0,1085.0,-80.0,20.0,401.25,401.25,401.25,-80.0,20.0,802.5,802.5,802.5,-80.0,20.0,725.0,1075.0,1203.75
2021-02-05,2021-02-19,SPX,14,0.50,Inverse Butterfly 1-2-1 (calls),3881.32,3906.87,3880.0,3820.0,3940.0,1495.0,21.73,15.13,115.0,-1818.0,373.75,-1818.0,-1818.0,LOSS,expiration,570.0,-2840.0,-15.0,75.0,30.0,570.0,570.0,-15.0,75.0,373.75,373.75,373.75,-15.0,75.0,30.0,570.0,570.0,-15.0,75.0,30.0,570.0,570.0
2021-02-12,2021-02-26,SPX,14,0.50,Inverse Butterfly 1-2-1 (calls),3912.37,3810.81,3910.0,3850.0,3970.0,1540.0,20.93,15.24,116.8,1540.0,385.0,770.0,1155.0,WIN,expiration,1545.0,-1920.0,185.0,340.0,-110.0,-555.0,100.0,185.0,340.0,-110.0,-555.0,100.0,185.0,340.0,-110.0,-555.0,100.0,185.0,340.0,-110.0,-555.0,100.0
2021-02-19,2021-03-05,SPX,14,0.50,Inverse Butterfly 1-2-1 (calls),3926.98,3841.58,3925.0,3865.0,3985.0,1375.0,21.63,15.48,119.1,1375.0,343.75,687.5,1031.25,WIN,expiration,1370.0,-1230.0,-30.0,2.5,30.0,-347.5,-902.5,-30.0,2.5,343.75,343.75,343.75,-30.0,2.5,30.0,-347.5,-902.5,-30.0,2.5,30.0,-347.5,-902.5
2021-02-26,2021-03-12,SPX,14,0.50,Inverse Butterfly 1-2-1 (calls),3826.31,3943.11,3825.0,3730.0,3920.0,1795.0,28.61,25.2,188.8,1795.0,448.75,897.5,1346.25,WIN,expiration,1915.0,-2430.0,20.0,80.0,-1150.0,-790.0,-905.0,20.0,80.0,-1150.0,-790.0,-905.0,20.0,80.0,-1150.0,-790.0,-905.0,20.0,80.0,-1150.0,-790.0,-905.0
2021-03-05,2021-03-19,SPX,14,0.50,Inverse Butterfly 1-2-1 (calls),3776.04,3911.67,3775.0,3685.0,3865.0,1660.0,28.34,24.83,183.6,1660.0,415.0,830.0,1245.0,WIN,expiration,1700.0,-2310.0,-130.0,550.0,1160.0,1175.0,1475.0,-130.0,415.0,415.0,415.0,415.0,-130.0,550.0,830.0,830.0,830.0,-130.0,550.0,1160.0,1175.0,1245.0
2021-03-12,2021-03-26,SPX,14,0.50,Inverse Butterfly 1-2-1 (calls),3932.31,3974.28,3930.0,3865.0,3995.0,1460.0,22.16,17.35,133.7,-612.0,365.0,730.0,1095.0,LOSS,expiration,1120.0,-4415.0,-60.0,195.0,-390.0,-1200.0,-1310.0,-60.0,195.0,-390.0,-1200.0,-1310.0,-60.0,195.0,-390.0,-1200.0,-1310.0,-60.0,195.0,-390.0,-1200.0,-1310.0
2021-03-19,2021-04-01,SPX,13,0.50,Inverse Butterfly 1-2-1 (calls),3900.36,4019.79,3900.0,3835.0,3965.0,1480.0,22.34,17.34,127.6,1480.0,370.0,740.0,1110.0,WIN,expiration,1485.0,-1910.0,20.0,-80.0,-750.0,645.0,170.0,20.0,-80.0,-750.0,370.0,370.0,20.0,-80.0,-750.0,645.0,170.0,20.0,-80.0,-750.0,645.0,170.0
2021-03-26,2021-04-09,SPX,14,0.50,Inverse Butterfly 1-2-1 (calls),3927.31,4127.76,3925.0,3870.0,3980.0,1355.0,18.98,13.81,106.2,1355.0,338.75,677.5,1016.25,WIN,expiration,1435.0,-1680.0,65.0,380.0,755.0,1155.0,1260.0,338.75,338.75,338.75,338.75,338.75,65.0,380.0,677.5,677.5,677.5,65.0,380.0,755.0,1016.25,1016.25
2021-04-09,2021-04-23,SPX,14,0.50,Inverse Butterfly 1-2-1 (calls),4103.29,4179.49,4105.0,4055.0,4155.0,1190.0,17.14,11.82,95.0,1190.0,297.5,595.0,892.5,WIN,expiration,1200.0,-1900.0,-30.0,140.0,720.0,635.0,360.0,-30.0,140.0,297.5,297.5,297.5,-30.0,140.0,595.0,595.0,595.0,-30.0,140.0,720.0,635.0,360.0
2021-04-16,2021-04-30,SPX,14,0.50,Inverse Butterfly 1-2-1 (calls),4173.23,4181.81,4175.0,4125.0,4225.0,1050.0,16.77,12.27,100.3,-3269.0,-3269.0,-3269.0,-3269.0,LOSS,expiration,10.0,-4925.0,-60.0,-105.0,-400.0,-365.0,-605.0,-60.0,-105.0,-400.0,-365.0,-605.0,-60.0,-105.0,-400.0,-365.0,-605.0,-60.0,-105.0,-400.0,-365.0,-605.0
