trade_date,exp_date,underlying,dte_entry,spot_entry,vix_entry,roll_dir,restruck,short_put,long_put,delta_short,delta_long,iv_short,iv_long,dte_close,total_credit,cash_close,cash_open,net_roll,net_roll_usd,spot_close,spot_exit,effective_close_date,dd_index,k_gap,mark,cum_pnl_pts,pnl_usd,pnl_usd_at_exp,result,exit_method,in_range
2021-08-13,2021-09-24,SPX,42,4464.73,15.33,up,1,4300.0,4050.0,-0.246,-0.098,0.1683,0.2294,35,5.35,-5.25,5.35,0.1,10.0,4400.27,4400.27,2021-08-20,-0.07,0.0,-5.35,0.75,15.0,15.0,win,roll,1
2021-08-20,2021-10-01,SPX,42,4400.27,21.57,down,0,4300.0,4050.0,-0.338,-0.149,0.175,0.2443,35,2.65,-5.2,2.65,-2.55,-255.0,4484.57,4484.57,2021-08-27,-1.77,0.0,-2.65,-0.05,-80.0,-80.0,loss,roll,0
2021-08-27,2021-10-08,SPX,42,4484.57,17.59,up,1,4310.0,4050.0,-0.253,-0.1,0.1849,0.2421,35,3.6,-3.45,3.6,0.15,15.0,4529.59,4529.59,2021-09-03,-0.36,0.0,-3.6,0.65,70.0,70.0,win,roll,1
2021-09-03,2021-10-15,SPX,42,4529.59,16.6,up,1,4360.0,4090.0,-0.249,-0.1,0.1739,0.2426,35,4.9,-2.9,4.9,2.0,200.0,4502.2,4502.2,2021-09-10,-0.32,0.0,-4.9,-2.9,-355.0,-355.0,loss,roll,0
2021-09-10,2021-10-22,SPX,42,4502.2,17.69,down,0,4360.0,4090.0,-0.286,-0.114,0.177,0.2432,35,6.85,-8.45,6.85,-1.6,-160.0,4451.54,4451.54,2021-09-17,-0.92,0.0,-6.85,-8.2,-530.0,-530.0,loss,roll,0
2021-09-17,2021-10-29,SPX,42,4451.54,19.5,down,0,4360.0,4090.0,-0.352,-0.144,0.1755,0.2445,35,9.85,-12.15,9.85,-2.3,-230.0,4452.18,4452.18,2021-09-24,-2.04,0.0,-9.85,-13.1,-490.0,-490.0,loss,roll,0
2021-09-24,2021-11-05,SPX,42,4452.18,18.68,up,1,4260.0,3990.0,-0.248,-0.1,0.2011,0.2611,35,8.2,-14.75,8.2,-6.55,-655.0,4309.7,4309.7,2021-10-01,-2.02,0.0,-8.2,-25.9,-1280.0,-1280.0,loss,roll,0
2021-10-01,2021-11-12,SPX,42,4309.7,22.91,down,0,4260.0,3990.0,-0.42,-0.185,0.2041,0.2667,35,15.8,-21.0,15.8,-5.2,-520.0,4398.49,4398.49,2021-10-08,-5.16,0.0,-15.8,-25.55,35.0,35.0,win,roll,1
2021-10-08,2021-11-19,SPX,42,4398.49,18.92,up,1,4205.0,3945.0,-0.249,-0.1,0.2068,0.2593,35,9.35,-15.45,9.35,-6.1,-610.0,4465.65,4465.65,2021-10-15,-3.2,0.0,-9.35,-22.25,330.0,330.0,win,roll,1
2021-10-15,2021-11-26,SPX,42,4465.65,15.9,up,1,4305.0,4070.0,-0.25,-0.1,0.1669,0.2201,35,7.0,-6.05,7.0,0.95,95.0,4552.15,4552.15,2021-10-22,-1.73,0.0,-7.0,-19.35,290.0,290.0,win,roll,1
2021-10-22,2021-12-03,SPX,42,4552.15,15.06,up,1,4390.0,4150.0,-0.25,-0.102,0.1654,0.2209,35,5.75,-4.1,5.75,1.65,165.0,4585.1,4585.1,2021-10-29,-0.06,0.0,-5.75,-18.8,55.0,55.0,win,roll,1
2021-10-29,2021-12-10,SPX,42,4585.1,17.06,up,1,4400.0,4140.0,-0.246,-0.1,0.1851,0.2428,35,6.3,-5.2,6.3,1.1,110.0,4713.96,4713.96,2021-11-05,-0.29,0.0,-6.3,-15.5,330.0,330.0,win,roll,1
2021-11-05,2021-12-17,SPX,42,4713.96,15.07,up,1,4550.0,4295.0,-0.251,-0.099,0.162,0.2197,35,6.75,-3.0,6.75,3.75,375.0,4653.64,4653.64,2021-11-12,-0.01,0.0,-6.75,-21.65,-615.0,-615.0,loss,roll,0
2021-11-12,2021-12-23,SPX,41,4653.64,17.08,down,0,4550.0,4290.0,-0.332,-0.129,0.1646,0.2221,34,11.85,-12.9,11.85,-1.05,-105.0,4710.65,4710.65,2021-11-19,-1.37,5.0,-11.85,-17.3,435.0,435.0,win,roll,1
2021-11-19,2021-12-31,SPX,42,4710.65,17.87,up,1,4525.0,4245.0,-0.249,-0.1,0.1836,0.2477,35,6.55,-7.5,6.55,-0.95,-95.0,4624.37,4624.37,2021-11-26,-0.16,0.0,-6.55,-19.1,-180.0,-180.0,loss,roll,0
2021-11-26,2022-01-07,SPX,42,4624.37,25.77,down,0,4525.0,4240.0,-0.371,-0.173,0.2193,0.2861,35,5.55,-8.35,5.55,-2.8,-280.0,4577.1,4577.1,2021-12-03,-2.49,5.0,-5.55,-21.95,-285.0,-285.0,loss,roll,0
