trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit5,pnl_exit3,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit5,pnl_tp75_exit3
2021-04-09,2021-04-16,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4103.29,4184.71,4105.0,4095.0,4115.0,55.0,17.14,11.44,65.0,55.0,13.75,27.5,41.25,WIN,expiration,165.0,-1510.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
2021-04-16,2021-04-23,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4173.23,4179.49,4175.0,4165.0,4185.0,65.0,16.77,11.61,67.1,-486.0,16.25,-486.0,-486.0,LOSS,expiration,25.0,-1135.0,-20.0,-20.0,-20.0,16.25,-20.0,-20.0,-20.0,-20.0
2021-04-23,2021-04-30,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4153.09,4181.81,4155.0,4145.0,4165.0,50.0,18.03,13.43,77.2,50.0,12.5,25.0,37.5,WIN,expiration,165.0,-1420.0,15.0,40.0,12.5,12.5,25.0,25.0,37.5,37.5
2021-04-30,2021-05-07,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4196.6,4231.53,4195.0,4185.0,4205.0,15.0,17.98,12.26,71.2,15.0,3.75,7.5,11.25,WIN,expiration,145.0,-1930.0,-80.0,-50.0,-80.0,3.75,-80.0,7.5,-80.0,11.25
2021-05-07,2021-05-14,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4219.5,4172.9,4220.0,4210.0,4230.0,70.0,18.02,11.48,67.1,70.0,17.5,35.0,52.5,WIN,expiration,110.0,-1230.0,0.0,10.0,17.5,17.5,35.0,35.0,52.5,52.5
2021-05-21,2021-05-28,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4188.5,4204.6,4190.0,4180.0,4200.0,60.0,19.92,13.59,78.8,60.0,15.0,30.0,45.0,WIN,expiration,340.0,-940.0,-30.0,-5.0,-30.0,-5.0,-30.0,-5.0,-30.0,-5.0
2021-05-28,2021-06-04,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4215.32,4229.55,4215.0,4205.0,4225.0,85.0,16.49,9.62,56.2,85.0,21.25,42.5,63.75,WIN,expiration,460.0,-1380.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0
2021-06-04,2021-06-11,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4217.1,4247.4,4215.0,4205.0,4225.0,85.0,16.65,10.83,63.3,85.0,21.25,42.5,63.75,WIN,expiration,100.0,-990.0,10.0,60.0,21.25,21.25,10.0,42.5,10.0,60.0
2021-06-11,2021-06-18,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4243.32,4165.59,4245.0,4235.0,4255.0,120.0,15.43,9.74,57.2,120.0,30.0,60.0,90.0,WIN,expiration,145.0,-1360.0,30.0,40.0,30.0,30.0,30.0,60.0,30.0,90.0
2021-06-18,2021-06-25,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4188.86,4280.68,4190.0,4175.0,4205.0,110.0,19.52,15.49,89.9,110.0,27.5,55.0,82.5,WIN,expiration,205.0,-1890.0,5.0,-35.0,5.0,27.5,5.0,55.0,5.0,82.5
2021-06-25,2021-07-02,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4274.57,4352.38,4275.0,4270.0,4280.0,5.0,15.71,8.42,49.8,5.0,1.25,2.5,3.75,WIN,expiration,225.0,-1870.0,-20.0,-10.0,1.25,1.25,2.5,2.5,3.75,3.75
2021-07-02,2021-07-09,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4333.06,4369.36,4335.0,4330.0,4340.0,40.0,14.52,6.87,41.2,40.0,10.0,20.0,30.0,WIN,expiration,100.0,-1780.0,25.0,25.0,10.0,10.0,20.0,20.0,25.0,25.0
2021-07-09,2021-07-16,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4349.82,4326.81,4350.0,4340.0,4360.0,75.0,16.97,10.81,65.1,75.0,18.75,37.5,56.25,WIN,expiration,77.5,-720.0,25.0,10.0,18.75,18.75,25.0,37.5,25.0,56.25
2021-07-16,2021-07-23,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4365.01,4411.1,4365.0,4355.0,4375.0,75.0,16.42,10.5,63.5,75.0,18.75,37.5,56.25,WIN,expiration,75.0,-660.0,42.5,32.5,18.75,18.75,37.5,37.5,42.5,56.25
2021-07-23,2021-07-30,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4382.7,4395.97,4385.0,4375.0,4395.0,70.0,17.21,10.13,61.5,70.0,17.5,35.0,70.0,WIN,expiration,50.0,-830.0,20.0,10.0,17.5,17.5,20.0,10.0,20.0,10.0
2021-07-30,2021-08-06,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4406.6,4436.2,4405.0,4395.0,4415.0,45.0,17.89,11.81,72.1,45.0,11.25,22.5,33.75,WIN,expiration,380.0,-1050.0,380.0,-40.0,11.25,11.25,22.5,22.5,33.75,33.75
2021-08-06,2021-08-13,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4431.13,4467.97,4430.0,4420.0,4440.0,75.0,16.94,10.05,61.7,75.0,18.75,37.5,75.0,WIN,expiration,80.0,-1430.0,-15.0,-30.0,-15.0,-30.0,-15.0,-30.0,-15.0,-30.0
2021-08-13,2021-08-20,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4464.73,4400.27,4465.0,4460.0,4470.0,40.0,15.33,7.36,45.5,40.0,10.0,20.0,30.0,WIN,expiration,47.5,-300.0,20.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0
2021-08-20,2021-08-27,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4400.27,4508.71,4400.0,4390.0,4410.0,25.0,21.57,11.1,67.7,25.0,6.25,12.5,18.75,WIN,expiration,215.0,-1580.0,15.0,150.0,6.25,6.25,12.5,12.5,15.0,18.75
2021-08-27,2021-09-03,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4484.57,4535.22,4485.0,4475.0,4495.0,25.0,17.59,11.19,69.5,25.0,6.25,12.5,18.75,WIN,expiration,300.0,-2140.0,-5.0,300.0,6.25,6.25,12.5,12.5,18.75,18.75
2021-09-03,2021-09-10,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4529.59,4459.16,4530.0,4520.0,4540.0,255.0,16.6,8.11,50.9,255.0,63.75,127.5,191.25,WIN,expiration,255.0,-1100.0,155.0,155.0,63.75,63.75,127.5,127.5,155.0,155.0
2021-09-10,2021-09-17,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4502.2,4433.19,4500.0,4490.0,4510.0,60.0,17.69,11.75,73.2,60.0,15.0,30.0,45.0,WIN,expiration,60.0,-390.0,-15.0,-25.0,-15.0,-25.0,-15.0,-25.0,-15.0,-25.0
2021-09-17,2021-09-24,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4451.54,4455.58,4450.0,4435.0,4465.0,85.0,19.5,14.65,90.3,-857.0,21.25,-857.0,-857.0,LOSS,expiration,35.0,-1605.0,-30.0,-35.0,-30.0,21.25,-30.0,-35.0,-30.0,-35.0
2021-09-24,2021-10-01,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4452.18,4355.01,4450.0,4440.0,4460.0,45.0,18.68,13.47,83.1,45.0,11.25,22.5,33.75,WIN,expiration,47.5,-370.0,-55.0,-40.0,-55.0,11.25,-55.0,-40.0,-55.0,-40.0
2021-10-01,2021-10-08,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4309.7,4390.96,4310.0,4290.0,4330.0,120.0,22.91,20.24,120.8,120.0,30.0,60.0,90.0,WIN,expiration,635.0,-5000.0,65.0,635.0,30.0,30.0,60.0,60.0,65.0,90.0
2021-10-08,2021-10-15,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4398.49,4471.01,4400.0,4385.0,4415.0,95.0,18.92,14.78,90.0,95.0,23.75,47.5,71.25,WIN,expiration,255.0,-1830.0,-10.0,-55.0,-10.0,-55.0,-10.0,-55.0,-10.0,-55.0
