tp,trades,win_rate,avg_pnl,total_pnl,sharpe,profit_factor,max_dd_usd,max_dd_pct,cagr_pct,final_equity,exits_tp,exits_sl,exits_exp
TP=none,225,57.33,135.4,30465.36,0.952,1.441,-10175.64,-10.18,5.55,130465.36,0,3,222
TP=10%,225,76.44,78.8,17729.5,0.95,1.467,-5342.3,-5.34,3.39,117729.5,148,2,75
TP=20%,225,70.67,175.88,39572.14,1.617,1.791,-5696.72,-5.7,7.03,139572.14,120,2,103
TP=25%,225,68.44,205.5,46236.95,1.731,1.834,-6485.45,-6.49,8.02,146236.95,108,2,115
TP=50%,225,61.33,280.86,63194.06,1.894,1.971,-9399.06,-9.4,10.45,163194.06,61,2,162
