Opened,pp_Closed,pp_Premium,pp_PnL,pp_Fees,cc_Closed,cc_Premium,cc_PnL,cc_Fees,combined_premium,combined_pnl_final,combined_fees,Closed,trade_id
2021-05-14,2021-05-27,1805,-208.08,5.08,2021-05-27,640,-380.54,2.54,2445,-588.62,7.62,2021-05-27,1
2021-05-21,2021-06-03,2255,-440.08,5.08,2021-06-03,830,-112.54,2.54,3085,-552.62,7.62,2021-06-03,2
2021-05-28,2021-06-10,2455,-443.08,5.08,2021-06-10,805,-135.54,2.54,3260,-578.62,7.62,2021-06-10,3
2021-06-04,2021-06-17,1840,541.92,5.08,2021-06-17,585,-393.54,2.54,2425,148.37999999999994,7.62,2021-06-17,4
2021-06-11,2021-06-24,1860,-193.08,5.08,2021-06-24,585,-7.54,2.54,2445,-200.62,7.62,2021-06-24,5
2021-06-18,2021-07-01,1585,-1220.08,5.08,2021-07-01,515,162.46,2.54,2100,-1057.62,7.62,2021-07-01,6
2021-06-25,2021-07-08,1890,1399.92,5.08,2021-07-08,615,1072.46,2.54,2505,2472.38,7.62,2021-07-08,7
2021-07-02,2021-07-15,1710,839.92,5.08,2021-07-15,410,-120.54,2.54,2120,719.38,7.62,2021-07-15,8
2021-07-09,2021-07-22,2025,594.92,5.08,2021-07-22,575,-373.54,2.54,2600,221.37999999999994,7.62,2021-07-22,9
2021-07-16,2021-07-29,1980,-1105.08,5.08,2021-07-29,635,942.46,2.54,2615,-162.6199999999999,7.62,2021-07-29,10
2021-07-23,2021-08-05,1990,96.92,5.08,2021-08-05,575,-262.54,2.54,2565,-165.62,7.62,2021-08-05,11
2021-07-30,2021-08-12,2245,-1326.08,5.08,2021-08-12,740,507.46,2.54,2985,-818.6199999999999,7.62,2021-08-12,12
2021-08-06,2021-08-19,2365,1584.92,5.08,2021-08-19,720,-397.54,2.54,3085,1187.38,7.62,2021-08-19,13
2021-08-13,2021-08-26,2330,734.92,5.08,2021-08-26,710,-57.54,2.54,3040,677.38,7.62,2021-08-26,14
2021-08-20,2021-09-02,1895,-925.08,5.08,2021-09-02,635,777.46,2.54,2530,-147.62,7.62,2021-09-02,15
