trade_date,exp_date,underlying,dte_entry,spot_entry,spot_exit,iv_atm_pct,vix_entry,short_put,short_call,delta_put,delta_call,total_credit,pnl_usd,in_range,result,exit_method,pnl_tp25,pnl_tp50,pnl_tp75,pnl_dte14,pnl_dte7,pnl_tp25_d14,pnl_tp50_d14,pnl_tp75_d14,pnl_tp25_d7,pnl_tp50_d7,pnl_tp75_d7
2021-06-04,2021-07-02,RUT,28,2284.62,2306.01,,16.65,2055.0,2450.0,-0.0993,0.0792,13.4,1340.0,,WIN,expiration,335.0,670.0,1005.0,655.0,1180.0,335.0,670.0,655.0,335.0,670.0,1005.0
2021-06-11,2021-07-09,RUT,28,2328.64,2279.88,,15.43,2125.0,2485.0,-0.1006,0.0791,12.15,1215.0,,WIN,expiration,303.75,607.5,911.25,828.0,1123.0,303.75,607.5,911.25,303.75,607.5,911.25
2021-06-18,2021-07-09,RUT,21,2261.73,2279.88,,19.52,2060.0,2425.0,-0.0986,0.0792,11.95,1195.0,,WIN,expiration,298.75,597.5,896.25,640.0,1085.0,298.75,597.5,640.0,298.75,597.5,896.25
2021-06-25,2021-07-23,RUT,28,2339.34,2209.28,,15.71,2135.0,2490.0,-0.0996,0.0816,12.1,1210.0,,WIN,expiration,302.5,605.0,907.5,-445.0,235.0,302.5,605.0,-445.0,302.5,605.0,235.0
2021-07-02,2021-07-30,RUT,28,2313.79,2225.84,,14.52,2115.0,2460.0,-0.1003,0.0831,11.95,1195.0,,WIN,expiration,298.75,597.5,896.25,-252.0,295.0,298.75,-252.0,-252.0,298.75,597.5,295.0
2021-07-09,2021-08-06,RUT,28,2263.35,2247.96,,16.97,2045.0,2430.0,-0.0993,0.0802,13.0,1300.0,,WIN,expiration,325.0,650.0,975.0,472.0,1138.0,325.0,650.0,472.0,325.0,650.0,975.0
2021-07-16,2021-08-13,RUT,28,2200.43,2223.4,,16.42,1985.0,2375.0,-0.0986,0.08,12.9,1290.0,,WIN,expiration,322.5,645.0,967.5,850.0,1188.0,322.5,645.0,850.0,322.5,645.0,967.5
2021-07-23,2021-08-13,RUT,21,2194.14,2223.4,,17.21,1995.0,2345.0,-0.0998,0.0832,12.05,1205.0,,WIN,expiration,301.25,602.5,903.75,520.0,1043.0,301.25,602.5,520.0,301.25,602.5,903.75
2021-07-30,2021-08-27,RUT,28,2248.93,2276.41,,17.89,2025.0,2420.0,-0.0989,0.0802,13.3,1330.0,,WIN,expiration,332.5,665.0,997.5,963.0,783.0,332.5,665.0,997.5,332.5,665.0,997.5
2021-08-06,2021-09-03,RUT,28,2243.33,2291.66,,16.94,2015.0,2415.0,-0.1001,0.0813,13.8,1380.0,,WIN,expiration,345.0,690.0,1035.0,225.0,1175.0,345.0,690.0,225.0,345.0,690.0,1035.0
2021-08-13,2021-09-10,RUT,28,2232.04,2227.87,,15.33,2020.0,2390.0,-0.0998,0.0801,12.6,1260.0,,WIN,expiration,315.0,630.0,945.0,710.0,1027.0,315.0,630.0,710.0,315.0,630.0,945.0
2021-08-20,2021-09-10,RUT,21,2138.41,2227.87,,21.57,1935.0,2295.0,-0.1007,0.0772,12.1,1210.0,,WIN,expiration,302.5,605.0,907.5,317.0,-1580.0,302.5,317.0,317.0,302.5,-1580.0,-1580.0
2021-08-27,2021-09-24,RUT,28,2235.95,2248.31,,17.59,2010.0,2395.0,-0.1008,0.0798,13.4,1340.0,,WIN,expiration,335.0,670.0,1005.0,715.0,1138.0,335.0,670.0,715.0,335.0,670.0,1005.0
2021-09-03,2021-10-01,RUT,28,2298.12,2241.09,,16.6,2075.0,2465.0,-0.0996,0.08,13.25,1325.0,,WIN,expiration,331.25,662.5,993.75,523.0,1085.0,331.25,523.0,523.0,331.25,662.5,993.75
2021-09-10,2021-10-08,RUT,28,2254.78,2233.37,,17.69,2020.0,2415.0,-0.1013,0.0827,14.15,1415.0,,WIN,expiration,353.75,707.5,1061.25,925.0,1105.0,353.75,707.5,925.0,353.75,707.5,1061.25
2021-09-17,2021-10-08,RUT,21,2231.53,2233.37,,19.5,2025.0,2370.0,-0.0989,0.0823,11.9,1190.0,,WIN,expiration,297.5,595.0,892.5,485.0,828.0,297.5,595.0,485.0,297.5,595.0,892.5
2021-09-24,2021-10-22,RUT,28,2247.39,2291.48,,18.68,2020.0,2410.0,-0.1004,0.0827,13.7,1370.0,,WIN,expiration,342.5,685.0,1027.5,990.0,1292.0,342.5,685.0,1027.5,342.5,685.0,1027.5
2021-10-01,2021-10-29,RUT,28,2206.23,2297.47,,22.91,1960.0,2390.0,-0.103,0.0811,15.45,1545.0,,WIN,expiration,386.25,772.5,1158.75,1185.0,1410.0,386.25,772.5,1158.75,386.25,772.5,1158.75
2021-10-08,2021-11-05,RUT,28,2248.72,2436.7,,18.92,2035.0,2405.0,-0.1007,0.082,12.9,-1880.0,,LOSS,expiration,322.5,645.0,967.5,915.0,1160.0,322.5,645.0,967.5,322.5,645.0,967.5
2021-10-15,2021-11-12,RUT,28,2296.66,2411.49,,15.9,2110.0,2440.0,-0.1002,0.0827,11.3,1130.0,,WIN,expiration,282.5,565.0,847.5,675.0,-322.0,282.5,565.0,675.0,282.5,565.0,-322.0
2021-10-22,2021-11-12,RUT,21,2293.85,2411.49,,15.06,2140.0,2425.0,-0.1027,0.0789,9.57,957.0,,WIN,expiration,239.25,478.5,717.75,324.0,-1028.0,239.25,324.0,324.0,239.25,-1028.0,-1028.0
2021-10-29,2021-11-26,RUT,28,2298.79,2247.22,,17.06,2100.0,2455.0,-0.1006,0.0806,12.05,1205.0,,WIN,expiration,301.25,602.5,903.75,-715.0,958.0,-715.0,-715.0,-715.0,301.25,602.5,903.75
