trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit5,pnl_exit3
2021-03-26,2021-04-01,SPX,6,0.50,Inverse Butterfly 1-2-1 (calls),3927.31,4019.79,3925.0,3890.0,3960.0,885.0,18.98,13.2,66.5,885.0,235.0,650.0,835.0,WIN,expiration,895.0,-1380.0,650.0,355.0
2021-04-09,2021-04-16,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4103.29,4184.71,4105.0,4070.0,4140.0,830.0,17.14,11.44,65.0,830.0,380.0,430.0,625.0,WIN,expiration,880.0,-1220.0,35.0,115.0
2021-04-16,2021-04-23,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4173.23,4179.49,4175.0,4140.0,4210.0,770.0,16.77,11.61,67.1,-2281.0,-2281.0,-2281.0,-2281.0,LOSS,expiration,50.0,-3285.0,-150.0,-185.0
2021-04-23,2021-04-30,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4153.09,4181.81,4155.0,4115.0,4195.0,850.0,18.03,13.43,77.2,-469.0,270.0,465.0,-469.0,LOSS,expiration,625.0,-1680.0,140.0,10.0
2021-04-30,2021-05-07,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4196.6,4231.53,4195.0,4160.0,4230.0,705.0,17.98,12.26,71.2,705.0,290.0,420.0,700.0,WIN,expiration,700.0,-2080.0,-70.0,-62.5
2021-05-07,2021-05-14,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4219.5,4172.9,4220.0,4185.0,4255.0,840.0,18.02,11.48,67.1,840.0,285.0,535.0,680.0,WIN,expiration,837.5,-1010.0,10.0,180.0
2021-05-14,2021-05-21,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4156.78,4156.18,4155.0,4110.0,4200.0,885.0,19.7,15.62,89.9,-3497.0,-3497.0,-3497.0,-3497.0,LOSS,expiration,130.0,-4315.0,-95.0,-235.0
2021-05-21,2021-05-28,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4188.5,4204.6,4190.0,4150.0,4230.0,875.0,19.92,13.59,78.8,-1665.0,-1665.0,-1665.0,-1665.0,LOSS,expiration,0.0,-2485.0,-285.0,-265.0
2021-05-28,2021-06-04,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4215.32,4229.55,4215.0,4185.0,4245.0,720.0,16.49,9.62,56.2,-825.0,515.0,515.0,-825.0,LOSS,expiration,515.0,-2150.0,-335.0,-335.0
2021-06-04,2021-06-11,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4217.1,4247.4,4215.0,4185.0,4245.0,635.0,16.65,10.83,63.3,635.0,230.0,725.0,725.0,WIN,expiration,725.0,-910.0,-0.0,-125.0
2021-06-11,2021-06-18,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4243.32,4165.59,4245.0,4215.0,4275.0,740.0,15.43,9.74,57.2,740.0,545.0,545.0,690.0,WIN,expiration,740.0,-1400.0,-10.0,45.0
2021-06-18,2021-06-25,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4188.86,4280.68,4190.0,4145.0,4235.0,890.0,19.52,15.49,89.9,890.0,225.0,450.0,725.0,WIN,expiration,890.0,-1360.0,-135.0,-110.0
2021-06-25,2021-07-02,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4274.57,4352.38,4275.0,4250.0,4300.0,595.0,15.71,8.42,49.8,595.0,265.0,305.0,465.0,WIN,expiration,595.0,-2000.0,0.0,130.0
2021-07-02,2021-07-09,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4333.06,4369.36,4335.0,4315.0,4355.0,460.0,14.52,6.87,41.2,460.0,115.0,250.0,355.0,WIN,expiration,510.0,-1360.0,35.0,35.0
2021-07-09,2021-07-16,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4349.82,4326.81,4350.0,4315.0,4385.0,845.0,16.97,10.81,65.1,-336.0,225.0,-336.0,-336.0,LOSS,expiration,350.0,-1790.0,145.0,230.0
2021-07-16,2021-07-23,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4365.01,4411.1,4365.0,4335.0,4395.0,615.0,16.42,10.5,63.5,615.0,330.0,330.0,530.0,WIN,expiration,615.0,-1130.0,330.0,180.0
2021-07-23,2021-07-30,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4382.7,4395.97,4385.0,4355.0,4415.0,620.0,17.21,10.13,61.5,-1283.0,175.0,-1283.0,-1283.0,LOSS,expiration,285.0,-1815.0,170.0,160.0
2021-07-30,2021-08-06,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4406.6,4436.2,4405.0,4370.0,4440.0,735.0,17.89,11.81,72.1,355.0,300.0,355.0,355.0,WIN,expiration,317.5,-1070.0,300.0,-210.0
2021-08-06,2021-08-13,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4431.13,4467.97,4430.0,4400.0,4460.0,670.0,16.94,10.05,61.7,670.0,215.0,460.0,540.0,WIN,expiration,650.0,-640.0,-135.0,-205.0
2021-08-13,2021-08-20,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4464.73,4400.27,4465.0,4440.0,4490.0,435.0,15.33,7.36,45.5,435.0,235.0,235.0,435.0,WIN,expiration,280.0,-810.0,-207.5,-180.0
2021-08-20,2021-08-27,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4400.27,4508.71,4400.0,4365.0,4435.0,360.0,21.57,11.1,67.7,360.0,170.0,195.0,345.0,WIN,expiration,370.0,-1370.0,170.0,345.0
2021-08-27,2021-09-03,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4484.57,4535.22,4485.0,4450.0,4520.0,500.0,17.59,11.19,69.5,500.0,130.0,275.0,385.0,WIN,expiration,510.0,-2020.0,-85.0,50.0
2021-09-03,2021-09-10,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4529.59,4459.16,4530.0,4505.0,4555.0,705.0,16.6,8.11,50.9,705.0,195.0,555.0,555.0,WIN,expiration,700.0,-1630.0,65.0,65.0
2021-09-10,2021-09-17,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4502.2,4433.19,4500.0,4465.0,4535.0,710.0,17.69,11.75,73.2,710.0,247.5,472.5,545.0,WIN,expiration,707.5,-715.0,-170.0,-257.5
2021-09-17,2021-09-24,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4451.54,4455.58,4450.0,4405.0,4495.0,895.0,19.5,14.65,90.3,-3047.0,377.5,-3047.0,-3047.0,LOSS,expiration,377.5,-3855.0,-57.5,-160.0
2021-09-24,2021-10-01,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),4452.18,4355.01,4450.0,4410.0,4490.0,690.0,18.68,13.47,83.1,690.0,220.0,450.0,570.0,WIN,expiration,690.0,-1180.0,-430.0,-390.0
