trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2021-01-08,2021-02-05,SPX,28,0.25,Inverse Butterfly 1-2-1 (calls),3817.5,3886.82,3815.0,3770.0,3860.0,505.0,21.7,17.26,182.5,505.0,126.25,252.5,378.75,WIN,expiration,865.0,-2310.0,-95.0,-110.0,-160.0,-370.0,-517.5,-560.0
2021-01-15,2021-02-12,SPX,28,0.25,Inverse Butterfly 1-2-1 (calls),3783.61,3935.04,3785.0,3735.0,3835.0,515.0,23.61,18.39,192.7,515.0,128.75,257.5,386.25,WIN,expiration,595.0,-5110.0,35.0,-40.0,-60.0,375.0,300.0,270.0
2021-01-22,2021-02-19,SPX,28,0.25,Inverse Butterfly 1-2-1 (calls),3841.06,3906.87,3840.0,3795.0,3885.0,505.0,21.9,17.46,185.8,505.0,126.25,252.5,378.75,WIN,expiration,510.0,-2270.0,-80.0,-530.0,5.0,125.0,275.0,275.0
2021-01-29,2021-02-26,SPX,28,0.25,Inverse Butterfly 1-2-1 (calls),3763.09,3810.81,3765.0,3705.0,3825.0,495.0,30.67,23.58,245.7,-924.0,123.75,247.5,371.25,LOSS,expiration,390.0,-7465.0,-5.0,190.0,310.0,120.0,60.0,-345.0
2021-02-05,2021-03-05,SPX,28,0.25,Inverse Butterfly 1-2-1 (calls),3881.32,3841.58,3880.0,3835.0,3925.0,545.0,21.73,17.38,186.8,-113.0,136.25,272.5,408.75,LOSS,expiration,490.0,-2550.0,95.0,10.0,-265.0,-155.0,-565.0,-465.0
2021-02-12,2021-03-12,SPX,28,0.25,Inverse Butterfly 1-2-1 (calls),3912.37,3943.11,3910.0,3865.0,3955.0,460.0,20.93,17.07,185.0,-729.0,-729.0,-729.0,-729.0,LOSS,expiration,97.5,-3140.0,-60.0,-215.0,-420.0,-120.0,-580.0,-730.0
2021-02-19,2021-03-19,SPX,28,0.25,Inverse Butterfly 1-2-1 (calls),3926.98,3911.67,3925.0,3880.0,3970.0,530.0,21.63,16.99,184.8,-2637.0,132.5,-2637.0,-2637.0,LOSS,expiration,145.0,-3220.0,-70.0,-20.0,-325.0,-350.0,-545.0,-115.0
2021-02-26,2021-03-26,SPX,28,0.25,Inverse Butterfly 1-2-1 (calls),3826.31,3974.28,3825.0,3765.0,3885.0,530.0,28.61,23.44,248.4,530.0,132.5,265.0,397.5,WIN,expiration,510.0,-7480.0,-325.0,235.0,235.0,30.0,60.0,75.0
2021-03-05,2021-04-01,SPX,27,0.25,Inverse Butterfly 1-2-1 (calls),3776.04,4019.79,3775.0,3715.0,3835.0,565.0,28.34,23.35,239.8,565.0,141.25,282.5,423.75,WIN,expiration,615.0,-3650.0,280.0,380.0,90.0,70.0,490.0,465.0
2021-03-12,2021-04-09,SPX,28,0.25,Inverse Butterfly 1-2-1 (calls),3932.31,4127.76,3930.0,3880.0,3980.0,515.0,22.16,17.67,192.4,515.0,128.75,257.5,386.25,WIN,expiration,705.0,-2540.0,-135.0,-510.0,-340.0,100.0,330.0,410.0
