trade_date,exp_date,underlying,dte_entry,spot_entry,iv_atm_entry,iv_atm_pct,vix_entry,exit_method,short_put,short_call,delta_put,delta_call,mid_put_entry,mid_call_entry,total_credit,checkpoint_date,spot_21dte,mid_put_21dte,mid_call_21dte,pnl_pts_21dte,pnl_usd_21dte,spot_exit,put_cost_exp,call_cost_exp,pnl_points,pnl_usd,in_range,result
2025-05-02,2025-06-13,RUT,42,2020.74,0.240521,24.05,,reinvestment,1845.0,2160.0,-0.1577,0.2028,17.65,15.75,33.4,,,,,,,2100.51,0.0,0.0,33.4,3340.0,True,WIN
2025-05-23,2025-06-30,RUT,38,2039.85,0.236004,23.6,,reinvestment,1860.0,2180.0,-0.1551,0.1669,17.4,10.9,28.3,,,,,,,2175.04,0.0,0.0,28.3,2830.0,True,WIN
2025-06-13,2025-07-25,RUT,42,2100.51,0.225777,22.58,,reinvestment,1925.0,2260.0,-0.1581,0.1625,17.65,11.7,29.35,,,,,,,2261.07,0.0,1.0701,28.2799,2827.99,False,WIN
2025-07-18,2025-08-29,RUT,42,2240.01,0.21888,21.89,,reinvestment,2060.0,2410.0,-0.1557,0.1635,17.5,12.6,30.1,,,,,,,2366.42,0.0,0.0,30.1,3010.0,True,WIN
2025-08-08,2025-09-19,RUT,42,2218.42,0.214218,21.42,,reinvestment,2050.0,2390.0,-0.1573,0.1595,16.65,12.15,28.8,,,,,,,2488.77,0.0,98.77,-69.97,-6997.0,False,LOSS
2025-09-19,2025-10-31,RUT,42,2488.77,0.199362,19.94,,reinvestment,2295.0,2645.0,-0.1582,0.1631,19.4,11.55,30.95,,,,,,,2479.38,0.0,0.0,30.95,3095.0,True,WIN
2025-10-10,2025-11-21,RUT,42,2394.59,0.237757,23.78,,reinvestment,2190.0,2590.0,-0.1561,0.1562,20.1,13.3,33.4,,,,,,,2369.59,0.0,0.0,33.4,3340.0,True,WIN
2025-10-31,2025-12-12,RUT,42,2479.38,0.227555,22.76,,reinvestment,2285.0,2680.0,-0.1609,0.1587,20.15,14.05,34.2,,,,,,,2590.61,0.0,0.0,34.2,3420.0,True,WIN
2025-11-28,2026-01-09,RUT,42,2500.43,0.200766,20.08,,reinvestment,2320.0,2675.0,-0.1607,0.162,18.55,12.75,31.3,,,,,,,2624.22,0.0,0.0,31.3,3130.0,True,WIN
2025-12-19,2026-01-30,RUT,42,2529.43,0.179251,17.93,,reinvestment,2370.0,2690.0,-0.1624,0.1614,16.65,11.65,28.3,,,,,,,2613.74,0.0,0.0,28.3,2830.0,True,WIN
2026-01-09,2026-02-20,RUT,42,2624.22,0.177251,17.73,,reinvestment,2460.0,2790.0,-0.1561,0.1627,15.85,12.2,28.05,,,,,,,2663.78,0.0,0.0,28.05,2805.0,True,WIN
2026-02-06,2026-03-20,RUT,42,2670.34,0.21889,21.89,,reinvestment,2460.0,2865.0,-0.1597,0.1614,21.5,14.1,35.6,,,,,,,2438.45,21.55,0.0,14.05,1405.0,False,WIN
2026-02-27,2026-04-10,RUT,42,2632.36,0.232578,23.26,,reinvestment,2405.0,2825.0,-0.1613,0.1575,23.9,13.35,37.25,,,,,,,2632.36,0.0,0.0,37.25,3725.0,True,WIN
2026-04-17,2026-05-29,RUT,42,2776.9,0.210306,21.03,,reinvestment,2565.0,2980.0,-0.1591,0.1592,21.45,14.35,35.8,,,,,,,2776.9,0.0,0.0,35.8,3580.0,True,WIN
